fastspring,Feb 6,5,Brunch söndag,"Härlig söndags brunch med musik, fullbokat men trots det inte stökigt utan gick att prata . Liveband spelade helt lagom högt.  Går gärna hit igen. Stor variation på mat och dryck . Kan beställa omelett som hörs på plats eller göra egna våfflor.  ","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 days ago",Responded 4 days ago,"Kära fastspring,  Stort tack för ditt omdöme och dina fina ord. Det gläder oss att du hade en sån fin upplevelse hos oss. Vi ser fram emot att få välkomna dig till Grand Hotel snart igen!  Önskar dig en underbar dag!  Med vänliga hälsningar, Katarina  ",Date of stay: February 2019,"[All, languages]",493
marialT4437BC,Oct 2017,5,Mysigt och klassiskt,"Mysigt och kanonfrukost, har bott i olika rum som alla är ok men med olika standard. Priserna flexar i förhållande till storlek och bekvämlighet och är helt adekvsta i förhållande till standard. Byggsrbete som störde en aning men det ska vara klsrt i november-17.","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Oct 10, 2017","Responded Oct 10, 2017","Kära gäst,  Tusen tack för vänliga ord.  Vi vet att det ibland kan störa lite med byggnationen.  Men den v.43 är det slutbesiktning och klart. Väldigt spännande.  Hjärtlit välkommen åter!",Date of stay: September 2017,"[All, languages]",493
Jeanette I,Oct 2017,5,En god eftermiddag!,Högsta betyg till en fantastiskt trevlig och god eftermiddag med high tea i goda vänners lag på Grand Hotel i Lund. Ett gott urval teer och sandwich/bakverk med tillbehör och en utomordentligt god och trevlig service!,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Oct 10, 2017","Responded Oct 10, 2017","Kära gäst,  Tusen tack!  Med vänlig hälsning Mattias Lindberg",Date of stay: October 2017,"[All, languages]",493
bertil_carlsson,Oct 2017,5,Jobbövernattning,"Jag har vid ett flertal gånger använt mig av hotel Lundia i samband med jobb i Lund. Man blir aldrig besviken, Lundia fungerar precis som ett hotell skall fungera, lätt o personlig incheckning, rent o snyggt, bra frukost och ett vänligt välkommen åter. Slusarts, så skall det…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Oct 10, 2017","Responded Oct 10, 2017","Hej Bertil,  Fantastiskt kul att höra att vårt systerhotell, enbart 300 m från Grand, Hotel Lundia levererar.  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg ",Date of stay: October 2017,"[All, languages]",493
AAFEZF,Oct 2017,5,"Wonderful and cozy, yet elegant and classy hotel in downtown Lund","If you ever visit Lund as a tourist or on business, this is the hotel to stay at!  The whole hotel - from the lobby and elevators, to the restaurant and rooms - has a classic ambience but with everything in excellent and ""fresh"" condition. The hotel has made sure to keep to its…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Oct 3, 2017","Responded Oct 3, 2017","Dear guest,  What can I say.  Many thanks for all the kind words. We really try to do ur best and a review like this makes us very proud. It makes us happy going to work every day.  Again, many thanks!  Sincerely Mattias Lindberg  ",Date of stay: September 2017,"[All, languages]",493
119bobo,Sep 2017,4,Mycket bra och trivsamt hotell.,Bra sängar. Trivsam miljö i herrgårdsstil. Stort och fint rum i gamal stil. Mycket bra frukost i trivsam matsal. Klass på dukning och kvalitet på maten. Bra service och förvaring av bagage. Bra tillgång på utrustning och bar på rummet. ,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 29, 2017","Responded Sep 29, 2017","Kära gäst,  Med handen på hjärtat. Tusen tack!  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: September 2017,"[All, languages]",493
wendyrP2016MK,Sep 2017,5,"I had a lovely time at the Grand in Lund. I found the staff VERY helpful, and very nice. Wendy Reynolds","My visit was for my niece's wedding at Ellinge Slott on 16 Sept. 2017. Tacktack for everything you did to accommodate the guests, as well as the delicious breakfast and other amenities. Your staff is a GREAT bunch -- professional and so very nice. I will certainly stay with you…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 29, 2017","Responded Sep 29, 2017","Dear guest,  Thank you so much for the kind words!  Welcome back!  Sincerely Mattias Lindberg",Date of stay: September 2017,"[All, languages]",493
squishySweden,Sep 2017,4,AfternoonTea,Bra service. Bra piano request. Bra location and room. Lots of tea. Nice cakes.   Bad/Dåligt. Not always good comms in English for us as international guests. Food was removed at end w/o asking if wanted to finish. Mostly annoyed as this ended up as food waste yet we wanted to…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 26, 2017","Responded Sep 26, 2017","Dear guest,  Many thanks for the kind words and taking the time writing the review. We will of course take the less good feedback back to the F&B departement and take action on it. Thank you again for making us get better and always stand on our toes.  Sincerely Mattias Lindberg  ",Date of stay: September 2017,"[All, languages]",493
richard_rydell,Sep 2017,5,Superbäst för 50-årsfest!,"Firade min 50-årsdag tillsammans med vänner i det s k Vinrummet. Fantastisk mat, supertrevlig och proffsig personal som också hade stor humor och var inlyssnande. Dom gjorde min födelsedag till en toppendag. Och frukosten, rummet; allt var toppklass.","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 26, 2017","Responded Sep 26, 2017","Kära gäst,  Tusen tack!  Med vänlig hälsning Mattias Lindberg",Date of stay: September 2017,"[All, languages]",493
Thommy M,Sep 2017,4,Modern tradition,"Vi avnjöt en femrätters gästspelsmeny av Alexander Sjögren med övernattning och frukost i paketet. Maten var alldeles enastående och gav oss ett minne för livet. Rummen är stora med all komfort, dock verkar det i vanlig ordning som om de som designar hotellrum inte själva bor på…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 25, 2017","Responded Sep 25, 2017","Kära gäst.  Tack för en trevlig recension. Vi tar åt oss gällande krokar på rummet och gör en action på det. Tack igen, ni hjälper oss att stå på tårna.  Hjärtligt välkomna åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: September 2017,"[All, languages]",493
Caroline Å,Sep 2017,5,Grand Hotel i Lund är alltid ett säkert kort,Härligt gammalt hotell med trevlig atmosfär och väldigt god frukost. Rummen är fräscha och rena.  Bott där flera gånger och har alltid varit nöjd.  Kan varmt rekommenderas.  trevlig stämning i bar och restaurang,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 25, 2017","Responded Sep 25, 2017","Kära gäst,  Tusen tack för vänliga ord.  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: September 2017,"[All, languages]",493
MacEkenas,Sep 2017,3,Nya utrymmen - stökigt just nu,Vårt rum på 2 vån.hade dålig ventilering = dålig luft. Termostatkranen i badrummet styv o televisionens fjärrstyrning obehagligt lortig. Mycket god mat o härlig betjäning o fint morgonmål fast ett bryggt te skulle ha höjt upplevelsen ytterligare.Byggarbeten störde lite men det…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 20, 2017","Responded Sep 20, 2017","Kära gäst,  Tack så hemskt mycket för kreativ recension. Det hjälper oss att stå på tårna. Vi tar omedelbart action och förbättrar våra rutiner. Gällande byggnationen så är det tyvärr som så att det stör lite ibland men det kommer bli 2 fantastiska verandor. Vi gör allt för att minimera oväsen men ibland tar kreativiteten slut. Får gärna höra av er mattias.lindberg@grandilund.se  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg  ",Date of stay: September 2017,"[All, languages]",493
Klas H,Sep 2017,5,Ovanligt bra restaurang och generellt hög standard,Restaurangen och frukostserveringen utmärker sig. Riktigt bra vällagad mat. Jag väljer Grand Hotel mest för matens skull. Elegans och hantverk i fenomenal förening.  Frukosten är förmodligen Sveriges bästa hotellfrukost. Utöver detta erbjuder hotellet klassisk…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 20, 2017","Responded Sep 20, 2017","Kära Klas H,  Saknar ord. Tusen tack för fina ord.  Hjärtligt välkommen åter! Med vänlig hälsning Mattias Lindberg",Date of stay: September 2017,"[All, languages]",493
mariapJ2917AQ,Sep 2017,4,Vackra rum,Bra och fräscht hotellrum. Bra konferenslokal. Bra service! Renligheten var god. Trevligt med kaffetillgång och godis och frukt. Bra förmiddagsfika med yougurt och frukt samt bröd. Maten var det som drar ner betyget något.,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 12, 2017","Responded Sep 12, 2017","Kära gäst,  Tack för fina ord och för att ni tog er tid till att recensera oss.  Då beskrivningen av maten inte läses som lika bra som det övriga blir jag enormt nyfiken på varför. Kontakta mig gärna. mattias.lindberg@grandilund.se  Med vänlig hälsning Mattias Lindberg",Date of stay: September 2017,"[All, languages]",493
saraskg,Sep 2017,4,Old time classic,"The Grand Hotel is a few minutes walk from the Central Station, with a little park outside and a great children's park close by. It has the feel of an old-time classic hotel, the rooms are comfortable and the beds generous. Breakfast choice is overwhelming! The staff are…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 6, 2017","Responded Sep 6, 2017","Dear guest,  Many thanks for the kind words and taking the time writing us the review.  Concerning the building outside the hotel there is not much to do I´m afraid. They open and close the construction site every day and it`s hard screening it off. But it is only two month more and the two new beautiful verandas will be done. More concering is the sentence about the staff could be a bit more friendly. That I will take on with me and work on. Not nice reading. Many thanks for the observation.  Welcome back at any time. Sincerely Mattias Lindberg ",Date of stay: August 2017,"[All, languages]",493
12da4H9,Sep 2017,3,Slitet rum. Bra gemensamma ytor och bra restaurang,När vi kom in på rummet möttes vi av en torkad snus och en nål på golvet. Jag har inget problem med dubbelsängar som är två mindre ihopflyttade sängar men just i detta fallet var det två sängar med ram som stod intill varandra vilket mest kändes klumpigt. Det gjorde inte…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Sep 2, 2017","Responded Sep 2, 2017","Kära gäst,  Tusen tack för er recension. Ris och ros är alltid uppskattat i min värld. Det är en utmaning att alltid leverera på topp. Känns som att vi inte gjorde det i detta fallet. Vi tar åt oss.  Uppskattat om jag kunde få kontakt med er. mattias.lindberg@grandilund.se.  Hjärtligt välkomna åter så gör vi om det. Med vänlig hälsning Mattias Lindberg  ",Date of stay: September 2017,"[All, languages]",493
Guy-Gus L,Aug 2017,4,Très pratique idéal ,"Venu pour un concours de cocktails, j'ai pu apprécié le style art déco, l'accueil du personnel et le restaurant de type brasserie. C'est une adresse intéressante. De nombreuses chambres parfois exiguës et sans vue, d'après certains commentaires. Idéalement placée près de la gare…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 31, 2017","Responded Aug 31, 2017","Dear guest,  Thank you so much for the warm words.  Sincerely  Mattias Lindberg",Date of stay: August 2017,"[All, languages]",493
Mohammed1992dec,Aug 2017,5,راقي و جميل جدا,الغرفة راقية جدا و جميلة و المنضر خلاب. يوجد مطعم جميل في الطابق السفلي و يوجد مصعد. الغرفة كانت نضيفة جدا و يوجد فيها كل شي. الانترنيت كان سريعا جدا و الحمام كان راقيا جدا. الموضفون كانوا محترمون و مساعيدين كثيرا,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 29, 2017","Responded Aug 29, 2017","Dear guest,  After translating your review I can only say ""Thank you so much!"" Very nice written. I´m very proud of being part of this team and getting this kind of review..  Welcome back at any time. Sincerely Mattias Lindberg",Date of stay: August 2017,"[All, languages]",493
Cirillo M,Aug 2017,4,Anrikt hotell med underbar atmosfär,"Välkomnandet i receptionen var mycket bra, receptionisten var glad, trevlig, kunnig och ville verkligen hjälpa till. Det var snyggt korrekt och gick snabbt. Rummet var en liten dröm med stor krona i taket, vackra tapeter, ljuvligt skön säng med underbara lakan. Badrummet var…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 29, 2017","Responded Aug 29, 2017","Kära gäst,  Tusen tack! Hjärtligt välkommen åter. Med vänlig hälsning Mattias Lindberg",Date of stay: August 2017,"[All, languages]",493
Peter H,Aug 2017,4,Fint gammelt hotel i hjertet af Lund,Et fint gammel hotel midt i centrum af Lund. Et meget venligt og hjælpsomt personale. Vi var til bryllupsfest på Grand Hotel og oplevede en super betjening og meget flot og velsmagende mad. Boede på hotellet en enkelt nat og fik dermed også lejlighed til at nyde et fantastisk…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 14, 2017","Responded Aug 14, 2017","Kära gäster,  Tusen tack för trevlig recension. Vi är väl medvetna om att vårt läge mitt i Lund kan orsaka en jakt på parkeringsplatser ibland. Märkligt är dock att ni inte blev informerade om att vårt systerhotell Hotell Lundia, 200 meter från Grand har parkeringsplatser även för Grandgäster. Vi tar åt oss och blir bättre.  Tack igen och hjärtligt välkomna åter! Med vänlig hälsning Mattias Lindberg",Date of stay: August 2017,"[All, languages]",493
Per-Anders K,Aug 2017,5,Rum på toppen,"Bokning: trevligt och enkelt via traditionell telefon. Mottagande: smidigt med ett leende i receptionen Rum: stort och med en trevlig utsikt över Lund. Sköna sängar Frukost: bra, inget vi saknade Extra plus att även vår hund var välkommen Rekommenderas ","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 14, 2017","Responded Aug 14, 2017",Stort tack!  Hjärtligt välkomna åter!  Med vänlig hälsning Mattias Lindberg ,Date of stay: August 2017,"[All, languages]",493
Leif Andersson,Aug 2017,4,Bra som vanligt,Vänlig och trevlig personal.  Rummet välstädat och fräscht.  En femma om det inte var så varmt plus att den fantastiska restaurangen var stängd. Ombyggnad förklarar saken men vi kommer tillbaka då och då och tittar till er.,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 14, 2017","Responded Aug 14, 2017","Kära gäst,  Tack för trevlig recension.  Ja, vi bygger ut vår bistroveranda och tänker framtid. Kommer bli fantastiskt trevligt. Hör gärna av er så kan vi ordna en premiärbokning.  Med vänlig hälsning Mattias Lindberg ",Date of stay: August 2017,"[All, languages]",493
Dennis A,Aug 2017,3,Historiska vingslag,En trevlig upplevelse att få bo  på detta anrika hotell och speciellt då vi hade bokat ett av de runda tornrummen. Receptionen var mycket hjälpsam och ordnade så vi fick rummet tidigare då vi skulle på dop på eftermiddagen.  Det som dock var bäst var frukostutbudet och dess…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 14, 2017","Responded Aug 14, 2017",Tusen tack!  Med vänlig hälsning Mattias Lindberg,Date of stay: June 2017,"[All, languages]",493
couple_123_10,Aug 2017,4,Konferens,"Allt fungerade mycket bra på vår 2-dagars konferens på Grand! Vi var närmare 200 personer. Fina lokaler, kanske lite dålig luft i vissa konferenslokaler då vi satt många och gjorde gruppuppgifter. Biosalongen mycket bekväm och sval, bra ljud mm. Även lätt för rullstolsburna att…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 14, 2017","Responded Aug 14, 2017","Kära konferensgäst,  Vi tackar för den trevliga recensionen och tar åt oss av det vi kan förbättra.  Än en gång tusen tack och hjärtligt välkomna åter!  Med vänlig hälsning Mattias Lindberg ",Date of stay: August 2017,"[All, languages]",493
Anne D,Aug 2017,4,Beautifull Heritage Hotel,"Hotel built in 1800's. Beautiful old building. Very clean. Doing renovations to front putting in veranda. Should be lovely when complete. Rooms average size, beds double. Food excellent. Would recommend.","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 14, 2017","Responded Aug 14, 2017","Dear guest,  Many thanks for the nice review.  Sincerely Mattias Lindberg",Date of stay: August 2017,"[All, languages]",493
Lise C,Jul 2017,4,Dejligt hotel,"Dejligt hotel med skønne værelser. Vi ankom før tid, men der var ingen problemer med at få værelset før tid.  Personalet var serviceminded og hjælpsomt.  Vi parkerede - mod ekstra betaling - i Hotel Lundias parkeringskælder   Morgenbuffeten hører til de bedre med en del…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 14, 2017","Responded Aug 14, 2017","Kära gäst,  Tusen tack för att ni tog er tid att recensera oss.  Hjärtligt välkomna åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: July 2017,"[All, languages]",493
Marit A,Jul 2017,4,På gjennomreise fra Karlskrona til København,"Hotellet lå meget sentralt i sentrum av Lund, det var det første vi så på hotels.com og som virket meget tiltrekkende.  Vi oppgraderte oss selv til de luxe rom og det var veldig bra.  Prisen var lav i forhold til hotellprisene i København.  Anbefales virkelig, nydelig frokost","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 14, 2017","Responded Aug 14, 2017","Kära gäst,  Stort tack för trevlig recension.  Med vänlig hälsning Mattias Lindberg",Date of stay: July 2017,"[All, languages]",493
kmartinl,Jul 2017,5,God frukost,"Efter en natt på färja från Tyskland till Trelleborg styrde vi bilen till Lund och Grand för frukost. Gott, lugnt och bra service. Mycket bra! Frukostbuffén var riklig och passade sällskapets olika smakpreferenser. Omelettkocken värd ett extra plus!  ","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 14, 2017","Responded Aug 14, 2017",Tusen tack!  Med vänlig hälsning Mattias Lindberg ,Date of stay: July 2017,"[All, languages]",493
Per Flensburg,Jul 2017,4,Anrikt hotell med stil,"För en som bott i Lund omges Grand Hotel av ett gyllene skimmer. När jag nu fick chansen att bo där kan jag bekräfta att stilen är gyllene. Trappan är imponerande, stora speglar, kolonner som bär upp taket, man ser forna tiders lyx. Men just för ""forntiden"" ser man att det är…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Aug 14, 2017","Responded Aug 14, 2017","Kära Per,  Tusen tack för att du tog dig tid att recensera oss. Väldigt nyttigt. Vi tar åt oss av dina tankar.  Vill inte avslöja för mycket men förändringar kommer ske i framtiden både gällande ventilation och skavt lite här och där.  Hjärtligt välkommen åter! Med vänlig hälsning Mattias Lindberg  ",Date of stay: July 2017,"[All, languages]",493
18magnusk,Jul 2017,3,Finfrukost,"Vi hade ett frukostmöte på Grand Hotel i Lund. Frukosten var tillfredsställande men inte mer. Efter ett antal år i ""kappsäck"" lär man sig att bedöma frukostbufféer. Dessvärre är frukosten på Grand Hotel i Lund hyfsad men inte prisvärd,","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jul 11, 2017","Responded Jul 11, 2017","Hej 18magnusk,  Tack för att du tog dig tid att recensera oss och tyckte att frukosten var tillfredsställande. Men för att vi ska bli ännu bättre så blir jag givetvis nyfiken på vad vi kan förbättra. Får väldigt gärna höra av dig till mig. mattias.lindberg@grandilund.se.  Hjärtligt välkommen åter! Med vänlig hälsning Mattias Lindberg ",Date of stay: July 2017,"[All, languages]",493
759annikal,Jul 2017,5,Frukostgäst,"Jag bokade bord för att fira vår 13-åring. När vi kom till matsalen var bordet dukat med flagga och blommor. En jättetrevlig överraskning. Tack!  Matsalen har en härlig atmosfär, jag gillar att Grand satsar på ekologiskt och närodlat. Med ett bra utbud på olika tillbehör gick vi…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jul 5, 2017","Responded Jul 5, 2017","Kära gäst,  Tusen tack för vänliga ord och hjärtligt välkommen åter.  Med vänlig hälsning Mattias Lindberg",Date of stay: June 2017,"[All, languages]",493
Kalle12345,Jun 2017,5,Fantastic historical hotel but with modern rooms,Swedish history is in the air entering the hotel. But still modern rooms. Good location in central Lund. Fantastic breakfast with local foods. Comfortable bar and high class rest. Only negative was the car parking some 300 m away. Love to come back.,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 29, 2017","Responded Jun 29, 2017","Dear guest,  Thank you very much for the kind words.  We love to have you back. Sincerely Mattias Lindberg ",Date of stay: June 2017,"[All, languages]",493
evap8012,Jun 2017,4,Fantastiskt vällagad lunch,Renovering och utbyggnad av verandan gjorde att delar av matsalen var avstängd  Personalen gjorde ändå allt för att vi skulle trivas  Väldigt god service och mat Vi besökte endast matsalen och var inte boende på hotellet. Vi var mycket nöjda ,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 27, 2017","Responded Jun 27, 2017","Kära gäst,  Tack för trevlig recension och hjärtligt välkommen åter. Med förhoppning om att våra två nya fantastiska verandor är klara då.  Med hälsning Mattias Lindberg",Date of stay: June 2017,"[All, languages]",493
nani965,Jun 2017,2,Varm dålig service smutsiga glas och trött personal,"Restaurangen som en gång var Lunds ""finaste"" får en att känna sig totalt ovälkommen och ointressant. Har kommit hit regelbundet sen jag var barn men dess forna glans är lååångt bort. seg och ouppmärksam personal vilket till viss del kan skyllas på värmen i lokalen men, det är ju…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 19, 2017","Responded Jun 19, 2017","Kära Nani965,  Tack för att du tog dig tid att recensera oss.  Det kändes inte som en bra upplevelse. Vi tar åt oss och lär oss. Du får gärna återkoppla till mig på mattias.lindberg@grandilund.se. Önskar en fortsatt trevlig dag och hoppas på återseende. Med vänlig hälsning Mattias Lindberg ",Date of stay: June 2017,"[All, languages]",493
agneta_birger,Jun 2017,5,15 VÄNNER,"Lunchbesök: Mycket god och utsökt mat, vackert upplagd, fiskterrinen, som vi valde! Serveringspersonalen gav oss verkligen god service och visade stort tålamod när några kom 35 resp. 100 minuter för sent p.g.a. trafikstockning på E6:an. Stort tack!","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 19, 2017","Responded Jun 19, 2017","Hej Agneta_Birger,  Stort tack själv för trevlig feedback på ert besök.  Önskar en fortsatt skön och solig sommar. Hjärtligt välkommen åter! Med vänlig hälsning Mattias Lindberg",Date of stay: June 2017,"[All, languages]",493
Pellelim,Jun 2017,3,Frukost!,"Fantastisk frukostbuffé och värdinnorna oerhört rara och trevliga! Formidabel service och glutenfritt ett självklart kapitel för personalen, då med ett galant leende från dem också. Absolut toppklass från deras sida. Vad jag dock finner helt obegripligt är då varför det sitter…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 18, 2017","Responded Jun 18, 2017","Kära Pelle Lim,  Tack för att du tog dig tid att skriva en trevlig recension. Vi i ledningen tar åt oss gällande vårt möte.  Vi önskar dig hjärtligt välkommen åter. Med vänlig hälsning Mattias Lindberg",Date of stay: June 2017,"[All, languages]",493
rolfc547,Jun 2017,5,Kålle,"Trevligt hotell med anor, bra läge, trevliga rum, god frukost, fin service vid middagen. Nära tågstationen i centrala Lund. Åk en helg bo på hotellet, trevlig shopping i Lund, ät på hotellet, bo i trevliga rum med atmosfär.","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 15, 2017","Responded Jun 15, 2017","Kära gäst,  Tusen tack för trevligt recension.  Vi säger hjärtligt välkommen åter och önskar samtidigt en skön sommar! Med vänlig hälsning Mattias Lindberg",Date of stay: June 2017,"[All, languages]",493
Kjelin66,Jun 2017,3,Grand Hotel,"Unnade oss en natt på ""Grand""  Vi hade nog ganska höga förväntningar på Grand Hotel i Lund när vi löste in en bonusnatt från ett rewardsprogram  Rummet var inte det enklaste i utbudet. Det var inrett i ""gammal stil tyvärr så var en del av möblerna väldigt slitna (trasig klädsel…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 12, 2017","Responded Jun 12, 2017","Hej Kjelin66,  Tusen tack för en trevlig och informativ recension. Vi tar givetvis åt gällande rummet. Det skall vi förbättra. Hjärtligt välkommen åter! Mattias Lindberg ",Date of stay: June 2017,"[All, languages]",493
Suzanne H,Jun 2017,5,Föelsedag m övernattning på Grand,"Bra in- och utcheckning, frukost o wi-fi inkluderat i rumspriset. Vi har hund och fick ett mycket bra rum m utsikt åt två håll. Bra minibar och roomservice. Fantastisk miljö och perfekt läge. Rekommenderas varmt!","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 12, 2017","Responded Jun 12, 2017",Tusen tack och hjärtligt välkomna åter! Med vänlig hälsning Mattias Lindberg,Date of stay: May 2017,"[All, languages]",493
Snitssnits,Jun 2017,5,Best of the best!,I samband med att vi i Handelsföreningen arrangerade ett föredrag i den fantastiskt fina föreläsningslokalen Piratensalen så såg vi också till att hyra ett rum till vår föredragshållare. Vi valde rum 160 som i dagligt tal kallas Ulf Lindell-rummet. Se gärna på You tube när Ulf i…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 12, 2017","Responded Jun 12, 2017",Tack Handelsföreningen! Med vänlig hälsning Mattias Lindberg,Date of stay: May 2017,"[All, languages]",493
TB-fysik,Jun 2017,4,"Service och miljö? Super, prisvärdig mat? nja","Fantastisk miljö, underbar personal gör att besöket är värt det. Men, jag önskar att maten kunde bli mera prisvärd. Lammet hade en hel del fett - ostarna var ömkligt små. Men om man lyckas lösa det, så är man på god väg.","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 12, 2017","Responded Jun 12, 2017","Kära gäst,  Tack för en trevlig recension. Vi tar åt oss gällande mat, priser och värden.  med vänlig hälsning Mattias Lindberg",Date of stay: June 2017,"[All, languages]",493
annelij230,May 2017,5,Toppnivå,"Toppenservice både för vår konferens och i restaurangen. Hjälpsam konferenspersonal, god och trevlig fika samt jättefint konferensrum. Något dålig ventilation är väl det enda man kan kommentera. Fantastisk mat och mycket trevlig presentation av vår meny och vårt vinpaket. Vi…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 12, 2017","Responded Jun 12, 2017","Kärra gäst,  Tack för informativ recension.  Vi har nu en långsiktigt plan på hur vi skall optimera vår ventilation i huset. Ventilationen är bra men kan bli bättre. Vi håller med. Ni är hjärtligt välkomna åter! Med vänlig hälsning Mattias Lindberg ",Date of stay: May 2017,"[All, languages]",493
kpersson2017,May 2017,5,Toppenhotell,"Ett mycket trevligt hotell med en proffsig  och tillmötesgående personal, fina rum, en härlig matsal där det serveras otroligt goda middagar och mycket goda frukostbuffér. Hit återvänder jag gärna både i arbetet och privat!","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 12, 2017","Responded Jun 12, 2017",Tusen tack och hjärtligt välkommen åter! Med vänlig hälsning Mattias Lindberg,Date of stay: May 2017,"[All, languages]",493
Ann-christin P,May 2017,4,AfternoonTea!,"All förtäring var bra men personalen var lite si och så. Kändes som praktikanter utan någon ledare. Tydligen något fel i köket men då måste det meddelas. Teet serverades och 15 min senare kom kakor, scones  osv.","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 12, 2017","Responded Jun 12, 2017","Hej Ann-christin,  Vi tar åt oss av informationen och gör allt för att förbättra oss. Hjärtligt välkommen åter! Med vänlig hälsning Mattias Lindberg",Date of stay: May 2017,"[All, languages]",493
Briardhanne,May 2017,5,Mycket nöjd.,"Som vanligt trevligt bemötande, bra rum och god mat i Gambrinus. Frukosten magnifik. Problemet är bilparkering, som tycks bli krångligare för varje gång. Förbud att köra förbi Lund C och nu hela gatan framför hotellet uppgrävd. Kan man på sikt hitta någon bra lösning?","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 12, 2017","Responded Jun 12, 2017","Kära gäst,  Vi kan inte mer än be om ursäkt att det var uppgrävt vid ert besök. Saken är den att kommunen har flyttat ledningar i marken inför renoveringen av Bantorget samt vår framtida utbyggnad av verandorna. Nu är det avklarat och framkomligheten är normal igen. Hjärtligt välkomna åter! Med vänlig hälsning Mattias Lindberg",Date of stay: May 2017,"[All, languages]",493
brunossonsr,May 2017,3,Saknar en kopp kaffe på maten,"Vi var ett sällskap där alla hade samma meny. Flera i gruppen beklagade sig över menyn med allt för mycket fett som rann på tallriken.För övrigt fin service, vällagat och  god smak.  Till en gruppbokning bör allt från mat, dryck och kaffe på maten vara inbakat i totalpriset.","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jun 12, 2017","Responded Jun 12, 2017","Kära gäst,  Tack för att ni tog er tid att skriva en recension. Vi tar verkligen åt av den information som ni önskar att vi skall arbeta på. Hjärtligt välkommen åter! Med vänlig hälsning Mattias Lindberg",Date of stay: May 2017,"[All, languages]",493
