,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
109,Lund_02386,Rapeseed,Field,Mustard,Mustard plant,Yellow,Canola,Meadow,Plant,Grassland,Natural landscape,Nobbel6vs mosse,#€) Edvin Dribe, May 2017,"Rapeseed,Field,Mustard,Mustard plant,Yellow,Canola,Meadow,Plant,Grassland,Natural landscape"
110,Lund_01877,Architecture,Grass,Wall,Building,Castle,Waterway,Tree,Sky,Estate,Spring,Lundagérd,Sebastian Ander:, May 2017,"Architecture,Grass,Wall,Building,Castle,Waterway,Tree,Sky,Estate,Spring"
111,Lund_02707,Water resources,Water,Sky,River,Bank,Waterway,Lake,Natural environment,Reservoir,Shore,Rabysjon och Raby s,EEL\FETEEt], May 2018,"Water resources,Water,Sky,River,Bank,Waterway,Lake,Natural environment,Reservoir,Shore"
112,Lund_01843,Garden,Botanical garden,Botany,Park,Estate,Grass,Tree,Sky,Lawn,Building,Stadsparken,Jonathan Ohrling, May 2017,"Garden,Botanical garden,Botany,Park,Estate,Grass,Tree,Sky,Lawn,Building"
113,Lund_00791,Landmark,Building,Sky,Architecture,Estate,Mansion,Palace,Stately home,Tree,House,Lundagérd {,@ Marcus Reiner, May 2015,"Landmark,Building,Sky,Architecture,Estate,Mansion,Palace,Stately home,Tree,House"
114,Lund_00141,Sky,Landmark,Building,Architecture,Estate,Mansion,Palace,Stately home,House,Tree,[T 8,a Diana Picus, May 2017,"Sky,Landmark,Building,Architecture,Estate,Mansion,Palace,Stately home,House,Tree"
115,Lund_01830,Flag,Town,Building,Public space,City,Plaza,Town square,Architecture,Palace,Tourism,Sankt Hans Hill,@ Sumeet Ranjan S, May 2017,"Flag,Town,Building,Public space,City,Plaza,Town square,Architecture,Palace,Tourism"
116,Lund_01939,Garden,Botanical garden,Spring,Botany,Park,Reflecting pool,Flower,Water,Plant,Tree,Lundagérd,lefteris Bakosis, May 2018,"Garden,Botanical garden,Spring,Botany,Park,Reflecting pool,Flower,Water,Plant,Tree"
117,Lund_02108,Metropolitan area,Building,Architecture,City,Urban area,Tower block,Daytime,Sky,Human settlement,Skyscraper,LRI EL Y T,5‘3.‘..@ LU G, May 2016,"Metropolitan area,Building,Architecture,City,Urban area,Tower block,Daytime,Sky,Human settlement,Skyscraper"
118,Lund_02463,Pasture,Grassland,Sky,Grazing,Natural environment,Bovine,Natural landscape,Farm,Rural area,Grass,Nobbelbvs mosse,g ) Andreas Ahlgvist, May 2018,"Pasture,Grassland,Sky,Grazing,Natural environment,Bovine,Natural landscape,Farm,Rural area,Grass"
119,Lund_00796,Building,Architecture,Landmark,Medieval architecture,Classical architecture,Facade,Arch,Cathedral,City,Place of worship,[T T o1 T T T,Anjan Khara, May 2017,"Building,Architecture,Landmark,Medieval architecture,Classical architecture,Facade,Arch,Cathedral,City,Place of worship"
120,Lund_00188,Sky,Landmark,Tower,Building,Cloud,Shot tower,Cumulus,Architecture,,,l\i) Stana Minincic,l\i) Stana Minincic, May 2018,
121,Lund_01936,Landmark,Architecture,Tower,Building,Place of worship,Sky,Steeple,Historic site,Medieval architecture,Church,[T T o1 T 1T,Lynn Dow, May 2018,"Landmark,Architecture,Tower,Building,Place of worship,Sky,Steeple,Historic site,Medieval architecture,Church"
122,Lund_00564,Landmark,Building,Medieval architecture,Architecture,Facade,Classical architecture,Place of worship,Cathedral,Sky,Church,Lund Cathedral,i LIS, May 2017,"Landmark,Building,Medieval architecture,Architecture,Facade,Classical architecture,Place of worship,Cathedral,Sky,Church"
123,Lund_02679,Grassland,Natural environment,Prairie,Natural landscape,Sky,Plain,Steppe,Ecoregion,Grass,Horizon,Klosteréngshojden,# Viktor Erik Jense, May 2016,"Grassland,Natural environment,Prairie,Natural landscape,Sky,Plain,Steppe,Ecoregion,Grass,Horizon"
124,Lund_01428,Natural landscape,Reflection,Pond,Nature,Water,Vegetation,Bank,Garden,Reflecting pool,Nature reserve,Botanical Garden,Jesper Svensson, May 2018,"Natural landscape,Reflection,Pond,Nature,Water,Vegetation,Bank,Garden,Reflecting pool,Nature reserve"
125,Lund_01606,Property,Natural landscape,Residential area,House,Home,Building,Estate,Grass,Architecture,Real estate,Kulturen,Kulturen, May 2017,"Property,Natural landscape,Residential area,House,Home,Building,Estate,Grass,Architecture,Real estate"
126,Lund_01345,Building,Classical architecture,Landmark,Architecture,Palace,Official residence,Sky,Facade,Mansion,Estate,Lundagérd,6’ Michael Dobson, May 2016,"Building,Classical architecture,Landmark,Architecture,Palace,Official residence,Sky,Facade,Mansion,Estate"
127,Lund_02027,Garden,Botanical garden,Tree,Botany,Park,Spring,Plant,Leaf,Sky,Estate,Stadsparken,% William Térneber, May 2018,"Garden,Botanical garden,Tree,Botany,Park,Spring,Plant,Leaf,Sky,Estate"
128,Lund_00905,Garden,Landmark,Spring,Botany,Botanical garden,Plant,Estate,Stately home,Flower,Building,Lundagérd,S Sorina Gorcenco, May 2018,"Garden,Landmark,Spring,Botany,Botanical garden,Plant,Estate,Stately home,Flower,Building"
129,Lund_01332,Architecture,Landmark,Town,Urban area,City,Building,Human settlement,Street,Metropolitan area,Public space,‘ﬁ James Andrews,‘ﬁ James Andrews, May 2017,"Architecture,Landmark,Town,Urban area,City,Building,Human settlement,Street,Metropolitan area,Public space"
130,Lund_01583,Building,Transport,Vehicle,,,,,,,,Shyam A,Shyam A, May 2016,
131,Lund_01164,Urban area,Metropolitan area,City,Aerial photography,Bird's-eye view,Sky,Urban design,Residential area,Landscape,Architecture,Elite Hotel Ideon,—“ EEC N, May 2017,"Urban area,Metropolitan area,City,Aerial photography,Bird's-eye view,Sky,Urban design,Residential area,Landscape,Architecture"
132,Lund_01999,Landmark,Architecture,Sky,Building,Botany,Spring,Garden,Flower,Plant,House,Lundagérd,Teena Christense, May 2012,"Landmark,Architecture,Sky,Building,Botany,Spring,Garden,Flower,Plant,House"
133,Lund_00584,Garden,Botanical garden,Natural landscape,Botany,Park,Estate,Grass,Tree,Landscaping,Landscape,Stadsparken,J  Jonathan Ohrling, May 2017,"Garden,Botanical garden,Natural landscape,Botany,Park,Estate,Grass,Tree,Landscaping,Landscape"
134,Lund_00976,Landmark,Palace,Estate,Building,Plaza,Architecture,City,Mansion,Official residence,Château,Lundagérd 8,N Nikhil Dharap, May 2018,"Landmark,Palace,Estate,Building,Plaza,Architecture,City,Mansion,Official residence,Château"
135,Lund_02316,Property,House,Home,Roof,Building,Cottage,Real estate,Residential area,Architecture,Estate,Ostra Torns Montess,‘ LGB ORIl, May 2016,"Property,House,Home,Roof,Building,Cottage,Real estate,Residential area,Architecture,Estate"
136,Lund_01863,Body of water,Natural landscape,Reflection,Nature,Water,Bank,Tree,River,Natural environment,Water resources,Stadsparken 3,Stadsparken 3, May 2018,"Body of water,Natural landscape,Reflection,Nature,Water,Bank,Tree,River,Natural environment,Water resources"
137,Lund_02155,Natural landscape,Tree,Grass,Sky,Park,Spring,Botany,Trail,State park,Recreation,Botanical Garden,Karol Raczkowsk, May 2009,"Natural landscape,Tree,Grass,Sky,Park,Spring,Botany,Trail,State park,Recreation"
138,Lund_01648,Architecture,Building,Facade,House,City,Mixed-use,Commercial building,Glass,Residential area,Tourism,Nova .,5‘3.‘..@ Khoo Kay Joe, May 2016,"Architecture,Building,Facade,House,City,Mixed-use,Commercial building,Glass,Residential area,Tourism"
139,Lund_01427,Metropolitan area,Waterway,Architecture,City,Mixed-use,Building,Human settlement,Urban area,Condominium,Tower block,Loppmarknad,J) JAKAWAT PUMP, May 2017,"Metropolitan area,Waterway,Architecture,City,Mixed-use,Building,Human settlement,Urban area,Condominium,Tower block"
140,Lund_01472,Water,Water resources,Watercourse,Reflecting pool,Botany,Waterway,Garden,Tree,River,Grass,[T 3,[T 3, May 2010 i,"Water,Water resources,Watercourse,Reflecting pool,Botany,Waterway,Garden,Tree,River,Grass"
141,Lund_01818,Property,House,Roof,Architecture,Building,Church,Tree,Home,Cottage,Plant,Bosebo church,6 IR DL, May 2004,"Property,House,Roof,Architecture,Building,Church,Tree,Home,Cottage,Plant"
142,Lund_03034,Grassland,Green,Sky,Grass,Pasture,Field,Natural environment,Meadow,Daytime,Cloud,L E ),9 Sumeet Ranjan S, May 2017,"Grassland,Green,Sky,Grass,Pasture,Field,Natural environment,Meadow,Daytime,Cloud"
143,Lund_02439,Vegetation,Natural landscape,Nature,Grass,Grassland,Green,Nature reserve,Natural environment,Pasture,Plant community,Rinnebick Gorge 2,(U‘ ), May 2018,"Vegetation,Natural landscape,Nature,Grass,Grassland,Green,Nature reserve,Natural environment,Pasture,Plant community"
144,Lund_01537,Natural landscape,Body of water,Nature,Reflection,Bank,River,Water,Tree,Natural environment,Vegetation,Stadsparken,Veselina Dimitroy, May 2017,"Natural landscape,Body of water,Nature,Reflection,Bank,River,Water,Tree,Natural environment,Vegetation"
145,Lund_00309,Reflection,Water,Waterway,Pond,Reflecting pool,Bank,Canal,Sky,Architecture,Tree,Botanical Garden,@ Sumeet Ranjan S, May 2017,"Reflection,Water,Waterway,Pond,Reflecting pool,Bank,Canal,Sky,Architecture,Tree"
146,Lund_01945,Fountain,Public space,Tree,Water feature,Water,Architecture,Town square,Street,City,Plaza,Stadsparken,Viktor Erik Jense, May 2017,"Fountain,Public space,Tree,Water feature,Water,Architecture,Town square,Street,City,Plaza"
147,Lund_02520,Rapeseed,Mustard,Field,Canola,Mustard plant,Yellow,Plant,Meadow,Grassland,Natural landscape,Nobbel6vs mosse,#€) Edvin Dribe, May 2017,"Rapeseed,Mustard,Field,Canola,Mustard plant,Yellow,Plant,Meadow,Grassland,Natural landscape"
148,Lund_01742,Natural landscape,Body of water,Nature,Bank,Water resources,Water,Nature reserve,Vegetation,Natural environment,Pond,Stadsparken,Martin Andersso, May 2018,"Natural landscape,Body of water,Nature,Bank,Water resources,Water,Nature reserve,Vegetation,Natural environment,Pond"
149,Lund_01321,Tree,Landmark,Architecture,Sky,Steeple,Botany,Building,Church,Grass,Spire,Lundagérd,Lundagérd, May 2017,"Tree,Landmark,Architecture,Sky,Steeple,Botany,Building,Church,Grass,Spire"
150,Lund_01018,Landmark,Sky,Building,Architecture,City,Daytime,Facade,Town,Human settlement,Urban area,(I LR G L,g\ Stefanie Graham, May 2018,"Landmark,Sky,Building,Architecture,City,Daytime,Facade,Town,Human settlement,Urban area"
151,Lund_03171,Body of water,Water,Nature,River,Water resources,Natural landscape,Sky,Tree,Vegetation,Watercourse,Nobbel6vs mosse,L 1T T, May 2014,"Body of water,Water,Nature,River,Water resources,Natural landscape,Sky,Tree,Vegetation,Watercourse"
152,Lund_00460,Tree,Sky,Grass,Public space,Architecture,Botany,Church,Building,Park,Spring,[T L He 1 BT,% William Térneber, May 2018,"Tree,Sky,Grass,Public space,Architecture,Botany,Church,Building,Park,Spring"
153,Lund_01715,Town,Neighbourhood,Building,Street,Transport,Human settlement,Architecture,Road,City,Residential area,Café ltalia,‘f James Andrews, May 2017,"Town,Neighbourhood,Building,Street,Transport,Human settlement,Architecture,Road,City,Residential area"
154,Lund_01678,Fountain,Nature,Tree,Daytime,Water,Sky,Natural landscape,Public space,Water feature,Botany,Stadsparken ¢,-1 LR, May 2018,"Fountain,Nature,Tree,Daytime,Water,Sky,Natural landscape,Public space,Water feature,Botany"
155,Lund_03190,Landmark,Architecture,Building,Church,Medieval architecture,Sky,Steeple,Town,Place of worship,Spire,Lundagérd ¢,Janek Friesen, May 2016,"Landmark,Architecture,Building,Church,Medieval architecture,Sky,Steeple,Town,Place of worship,Spire"
156,Lund_02222,House,Building,Property,Home,Residential area,Architecture,Neighbourhood,Mansion,Estate,Real estate,Dévenheten Lund,Kommunikation |, May 2007,"House,Building,Property,Home,Residential area,Architecture,Neighbourhood,Mansion,Estate,Real estate"
157,Lund_00668,Palace,Building,Estate,Mansion,Tree,Plaza,House,Tourism,Architecture,City,Lundagérd,Robert Schuhma, May 2018,"Palace,Building,Estate,Mansion,Tree,Plaza,House,Tourism,Architecture,City"
158,Lund_00456,Landmark,Building,Architecture,Property,Stately home,Town,City,Estate,Château,Palace,Akademiska Férenin,6 IR DL, May 2004,"Landmark,Building,Architecture,Property,Stately home,Town,City,Estate,Château,Palace"
159,Lund_01285,Landmark,Architecture,Building,Church,Place of worship,Medieval architecture,Steeple,Town,Cathedral,Sky,Allhelgonakyrkan ¢,Jens Ngrbaek, May 2018,"Landmark,Architecture,Building,Church,Place of worship,Medieval architecture,Steeple,Town,Cathedral,Sky"
160,Lund_02716,Building,Retail,Outlet store,Boutique,Marketplace,Bazaar,,,,,Jakt & Friluftsgarder,yg LR, May 2017,
161,Lund_00113,Vehicle,Town,Car,Urban area,Transport,Street,Landmark,Mode of transport,Architecture,Neighbourhood,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017,"Vehicle,Town,Car,Urban area,Transport,Street,Landmark,Mode of transport,Architecture,Neighbourhood"
162,Lund_01790,Building,Architecture,Landmark,Classical architecture,Palace,Facade,House,Sky,Courthouse,Mansion,Lundagérd g,‘\;) Vesna Fati¢, May 2017,"Building,Architecture,Landmark,Classical architecture,Palace,Facade,House,Sky,Courthouse,Mansion"
163,Lund_01942,Crane,Urban area,Construction,Metropolitan area,Architecture,Sky,Transport,City,Building,Condominium,Kommunhuset Kristz,Jack Forsberg, May 2017,"Crane,Urban area,Construction,Metropolitan area,Architecture,Sky,Transport,City,Building,Condominium"
164,Lund_02383,Property,Architecture,Land lot,Real estate,Sky,Building,Facade,Soil,House,Landscape,MAX IV Laboratory,@ hormiai7é, May 2016,"Property,Architecture,Land lot,Real estate,Sky,Building,Facade,Soil,House,Landscape"
165,Lund_03169,Natural landscape,Nature,Natural environment,Marsh,Nature reserve,Water,Wetland,Sky,Bank,Floodplain,L TR TR,Charlotte Skarin, May 2017,"Natural landscape,Nature,Natural environment,Marsh,Nature reserve,Water,Wetland,Sky,Bank,Floodplain"
166,Lund_01231,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Gothic architecture,Cathedral,Place of worship,Facade,Steeple,[T T o1 T T T,Wal dek, May 2010,"Landmark,Medieval architecture,Architecture,Building,Classical architecture,Gothic architecture,Cathedral,Place of worship,Facade,Steeple"
167,Lund_01431,Metropolitan area,Waterway,Architecture,City,Mixed-use,Building,Human settlement,Urban area,Condominium,Tower block,Loppmarknad,J) JAKAWAT PUMP, May 2017,"Metropolitan area,Waterway,Architecture,City,Mixed-use,Building,Human settlement,Urban area,Condominium,Tower block"
168,Lund_01847,Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building,Lundagérd,% Mohammad A.M, May 2018,"Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building"
169,Lund_02817,Landmark,Building,Architecture,Sky,Town,City,Facade,Historic site,Church,Tourism,Stadsparken,J  Jonathan Ohrling, May 2017,"Landmark,Building,Architecture,Sky,Town,City,Facade,Historic site,Church,Tourism"
170,Lund_00196,Residential area,Building,Neighbourhood,Town,Human settlement,Property,City,Apartment,Mixed-use,Architecture,e Sumeet Ranjan S,e Sumeet Ranjan S, May 2017,"Residential area,Building,Neighbourhood,Town,Human settlement,Property,City,Apartment,Mixed-use,Architecture"
171,Lund_02182,Tree,Natural landscape,Nature,Sky,Vegetation,Green,Grass,Natural environment,Light,Sunlight,Rinnebick Gorge 2,Mido Lii, May 2018,"Tree,Natural landscape,Nature,Sky,Vegetation,Green,Grass,Natural environment,Light,Sunlight"
172,Lund_03143,Sky,Natural landscape,Cloud,Green,Pasture,Grassland,Natural environment,Grass,Land lot,Horizon,. Matthew H. Motz,. Matthew H. Motz, May 2018,"Sky,Natural landscape,Cloud,Green,Pasture,Grassland,Natural environment,Grass,Land lot,Horizon"
173,Lund_00547,Town,City,Town square,Human settlement,Building,Public space,Landmark,Plaza,Mixed-use,Architecture,Lundagérd,'v Rafael Schwartz, May 2018,"Town,City,Town square,Human settlement,Building,Public space,Landmark,Plaza,Mixed-use,Architecture"
174,Lund_01543,Natural landscape,Garden,Vegetation,Tree,Grass,Botanical garden,Grassland,Nature reserve,Meadow,Plant,Botanical Garden,) Habib ElRachidi, May 2018,"Natural landscape,Garden,Vegetation,Tree,Grass,Botanical garden,Grassland,Nature reserve,Meadow,Plant"
175,Lund_01319,Landmark,Architecture,Building,Estate,House,Sky,Rural area,Landscape,Mansion,Home,Lund Observatory,Jonathan Lundbe, May 2018,"Landmark,Architecture,Building,Estate,House,Sky,Rural area,Landscape,Mansion,Home"
176,Lund_00979,Landmark,Medieval architecture,Architecture,Building,Church,Place of worship,Steeple,Cathedral,Facade,Classical architecture,DI TN G BT T,"-"";h‘ Larysa Rehab", May 2017,"Landmark,Medieval architecture,Architecture,Building,Church,Place of worship,Steeple,Cathedral,Facade,Classical architecture"
177,Lund_00816,Building,Property,Architecture,Château,Tree,Estate,Stately home,House,Church,Historic house,Lundagérd,WYY T 6], May 2018,"Building,Property,Architecture,Château,Tree,Estate,Stately home,House,Church,Historic house"
178,Lund_02247,Straw,Hay,Hut,Grass,Grass family,Tree,Environmental art,Rural area,Plant,Thatching,-1 TL T B T B G G,Richard Nilsson, May 2017,"Straw,Hay,Hut,Grass,Grass family,Tree,Environmental art,Rural area,Plant,Thatching"
179,Lund_02913,Sky,House,Morning,Cloud,Rural area,Architecture,Tree,Home,Building,Grass,Virpingeskolan ¢,o Jef Kong, May 2017,"Sky,House,Morning,Cloud,Rural area,Architecture,Tree,Home,Building,Grass"
180,Lund_00798,Landmark,Architecture,Building,Medieval architecture,Stately home,Château,Facade,Turret,Palace,Castle,Lundagérd 8,N Nikhil Dharap, May 2018,"Landmark,Architecture,Building,Medieval architecture,Stately home,Château,Facade,Turret,Palace,Castle"
181,Lund_00583,Estate,Building,Mansion,Palace,Landmark,Property,Stately home,Official residence,Château,Architecture,Lundagérd,N WO Y G, May 2017,"Estate,Building,Mansion,Palace,Landmark,Property,Stately home,Official residence,Château,Architecture"
182,Lund_00089,Tree,Woody plant,Sky,Plant,Spring,Grass,Leaf,Daytime,Botany,Flower,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017,"Tree,Woody plant,Sky,Plant,Spring,Grass,Leaf,Daytime,Botany,Flower"
183,Lund_02521,Product,Industry,Factory,Machine,Building,Engineering,Metal,,,,MAX IV Laboratory,p‘ Indré Kolojanska, May 2017,
184,Lund_01432,Natural landscape,Tree,Sky,Grass,Green,Daytime,Lawn,Spring,Pasture,Natural environment,Botanical Garden,W) Wokitty b, May 2018,"Natural landscape,Tree,Sky,Grass,Green,Daytime,Lawn,Spring,Pasture,Natural environment"
185,Lund_02319,Sky,Water,Dock,Water resources,Morning,Boardwalk,River,Lake,Horizon,Waterway,Rabysjon och Raby s,q ﬁ Joakim Erlandss, May 2017,"Sky,Water,Dock,Water resources,Morning,Boardwalk,River,Lake,Horizon,Waterway"
186,Lund_01829,Building,Landmark,Tourism,Architecture,City,Sky,Facade,Cathedral,Medieval architecture,Pedestrian,Lunds Fontéinhus,J  Janus sobrzezeje, May 2018,"Building,Landmark,Tourism,Architecture,City,Sky,Facade,Cathedral,Medieval architecture,Pedestrian"
187,Lund_01059,Landmark,Building,Estate,Mansion,Architecture,Stately home,Palace,Official residence,Presidential palace,Sky,Lundagérd 9,( R LG, May 2017,"Landmark,Building,Estate,Mansion,Architecture,Stately home,Palace,Official residence,Presidential palace,Sky"
188,Lund_01233,Body of water,Natural landscape,Nature,Waterway,Tree,Canal,Water,Bank,River,Vegetation,Stadsparken,Peter Nordensva, May 2017,"Body of water,Natural landscape,Nature,Waterway,Tree,Canal,Water,Bank,River,Vegetation"
189,Lund_02880,Building,House,Property,Estate,Mansion,Architecture,Tree,Historic house,Home,Palace,Lundagérd,Mohammad A.M, May 2018,"Building,House,Property,Estate,Mansion,Architecture,Tree,Historic house,Home,Palace"
190,Lund_00871,Landmark,Spring,Flower,Garden,Building,Architecture,Botany,Plant,Mansion,Palace,’ Patrick G,’ Patrick G, May 2011,"Landmark,Spring,Flower,Garden,Building,Architecture,Botany,Plant,Mansion,Palace"
191,Lund_01898,Waterway,Metropolitan area,City,Human settlement,Mixed-use,Architecture,Condominium,Urban area,Town,Building,Loppmarknad,J) JAKAWAT PUMP, May 2017,"Waterway,Metropolitan area,City,Human settlement,Mixed-use,Architecture,Condominium,Urban area,Town,Building"
192,Lund_01151,Town,Property,Building,Public space,City,Human settlement,Neighbourhood,Architecture,Mixed-use,House,£ (g T,‘ﬁ James Andrews, May 2017,"Town,Property,Building,Public space,City,Human settlement,Neighbourhood,Architecture,Mixed-use,House"
193,Lund_01705,Town,Building,Neighbourhood,Property,House,Architecture,Transport,Street,Residential area,Human settlement,"Lundagérdens salon,",'r? James Andrews, May 2017,"Town,Building,Neighbourhood,Property,House,Architecture,Transport,Street,Residential area,Human settlement"
194,Lund_02086,Garden,Flower,Botanical garden,Botany,Spring,Plant,Landscaping,Mansion,Building,Landscape,Lundagérd 9,Pavel Jicha, May 2015,"Garden,Flower,Botanical garden,Botany,Spring,Plant,Landscaping,Mansion,Building,Landscape"
195,Lund_01832,Tree,Green,Grass,Natural landscape,Woody plant,Plant,Lawn,Grass family,Shrub,Leaf,Stadsparken,@) Habiv er-Rachici, May 2018,"Tree,Green,Grass,Natural landscape,Woody plant,Plant,Lawn,Grass family,Shrub,Leaf"
196,Lund_01133,Landmark,Architecture,Building,Estate,Tree,Tourist attraction,Stately home,National historic landmark,Palace,Mansion,[T T VT,Q chandan gupta, May 2017,"Landmark,Architecture,Building,Estate,Tree,Tourist attraction,Stately home,National historic landmark,Palace,Mansion"
197,Lund_01752,Fountain,Water,Sky,Public space,Daytime,Water feature,Plaza,Tree,Town,Town square,Stadsparken,Jonas Blomgqvist, May 2018,"Fountain,Water,Sky,Public space,Daytime,Water feature,Plaza,Tree,Town,Town square"
198,Lund_01217,Body of water,Natural landscape,Nature,Bank,Water resources,Water,Pond,River,Natural environment,Nature reserve,Stadsparken,LN Stenberg, May 2018,"Body of water,Natural landscape,Nature,Bank,Water resources,Water,Pond,River,Natural environment,Nature reserve"
199,Lund_01116,Landmark,Architecture,Medieval architecture,Building,Classical architecture,Gothic architecture,Facade,Place of worship,Church,Cathedral,Domkyrkoplatsen ¢,=N ETi(e e, May 2018,"Landmark,Architecture,Medieval architecture,Building,Classical architecture,Gothic architecture,Facade,Place of worship,Church,Cathedral"
200,Lund_01360,Flag,Landmark,Town,City,Public space,Building,Human settlement,Town square,Plaza,Sky,Sankt Hans Hill,ﬁ Sumeet Ranjan S, May 2017,"Flag,Landmark,Town,City,Public space,Building,Human settlement,Town square,Plaza,Sky"
201,Lund_02464,Pasture,Grassland,Sky,Grazing,Natural environment,Bovine,Natural landscape,Farm,Rural area,Grass,Nobbelbvs mosse,g ) Andreas Ahlgvist, May 2018,"Pasture,Grassland,Sky,Grazing,Natural environment,Bovine,Natural landscape,Farm,Rural area,Grass"
202,Lund_01495,Landmark,Architecture,Spring,Public space,Sky,Plaza,Building,Flower,City,Street light,Lundagérd,E Eliot Montesino, May 2018,"Landmark,Architecture,Spring,Public space,Sky,Plaza,Building,Flower,City,Street light"
203,Lund_01656,Garden,Vegetation,Natural landscape,Botanical garden,Grass,Tree,Botany,Grass family,Shrub,Lawn,RN en T L),) Habib ElRachidi, May 2018,"Garden,Vegetation,Natural landscape,Botanical garden,Grass,Tree,Botany,Grass family,Shrub,Lawn"
204,Lund_00076,Building,Filling station,Asphalt,Tree,Architecture,Road,Street,House,Residential area,Gas,@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017,"Building,Filling station,Asphalt,Tree,Architecture,Road,Street,House,Residential area,Gas"
205,Lund_01860,Property,Home,Sky,Grass,House,Architecture,Public space,Real estate,Botany,Residential area,Lundagérd,D  Dominik Wojciec, May 2015,"Property,Home,Sky,Grass,House,Architecture,Public space,Real estate,Botany,Residential area"
206,Lund_01631,Building,Property,Mixed-use,Campus,Architecture,Real estate,City,Room,College,University,Ingvar Kamprad Desi,Sabry Razick, May 2018,"Building,Property,Mixed-use,Campus,Architecture,Real estate,City,Room,College,University"
207,Lund_01337,Building,Property,Town,Architecture,Human settlement,Public space,House,City,Estate,Stately home,Bantorget,Birgitta Karlsson, May 2017,"Building,Property,Town,Architecture,Human settlement,Public space,House,City,Estate,Stately home"
208,Lund_01177,Garden,Botanical garden,Botany,Tree,Shrub,Park,Grass,Plant,Walkway,Hedge,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018,"Garden,Botanical garden,Botany,Tree,Shrub,Park,Grass,Plant,Walkway,Hedge"
209,Lund_01348,Estate,Building,Property,Mansion,Palace,House,Official residence,Manor house,Stately home,Architecture,[T T VT VT 01 A,Larysa Rehab, May 2017,"Estate,Building,Property,Mansion,Palace,House,Official residence,Manor house,Stately home,Architecture"
210,Lund_01247,Property,House,Building,Home,Roof,Cottage,Architecture,Real estate,Estate,Farmhouse,Coop Konsum,J  Janus sobrzezeje, May 2018,"Property,House,Building,Home,Roof,Cottage,Architecture,Real estate,Estate,Farmhouse"
211,Lund_01687,Building,Architecture,Landmark,Property,Town,Human settlement,City,Tree,Estate,Mixed-use,University Library,6 IR DL, May 2004,"Building,Architecture,Landmark,Property,Town,Human settlement,City,Tree,Estate,Mixed-use"
212,Lund_01068,Medieval architecture,Building,Castle,Historic site,Architecture,Château,Fortification,Palace,Stately home,Facade,"[T, T o1 T T T",(Rt N Y EY CY:TTEY, May 2017,"Medieval architecture,Building,Castle,Historic site,Architecture,Château,Fortification,Palace,Stately home,Facade"
213,Lund_02460,Plain,Grassland,Sky,Natural environment,Field,Daytime,Land lot,Prairie,Steppe,Pasture,Klosteréingshdjden,@ ) Banne Rumengal, May 2018,"Plain,Grassland,Sky,Natural environment,Field,Daytime,Land lot,Prairie,Steppe,Pasture"
214,Lund_00085,Water,Landmark,Sky,Architecture,Grass,Tree,Public space,Building,Estate,Fountain,[T 8,a Diana Picus, May 2017,"Water,Landmark,Sky,Architecture,Grass,Tree,Public space,Building,Estate,Fountain"
215,Lund_02207,Bridge,Daytime,Water,River,Waterway,Boardwalk,Road,Walkway,Architecture,Infrastructure,Rabysjon och Raby s,Erik Brattkull, May 2018,"Bridge,Daytime,Water,River,Waterway,Boardwalk,Road,Walkway,Architecture,Infrastructure"
216,Lund_02425,Roof,Residential area,Town,Neighbourhood,Urban area,City,Human settlement,Suburb,Building,Metropolitan area,LT ELLER BT,"g R oo,", May 2016,"Roof,Residential area,Town,Neighbourhood,Urban area,City,Human settlement,Suburb,Building,Metropolitan area"
217,Lund_00120,Sky,Spire,Landmark,Architecture,Church,Building,Place of worship,Parish,Steeple,Cathedral,@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017,"Sky,Spire,Landmark,Architecture,Church,Building,Place of worship,Parish,Steeple,Cathedral"
218,Lund_02060,Body of water,Water resources,Natural landscape,Water,Nature,Bank,Pond,River,Natural environment,Reservoir,Stadsparken,Q Peter Nordensva, May 2018,"Body of water,Water resources,Natural landscape,Water,Nature,Bank,Pond,River,Natural environment,Reservoir"
219,Lund_01222,Garden,Botanical garden,Botany,Tree,Grass,Spring,Shrub,Plant,Walkway,Park,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018,"Garden,Botanical garden,Botany,Tree,Grass,Spring,Shrub,Plant,Walkway,Park"
220,Lund_01003,Landmark,Architecture,Classical architecture,Building,Facade,Palace,Sky,City,Seat of local government,House,Lundagérd,A Anneliese Wacke, May 2017,"Landmark,Architecture,Classical architecture,Building,Facade,Palace,Sky,City,Seat of local government,House"
221,Lund_01541,Building,Architecture,Tree,House,Estate,Grass,Church,Medieval architecture,History,Historic house,Stadsparken 3,loana Pavel, May 2017,"Building,Architecture,Tree,House,Estate,Grass,Church,Medieval architecture,History,Historic house"
