,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
108,Lund_01359,Town,Building,Property,Mixed-use,Architecture,Neighbourhood,House,City,Real estate,Residential area,Park Inn by Radissor,l& Thom Seaman, Oct 2016,"Town,Building,Property,Mixed-use,Architecture,Neighbourhood,House,City,Real estate,Residential area"
109,Lund_02281,Factory,Industry,Building,Warehouse,Machine,Toolroom,Mass production,Hall,Interior design,Workshop,MAX IV Laboratory,@ EONE Y, Oct 2016,"Factory,Industry,Building,Warehouse,Machine,Toolroom,Mass production,Hall,Interior design,Workshop"
110,Lund_00692,Building,Estate,Palace,Mansion,Landmark,Château,Stately home,Official residence,Architecture,Classical architecture,Lundagérd,;&g peter kurnavka, Oct 2017,"Building,Estate,Palace,Mansion,Landmark,Château,Stately home,Official residence,Architecture,Classical architecture"
111,Lund_03173,Grassland,Natural landscape,Pasture,Vegetation,Field,Nature,Natural environment,Meadow,Land lot,Grass,Klosteréngshojden,Klosteréngshojden, Oct 2018,"Grassland,Natural landscape,Pasture,Vegetation,Field,Nature,Natural environment,Meadow,Land lot,Grass"
112,Lund_01618,Classical architecture,Landmark,Architecture,Building,Sky,Facade,Palace,City,Metropolis,Plaza,Lundagérd,LT [N EETG Y, Oct 2018,"Classical architecture,Landmark,Architecture,Building,Sky,Facade,Palace,City,Metropolis,Plaza"
113,Lund_00224,Building,Landmark,Architecture,Estate,Palace,Stately home,Mansion,Official residence,Château,Classical architecture,Lundagérd,@ cissio Oliveira, Oct 2017,"Building,Landmark,Architecture,Estate,Palace,Stately home,Mansion,Official residence,Château,Classical architecture"
114,Lund_01714,Landmark,Medieval architecture,Architecture,Building,Place of worship,Sky,Spire,Church,Cathedral,Gothic architecture,Lundagérd 9,Lundagérd 9, Oct 2013,"Landmark,Medieval architecture,Architecture,Building,Place of worship,Sky,Spire,Church,Cathedral,Gothic architecture"
115,Lund_00985,Building,Town,Medieval architecture,Architecture,Facade,Church,Monastery,Abbey,Cathedral,Convent,[T e T T T,Ania Jasiok, Oct 2018,"Building,Town,Medieval architecture,Architecture,Facade,Church,Monastery,Abbey,Cathedral,Convent"
116,Lund_01309,Town,City,Public space,Landmark,Human settlement,Plaza,Town square,Building,Architecture,Street,Lund Cathedral,@ Krystian Czernek, Oct 2017,"Town,City,Public space,Landmark,Human settlement,Plaza,Town square,Building,Architecture,Street"
117,Lund_01776,Tree,Landmark,Medieval architecture,Château,Castle,Building,Architecture,Woody plant,Stately home,Fortification,Lundagérd 9,L CIOEILEIVE, Oct 2017,"Tree,Landmark,Medieval architecture,Château,Castle,Building,Architecture,Woody plant,Stately home,Fortification"
118,Lund_02818,Aerial photography,Residential area,Bird's-eye view,Suburb,Urban area,Metropolitan area,Urban design,City,Human settlement,Neighbourhood,Lundagérd 8,@ Sergio Garcia, Oct 2012,"Aerial photography,Residential area,Bird's-eye view,Suburb,Urban area,Metropolitan area,Urban design,City,Human settlement,Neighbourhood"
119,Lund_01179,Building,Château,Estate,Stately home,Architecture,Mansion,Palace,Manor house,Historic house,Medieval architecture,Grand Hotel Lund,J Jason Chaikin, Oct 2016,"Building,Château,Estate,Stately home,Architecture,Mansion,Palace,Manor house,Historic house,Medieval architecture"
120,Lund_03201,Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,Arch,Facade,Historic site,Estate,Lund Cathedral,@ Krystian Czernek, Oct 2017,"Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,Arch,Facade,Historic site,Estate"
121,Lund_01836,Natural landscape,Body of water,Nature,Water resources,Water,Fountain,Tree,Watercourse,Nature reserve,Bank,Stadsparken,5 a Anna Sadowska, Oct 2018,"Natural landscape,Body of water,Nature,Water resources,Water,Fountain,Tree,Watercourse,Nature reserve,Bank"
122,Lund_03107,Highland,Geological phenomenon,Hill station,Water,Watercourse,Sky,Rural area,Grass,Tree,Landscape,Rinnebick Gorge,D Davide De Martir, Oct 2016,"Highland,Geological phenomenon,Hill station,Water,Watercourse,Sky,Rural area,Grass,Tree,Landscape"
123,Lund_02250,Slope,Geological phenomenon,Grass,Rural area,Tree,Road,Pasture,Land lot,Landscape,Plant,Rinnebick Gorge,e S YD R E, Oct 2017,"Slope,Geological phenomenon,Grass,Rural area,Tree,Road,Pasture,Land lot,Landscape,Plant"
124,Lund_01828,Landmark,Building,Architecture,Classical architecture,Mansion,House,Estate,Official residence,Palace,Presidential palace,Lundagérd 9,Zoran Trivic, Oct 2017,"Landmark,Building,Architecture,Classical architecture,Mansion,House,Estate,Official residence,Palace,Presidential palace"
125,Lund_02276,Property,House,Sky,Building,Architecture,Home,Yard,Grass,Residential area,Real estate,Kulturen,ina andersen, Oct 2018,"Property,House,Sky,Building,Architecture,Home,Yard,Grass,Residential area,Real estate"
126,Lund_02934,Grass,Natural landscape,Lawn,Property,Walkway,Garden,Backyard,Yard,Grass family,Land lot,Ostratornskolan,= Anne-Lii Lindahl, Oct 2016,"Grass,Natural landscape,Lawn,Property,Walkway,Garden,Backyard,Yard,Grass family,Land lot"
127,Lund_02210,Body of water,Natural landscape,Sky,Water,Nature,Cloud,Lake,Natural environment,Loch,Wilderness,Eslév Toy Museum,J Janus Wojtaszcz, Oct 2017,"Body of water,Natural landscape,Sky,Water,Nature,Cloud,Lake,Natural environment,Loch,Wilderness"
128,Lund_01464,Landmark,Sky,Architecture,Tree,Spire,Steeple,Building,Church,Tower,Urban area,Lundagérd,@ ST EE ), Oct 2007,"Landmark,Sky,Architecture,Tree,Spire,Steeple,Building,Church,Tower,Urban area"
129,Lund_01196,Town,Building,Property,Architecture,Mixed-use,Human settlement,House,Neighbourhood,City,Real estate,Botulfsplatsen,‘Q Thom Seaman, Oct 2016,"Town,Building,Property,Architecture,Mixed-use,Human settlement,House,Neighbourhood,City,Real estate"
130,Lund_01057,Landmark,Building,Property,Architecture,Tree,Stately home,Medieval architecture,Castle,Estate,Château,Lundagérd,‘E’ng Marzia Cescon, Oct 2017,"Landmark,Building,Property,Architecture,Tree,Stately home,Medieval architecture,Castle,Estate,Château"
131,Lund_01482,Sky,Garden,Nature,Cloud,Botanical garden,Daytime,Natural landscape,Tree,Botany,Grass,Stadsparken g,M> Max Power, Oct 2015,"Sky,Garden,Nature,Cloud,Botanical garden,Daytime,Natural landscape,Tree,Botany,Grass"
132,Lund_03202,Landmark,Architecture,Building,Sky,City,Classical architecture,Medieval architecture,Church,Urban area,Cathedral,[T e T T T,[T e T T T, Oct 2017,"Landmark,Architecture,Building,Sky,City,Classical architecture,Medieval architecture,Church,Urban area,Cathedral"
133,Lund_02643,Leaf,Sky,Tree,Autumn,Wilderness,Biome,Urban area,Morning,Residential area,City,Rotundan,R  Risto Lazarevic, Oct 2018,"Leaf,Sky,Tree,Autumn,Wilderness,Biome,Urban area,Morning,Residential area,City"
134,Lund_01766,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Palace,Estate,Sky,House,Lundagérd c,Goran Egevad, Oct 2017,"Classical architecture,Building,Landmark,Architecture,Property,Mansion,Palace,Estate,Sky,House"
135,Lund_00712,Town,City,Human settlement,Public space,Town square,Building,Architecture,Plaza,Tourism,Mixed-use,Botulfsplatsen,‘Q Thom Seaman, Oct 2016,"Town,City,Human settlement,Public space,Town square,Building,Architecture,Plaza,Tourism,Mixed-use"
136,Lund_00219,Building,Landmark,Architecture,Estate,Palace,Stately home,Mansion,Sky,Official residence,Château,Lundagérd,@ cissio Oliveira, Oct 2017,"Building,Landmark,Architecture,Estate,Palace,Stately home,Mansion,Sky,Official residence,Château"
137,Lund_00075,Property,Town,Building,Neighbourhood,Thoroughfare,Street,House,Road,City,,. Marion Kaletta,. Marion Kaletta, Oct 2017,
138,Lund_02580,Vegetation,Grass,Slope,Tree,Geological phenomenon,Waterway,Land lot,Rural area,Landscape,Grassland,Rinnebick Gorge,s Zingo Andersen, Oct 2017,"Vegetation,Grass,Slope,Tree,Geological phenomenon,Waterway,Land lot,Rural area,Landscape,Grassland"
139,Lund_00252,Building,Palace,Classical architecture,Château,Landmark,Architecture,Estate,Mansion,Official residence,Facade,LT TV HTET 1 T,(S VYA, Oct 2010,"Building,Palace,Classical architecture,Château,Landmark,Architecture,Estate,Mansion,Official residence,Facade"
140,Lund_00292,Building,Landmark,Property,Architecture,Estate,Palace,Sky,Town,City,Stately home,University Library,(S VYA, Oct 2010,"Building,Landmark,Property,Architecture,Estate,Palace,Sky,Town,City,Stately home"
141,Lund_03200,Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,Arch,Facade,Historic site,Estate,Lundagérd,Krystian Czernek, Oct 2017,"Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,Arch,Facade,Historic site,Estate"
142,Lund_00762,Building,Property,Landmark,Architecture,Estate,Town,Stately home,Mansion,House,City,Grand Hotel Lund |,Y Y 7, Oct 2018,"Building,Property,Landmark,Architecture,Estate,Town,Stately home,Mansion,House,City"
143,Lund_01163,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,Tower,Lundagérd 8,@ Sergio Garcia, Oct 2012,"Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,Tower"
144,Lund_01393,Estate,Building,Mansion,Property,Palace,Stately home,Manor house,Château,Official residence,House,Lundagérd 9,Ben Carsten, Oct 2017,"Estate,Building,Mansion,Property,Palace,Stately home,Manor house,Château,Official residence,House"
145,Lund_01162,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,Tower,Lundagérd 8,@ Sergio Garcia, Oct 2012,"Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,Tower"
146,Lund_00941,Building,Property,Estate,Palace,Public space,Plaza,Stately home,Human settlement,City,Mansion,Grand Hotel Lund,?L Per Irgens, Oct 2009,"Building,Property,Estate,Palace,Public space,Plaza,Stately home,Human settlement,City,Mansion"
147,Lund_01664,Sky,Landmark,Tree,Leaf,Autumn,Architecture,Building,Steeple,City,Cloud,Lundagérd,Marzia Cescon, Oct 2017,"Sky,Landmark,Tree,Leaf,Autumn,Architecture,Building,Steeple,City,Cloud"
148,Lund_02074,Sky,Architecture,Landmark,Building,Photography,Fisheye lens,Urban area,City,Cloud,Tree,[T T e T T T,Mark Vartok, Oct 2015,"Sky,Architecture,Landmark,Building,Photography,Fisheye lens,Urban area,City,Cloud,Tree"
149,Lund_01488,Building,Classical architecture,Architecture,Landmark,Palace,Facade,Mansion,Official residence,Estate,Stately home,Lundagérd,(elT. 1 W [V =, Oct 2014,"Building,Classical architecture,Architecture,Landmark,Palace,Facade,Mansion,Official residence,Estate,Stately home"
150,Lund_02433,Estate,Property,Building,Landmark,Architecture,Sky,Mansion,House,Tree,Home,Lundagérd,R Ryan Lannigan, Oct 2018,"Estate,Property,Building,Landmark,Architecture,Sky,Mansion,House,Tree,Home"
151,Lund_02363,Factory,Industry,Building,Electrical wiring,Machine,Electrical supply,,,,,MAX IV Laboratory,@ EONE Y, Oct 2016,
152,Lund_02437,Building,Sky,Landmark,Architecture,Property,Town,Château,Palace,Estate,Tree,LTS T T T,D ) Daniel Wessel, Oct 2018,"Building,Sky,Landmark,Architecture,Property,Town,Château,Palace,Estate,Tree"
153,Lund_02695,Grassland,Pasture,Grazing,Natural environment,Meadow,Wildlife,Plain,Ecoregion,Grass,Prairie,Rinnebick Gorge 2,L 1T T, Oct 2013,"Grassland,Pasture,Grazing,Natural environment,Meadow,Wildlife,Plain,Ecoregion,Grass,Prairie"
154,Lund_01526,Building,Architecture,Landmark,Medieval architecture,Sky,Place of worship,Cathedral,Church,Facade,Classical architecture,[T T o1 T T T,[T TR, Oct 2016,"Building,Architecture,Landmark,Medieval architecture,Sky,Place of worship,Cathedral,Church,Facade,Classical architecture"
155,Lund_01692,Town,City,Landmark,Public space,Human settlement,Building,Architecture,Town square,Sky,Plaza,Bjeredsparken,Jelena Njegomir, Oct 2017,"Town,City,Landmark,Public space,Human settlement,Building,Architecture,Town square,Sky,Plaza"
156,Lund_00295,Landmark,Building,Architecture,Sky,Estate,Palace,Stately home,Mansion,Official residence,Presidential palace,Lundagérd,@ cissio Oliveira, Oct 2017,"Landmark,Building,Architecture,Sky,Estate,Palace,Stately home,Mansion,Official residence,Presidential palace"
157,Lund_00334,Building,Architecture,Property,Landmark,Palace,Town,City,Human settlement,Sky,Facade,Lundagérd,@ Stefan Sgnderva, Oct 2017,"Building,Architecture,Property,Landmark,Palace,Town,City,Human settlement,Sky,Facade"
158,Lund_00524,Estate,Building,Mansion,Landmark,Palace,Stately home,Architecture,Classical architecture,Official residence,Presidential palace,?‘}m Goran Todorovié¢,?‘}m Goran Todorovié¢, Oct 2014,"Estate,Building,Mansion,Landmark,Palace,Stately home,Architecture,Classical architecture,Official residence,Presidential palace"
159,Lund_01361,Classical architecture,Landmark,Architecture,Building,Facade,Palace,City,House,Tourist attraction,Château,Lundagérd,a Centar Prevencij:, Oct 2016,"Classical architecture,Landmark,Architecture,Building,Facade,Palace,City,House,Tourist attraction,Château"
160,Lund_00277,Palace,Building,Estate,Landmark,Mansion,Château,Official residence,Architecture,Stately home,Presidential palace,Lundagérd,;&g peter kurnavka, Oct 2017,"Palace,Building,Estate,Landmark,Mansion,Château,Official residence,Architecture,Stately home,Presidential palace"
161,Lund_02031,Body of water,Natural landscape,Nature,Water resources,Pond,Bank,Reflection,Water,Lake,Natural environment,Ankdammen.,Ingegerd Karlsso, Oct 2016,"Body of water,Natural landscape,Nature,Water resources,Pond,Bank,Reflection,Water,Lake,Natural environment"
162,Lund_01435,Estate,Building,Mansion,Property,Palace,Stately home,House,Château,Manor house,Tree,Lundagérd,A) Arulselvi Selvaraj, Oct 2015,"Estate,Building,Mansion,Property,Palace,Stately home,House,Château,Manor house,Tree"
163,Lund_03005,Natural landscape,Vegetation,Natural environment,Tree,Nature reserve,Bank,Grass,Rock,Hill,Geological phenomenon,Rinnebick Gorge 2,L 1T T, Oct 2013,"Natural landscape,Vegetation,Natural environment,Tree,Nature reserve,Bank,Grass,Rock,Hill,Geological phenomenon"
164,Lund_02034,Medieval architecture,Architecture,Landmark,Building,Classical architecture,Place of worship,Gothic architecture,Cathedral,Facade,Church,Domkyrkan i véntans,j‘;}) Ingegerd Karlsso, Oct 2016,"Medieval architecture,Architecture,Landmark,Building,Classical architecture,Place of worship,Gothic architecture,Cathedral,Facade,Church"
165,Lund_03117,Natural landscape,Nature,Tree,Vegetation,Natural environment,Nature reserve,Bank,Watercourse,River,Grass,Rinnebick Gorge 2,L 1T T, Oct 2013,"Natural landscape,Nature,Tree,Vegetation,Natural environment,Nature reserve,Bank,Watercourse,River,Grass"
166,Lund_00019,Tree,Garden,Natural landscape,Grass,Lawn,Botanical garden,Park,Botany,Estate,Plant,@ Mohammad Wat,@ Mohammad Wat, Oct 2017,"Tree,Garden,Natural landscape,Grass,Lawn,Botanical garden,Park,Botany,Estate,Plant"
167,Lund_02537,Natural landscape,Nature,Tree,Nature reserve,Water,Natural environment,Watercourse,Bank,Waterway,Riparian zone,Rinnebick Gorge 2,L 1T T, Oct 2013,"Natural landscape,Nature,Tree,Nature reserve,Water,Natural environment,Watercourse,Bank,Waterway,Riparian zone"
168,Lund_00115,Landmark,Tower,Steeple,Building,Spire,Architecture,Church,Place of worship,Medieval architecture,National historic landmark,. Marion Kaletta,. Marion Kaletta, Oct 2017,"Landmark,Tower,Steeple,Building,Spire,Architecture,Church,Place of worship,Medieval architecture,National historic landmark"
169,Lund_01266,Estate,Building,Property,Palace,Mansion,Stately home,Château,Architecture,Manor house,Sky,Lundagérd,@ Stefan Sgnderva, Oct 2017,"Estate,Building,Property,Palace,Mansion,Stately home,Château,Architecture,Manor house,Sky"
170,Lund_02016,Classical architecture,Building,Landmark,Architecture,Palace,Facade,Mansion,House,Official residence,Estate,Lundagérd,(elT. 1 W [V =, Oct 2014,"Classical architecture,Building,Landmark,Architecture,Palace,Facade,Mansion,House,Official residence,Estate"
171,Lund_00665,Building,Architecture,Property,Landmark,Town,Classical architecture,House,Facade,Palace,Seat of local government,Hotel Concordia,@) From a Google U, Oct 2009,"Building,Architecture,Property,Landmark,Town,Classical architecture,House,Facade,Palace,Seat of local government"
172,Lund_00042,Walkway,Botanical garden,Natural landscape,Garden,Tree,Botany,Public space,Leaf,Landscape,Path,@ Mohammad Wat,@ Mohammad Wat, Oct 2017,"Walkway,Botanical garden,Natural landscape,Garden,Tree,Botany,Public space,Leaf,Landscape,Path"
173,Lund_02204,Natural landscape,Nature,Tree,Leaf,Guard rail,Nature reserve,Sky,Grass,Road,Water,Rinnebick Gorge,e S YD R E, Oct 2017,"Natural landscape,Nature,Tree,Leaf,Guard rail,Nature reserve,Sky,Grass,Road,Water"
174,Lund_01840,Landmark,Sky,Tower,Tree,Architecture,Observation tower,Building,Grass,Rural area,Estate,Lundagérd,a Centar Prevencij:, Oct 2016,"Landmark,Sky,Tower,Tree,Architecture,Observation tower,Building,Grass,Rural area,Estate"
175,Lund_01161,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,Tower,Lundagérd 8,@ Sergio Garcia, Oct 2012,"Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,Tower"
176,Lund_01409,Landmark,Building,Estate,Mansion,Architecture,Palace,House,Stately home,Tree,Sky,Lundagérd 9,Florian Preis, Oct 2017,"Landmark,Building,Estate,Mansion,Architecture,Palace,House,Stately home,Tree,Sky"
177,Lund_00961,Estate,Building,Palace,Mansion,Château,Stately home,Official residence,House,Architecture,Manor house,Lundagérd,A) Arulselvi Selvaraj, Oct 2015,"Estate,Building,Palace,Mansion,Château,Stately home,Official residence,House,Architecture,Manor house"
