,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b
139,Riparian forest,1.0,,,Night,1.0,Leaf,1.0,Outlet store,2.0,Dock,2.0,Salt marsh,3.0,Watercraft,3,College,2.0,Brutalist architecture,1.0,,,,
140,Hardwood,1.0,,,Grass family,1.0,Goal,1.0,Flag,2.0,Herd,2.0,Farm,3.0,Canal,3,Flower,2.0,Cottage,1.0,,,,
141,Soil,1.0,,,Wetland,1.0,Baptistery,1.0,Boardwalk,2.0,Yellow,2.0,Seat of local government,3.0,Boat,3,Night,2.0,Observation tower,1.0,,,,
142,Weight training,1.0,,,Community centre,1.0,Villa,1.0,Door,2.0,Gasoline,2.0,Stream,3.0,Morning,3,Column,2.0,Backyard,1.0,,,,
143,Freshwater marsh,1.0,,,Riparian zone,1.0,Headquarters,1.0,Aerial photography,2.0,Sheep,2.0,Reservoir,3.0,Restaurant,3,Atmosphere,2.0,Duck,1.0,,,,
144,Yurt,1.0,,,Reflection,1.0,Signage,1.0,National historic landmark,2.0,Fish pond,2.0,Asphalt,3.0,Yard,3,Spring,2.0,Boulder,1.0,,,,
145,Tower,1.0,,,Restaurant,1.0,Bench,1.0,Photography,2.0,Chapel,2.0,Holy places,3.0,Brickwork,3,Road surface,2.0,Aisle,1.0,,,,
146,Racquet sport,1.0,,,Line,1.0,Fence,1.0,Business,2.0,Bicycle,2.0,Parish,3.0,Company,3,Seat of local government,2.0,Column,1.0,,,,
147,River,1.0,,,Dirt road,1.0,Cumulus,1.0,Fortification,2.0,bounce house,2.0,Cityscape,2.0,Straw,3,Observation tower,2.0,Landscaping,1.0,,,,
148,Plain,1.0,,,Airport,1.0,Project,1.0,Leisure,2.0,Fortification,2.0,Woody plant,2.0,Player,3,Landscaping,2.0,Fortification,1.0,,,,
149,Waterway,1.0,,,Condominium,1.0,Winter,1.0,Yard,2.0,Wilderness,2.0,Photography,2.0,Port,3,Sculpture,2.0,Abbey,1.0,,,,
150,Nature,1.0,,,Geological phenomenon,1.0,Atmospheric phenomenon,1.0,College,2.0,Playground,2.0,Groundcover,2.0,Atmosphere,3,Player,2.0,Prairie,1.0,,,,
151,Retail,1.0,,,Light,1.0,Marsh,1.0,Trail,2.0,Physical fitness,2.0,Leisure centre,2.0,Water transportation,3,Floor,2.0,Convenience store,1.0,,,,
152,Almshouse,1.0,,,Sports equipment,1.0,Walking,1.0,Iron,2.0,Agriculture,2.0,Bicycle,2.0,Road surface,3,Abbey,2.0,Field,1.0,,,,
153,Tennis Equipment,1.0,,,Mode of transport,1.0,Bridge,1.0,Product,2.0,Lane,2.0,Mid-size car,2.0,Snow,3,Stream bed,2.0,Atmospheric phenomenon,1.0,,,,
154,History,1.0,,,Sculpture,1.0,Asphalt,1.0,Mode of transport,2.0,Championship,2.0,Furniture,2.0,Coast,3,Highland,2.0,Commercial building,1.0,,,,
155,Botany,1.0,,,Track,1.0,Fell,1.0,Window,2.0,Road surface,2.0,Hut,2.0,Lake,3,Table,2.0,Warehouse,1.0,,,,
156,Blizzard,1.0,,,Tidal marsh,1.0,Mode of transport,1.0,Atmospheric phenomenon,2.0,Villa,2.0,Grazing,2.0,Shopping,2,Bar,1.0,Loft,1.0,,,,
157,Stream,1.0,,,Player,1.0,Cityscape,1.0,Metal,2.0,Light fixture,2.0,Observation tower,2.0,Bazaar,2,Woodland,1.0,Grocery store,1.0,,,,
158,Historic house,1.0,,,Mountain,1.0,Retail,1.0,Commercial building,2.0,Wood,2.0,Condominium,2.0,Sports equipment,2,Food,1.0,Wildlife,1.0,,,,
159,Wetland,1.0,,,,,Shrub,1.0,Fuel,2.0,Boardwalk,2.0,Parking lot,2.0,Panorama,2,Countertop,1.0,Shrub,1.0,,,,
160,Window,1.0,,,,,Pole,1.0,Floor,2.0,Brickwork,2.0,Restaurant,2.0,Sculpture,2,Guard rail,1.0,Guard rail,1.0,,,,
161,Outlet store,1.0,,,,,Highland,1.0,Flooring,2.0,Biome,2.0,Farmhouse,2.0,Outlet store,2,Industry,1.0,Monastery,1.0,,,,
162,Floor,1.0,,,,,Lake,1.0,Glass,2.0,Tent,2.0,Team sport,2.0,Fuel,2,Ford motor company,1.0,Mass production,1.0,,,,
163,Exercise equipment,1.0,,,,,Diner,1.0,Chapel,2.0,Canal,2.0,Walkway,2.0,Village,2,Stone carving,1.0,Urban design,1.0,,,,
164,Tennis,1.0,,,,,Cobblestone,1.0,Canola,2.0,Leaf,2.0,Sea,2.0,Filling station,2,Water bird,1.0,Almshouse,1.0,,,,
165,Physical fitness,1.0,,,,,Almshouse,1.0,Machine,2.0,Farmhouse,2.0,Atmospheric phenomenon,2.0,Flag,2,Horizon,1.0,Hill station,1.0,,,,
166,Wood,1.0,,,,,Fortification,1.0,Bird's-eye view,2.0,Mountain,2.0,Rest area,2.0,Lighting,2,Morning,1.0,Grazing,1.0,,,,
167,Atmospheric phenomenon,1.0,,,,,Sculpture,1.0,Salt marsh,2.0,Community,2.0,Hill,2.0,Flooring,2,Arroyo,1.0,Subcompact car,1.0,,,,
168,Inventory,1.0,,,,,Condominium,1.0,Geological phenomenon,2.0,Landscaping,2.0,Window,2.0,Observation tower,2,Villa,1.0,Cityscape,1.0,,,,
169,Warehouse,1.0,,,,,History,1.0,Shore,2.0,Bovine,2.0,Geological phenomenon,2.0,Gas,2,Golf club,1.0,Outlet store,1.0,,,,
170,Net,1.0,,,,,Agriculture,1.0,Skyscraper,2.0,Soccer-specific stadium,2.0,Villa,2.0,Furniture,2,Pizza,1.0,Arcade,1.0,,,,
171,Fountain,1.0,,,,,Rain,1.0,Sport venue,2.0,Reservoir,2.0,Byzantine architecture,2.0,Bicycle,2,Soccer,1.0,Green,1.0,,,,
172,Grocery store,1.0,,,,,Ecoregion,1.0,Retail,2.0,Evening,2.0,Coast,2.0,Trail,2,Arecales,1.0,Environmental art,1.0,,,,
173,Product,1.0,,,,,Wall,1.0,Flowering plant,1.0,Vacation,2.0,Turret,2.0,Walking,2,Window,1.0,Art,1.0,,,,
174,Garden,1.0,,,,,Metropolis,1.0,Lighting,1.0,Infrastructure,2.0,Infrastructure,2.0,Gasoline,2,Tower block,1.0,Car,1.0,,,,
175,Mountain,1.0,,,,,Hill,1.0,Environmental art,1.0,Thoroughfare,2.0,Goal,2.0,Business,2,Courtyard,1.0,Courthouse,1.0,,,,
176,,,,,,,Arch,1.0,Panorama,1.0,Gas,2.0,Road surface,2.0,Sports,2,Classical sculpture,1.0,Retail,1.0,,,,
177,,,,,,,Fountain,1.0,Turret,1.0,Walkway,2.0,Bovine,2.0,Window,2,Machine,1.0,Workshop,1.0,,,,
178,,,,,,,Steppe,1.0,Crane,1.0,University,2.0,Shed,2.0,Mode of transport,2,Hall,1.0,Yellow,1.0,,,,
179,,,,,,,Dirt road,1.0,Corporate headquarters,1.0,Photography,2.0,Signage,2.0,Interior design,2,Advertising,1.0,Asphalt,1.0,,,,
180,,,,,,,Ruins,1.0,Path,1.0,Livestock,1.0,Brickwork,2.0,Headquarters,2,Mode of transport,1.0,Sculpture,1.0,,,,
181,,,,,,,Rest area,1.0,Bazaar,1.0,Fence,1.0,Family car,2.0,Fish pond,2,Bird,1.0,Monument,1.0,,,,
182,,,,,,,Floodplain,1.0,Shot tower,1.0,Graffiti,1.0,Door,2.0,Chapel,2,Snout,1.0,National historic landmark,1.0,,,,
183,,,,,,,Running,1.0,Gasoline,1.0,Filling station,1.0,Crop,2.0,Lane,2,Swan,1.0,Marketplace,1.0,,,,
184,,,,,,,Cottage,1.0,Byzantine architecture,1.0,Cumulus,1.0,Cumulus,2.0,Ball game,2,Barware,1.0,Brickwork,1.0,,,,
185,,,,,,,Landscape,1.0,Swimming pool,1.0,Scaffolding,1.0,Soil,2.0,Condominium,2,Flag,1.0,Campus,1.0,,,,
186,,,,,,,Furniture,1.0,Race track,1.0,Pedestrian,1.0,Leaf,2.0,Infrastructure,2,Beam,1.0,Spring,1.0,,,,
187,,,,,,,Stream,1.0,Shelf,1.0,Downtown,1.0,Siding,2.0,Cityscape,2,Waterfowl,1.0,Shrubland,1.0,,,,
188,,,,,,,Advertising,1.0,Sunlight,1.0,Trail,1.0,Mountain,2.0,Shrubland,2,Font,1.0,Historic house,1.0,,,,
189,,,,,,,Seat of local government,1.0,Mammal,1.0,Memorial,1.0,Canal,2.0,Bird's-eye view,2,Iron,1.0,Convent,1.0,,,,
190,,,,,,,Net,1.0,Crop,1.0,Football,1.0,Tower block,2.0,Freezing,2,Marsh,1.0,Megalith,1.0,,,,
191,,,,,,,Caravanserai,1.0,Shade,1.0,Wheel,1.0,Iron,1.0,Coastal and oceanic landforms,2,Branch,1.0,Path,1.0,,,,
192,,,,,,,Soccer,1.0,Straw,1.0,Rain,1.0,Gasoline,1.0,Parish,2,Caf?,1.0,Metropolis,1.0,,,,
193,,,,,,,Barn,1.0,Livestock,1.0,Art,1.0,Goats,1.0,Leisure,2,Livestock,1.0,Electrical wiring,1.0,,,,
194,,,,,,,Corporate headquarters,1.0,Winter,1.0,Almshouse,1.0,Streetball,1.0,Fence,2,Artificial turf,1.0,Ecoregion,1.0,,,,
195,,,,,,,Suburb,1.0,Convent,1.0,Clay pigeon shooting,1.0,Trail,1.0,Metropolis,2,Sidewalk,1.0,Font,1.0,,,,
196,,,,,,,,,Bridge,1.0,Rock,1.0,Tennis court,1.0,Convent,2,Listed building,1.0,Home fencing,1.0,,,,
197,,,,,,,,,Boutique,1.0,Sports training,1.0,Line,1.0,Channel,2,Airport,1.0,,,,,,
198,,,,,,,,,Home door,1.0,Freeway,1.0,Water bird,1.0,National historic landmark,2,Company,1.0,,,,,,
199,,,,,,,,,Monument,1.0,Sidewalk,1.0,Player,1.0,Stream,2,Football,1.0,,,,,,
200,,,,,,,,,Dome,1.0,Convenience store,1.0,Beach,1.0,Branch,2,Gas,1.0,,,,,,
201,,,,,,,,,Customer,1.0,Metropolis,1.0,Bell tower,1.0,Ancient roman architecture,2,Coffeehouse,1.0,,,,,,
202,,,,,,,,,Screen door,1.0,Listed building,1.0,Polder,1.0,Boutique,2,Shade,1.0,,,,,,
203,,,,,,,,,Wilderness,1.0,Toy,1.0,Memorial,1.0,Biome,2,Glass,1.0,,,,,,
204,,,,,,,,,Air travel,1.0,Paddy field,1.0,Full-size car,1.0,Cumulus,1,Lighting,1.0,,,,,,
205,,,,,,,,,Hay,1.0,Gazebo,1.0,Mode of transport,1.0,Ceiling,1,Italian food,1.0,,,,,,
206,,,,,,,,,Dairy cow,1.0,Mode of transport,1.0,Stream bed,1.0,Frost,1,Vacation,1.0,,,,,,
207,,,,,,,,,Ceiling,1.0,Cricket,1.0,Dirt road,1.0,Clock tower,1,Metropolis,1.0,,,,,,
208,,,,,,,,,Leisure centre,1.0,Headquarters,1.0,Window film,1.0,Dusk,1,Obelisk,1.0,,,,,,
209,,,,,,,,,Shrubland,1.0,Shooting sport,1.0,Paddy field,1.0,Cyclo-cross bicycle,1,City car,1.0,,,,,,
210,,,,,,,,,Levee,1.0,Morning,1.0,Filling station,1.0,Forest,1,Creek,1.0,,,,,,
211,,,,,,,,,Marketplace,1.0,Product,1.0,Goat,1.0,Bridge,1,Canal,1.0,,,,,,
212,,,,,,,,,Wall,1.0,Project,1.0,Agriculture,1.0,Food,1,Sunlight,1.0,,,,,,
213,,,,,,,,,Inventory,1.0,Light,1.0,Gas,1.0,Countertop,1,Factory,1.0,,,,,,
214,,,,,,,,,Fence,1.0,Marsh,1.0,Ocean,1.0,Memorial,1,Retail,1.0,,,,,,
215,,,,,,,,,Industry,1.0,Animal sports,1.0,Tire,1.0,Light fixture,1,Street light,1.0,,,,,,
216,,,,,,,,,Vintage car,1.0,Observation tower,1.0,Herd,1.0,Stock photography,1,Wetland,1.0,,,,,,
217,,,,,,,,,Font,1.0,Highway,1.0,Shack,1.0,Antique,1,"Ducks, geese and swans",1.0,,,,,,
218,,,,,,,,,Farmhouse,1.0,Tradition,1.0,Automotive tire,1.0,Harvest,1,Grove,1.0,,,,,,
219,,,,,,,,,Engineering,1.0,Stream,1.0,Mammal,1.0,Art,1,Light,1.0,,,,,,
220,,,,,,,,,Dock,1.0,Thatching,1.0,Statue,1.0,Rolling stock,1,Steel,1.0,,,,,,
221,,,,,,,,,Riparian zone,1.0,Atmosphere,1.0,Basketball moves,1.0,Parking lot,1,Coast,1.0,,,,,,
222,,,,,,,,,Cobblestone,1.0,History,1.0,Lighting,1.0,Log cabin,1,Parking,1.0,,,,,,
223,,,,,,,,,Construction,1.0,Fair,1.0,Hedge,1.0,Signage,1,Parking lot,1.0,,,,,,
224,,,,,,,,,Classic car,1.0,Highland,1.0,Outdoor furniture,1.0,Rapeseed,1,Kiosk,1.0,,,,,,
225,,,,,,,,,Subcompact car,1.0,Awning,1.0,Playground slide,1.0,Road bicycle,1,Lake,1.0,,,,,,
226,,,,,,,,,Tidal marsh,1.0,Sunset,1.0,Arroyo,1.0,Column,1,Plant community,1.0,,,,,,
227,,,,,,,,,Almshouse,1.0,Skeet shooting,1.0,Livestock,1.0,Coffeehouse,1,Boulder,1.0,,,,,,
228,,,,,,,,,Hedge,1.0,Kettlebell,1.0,Clock tower,1.0,Train,1,Flatbread,1.0,,,,,,
229,,,,,,,,,Violet family,1.0,Retail,1.0,Compact car,1.0,Table,1,Ingredient,1.0,,,,,,
230,,,,,,,,,Street light,1.0,Ball game,1.0,Font,1.0,Games,1,Fast food restaurant,1.0,,,,,,
231,,,,,,,,,University,1.0,Freshwater marsh,1.0,Evening,1.0,Deciduous,1,Working animal,1.0,,,,,,
232,,,,,,,,,Thatching,1.0,Dog agility,1.0,Duck,1.0,Railway,1,Baptistery,1.0,,,,,,
233,,,,,,,,,Cherry blossom,1.0,Sporting Group,1.0,Company,1.0,Sports training,1,Autumn,1.0,,,,,,
234,,,,,,,,,Hill station,1.0,Shooting,1.0,Basketball hoop,1.0,Leaf,1,Stadium,1.0,,,,,,
235,,,,,,,,,Apartment,1.0,Restaurant,1.0,Street light,1.0,Passenger car,1,Palm tree,1.0,,,,,,
236,,,,,,,,,Travel,1.0,Technology,1.0,Cycling,1.0,Humpback bridge,1,Fast food,1.0,,,,,,
237,,,,,,,,,Classic,1.0,Parking lot,1.0,Automotive wheel system,1.0,Plant stem,1,First-class cricket,1.0,,,,,,
238,,,,,,,,,Petroleum,1.0,Ceremony,1.0,Light fixture,1.0,White,1,Travel,1.0,,,,,,
239,,,,,,,,,Factory,1.0,Apartment,1.0,Parking,1.0,Convenience store,1,Technology,1.0,,,,,,
240,,,,,,,,,Light,1.0,Skatepark,1.0,Race track,1.0,Grove,1,Metal,1.0,,,,,,
241,,,,,,,,,Evening,1.0,Fen,1.0,Basketball,1.0,Ranch,1,Urban design,1.0,,,,,,
242,,,,,,,,,Antique car,1.0,Petroleum,1.0,Hotel,1.0,Listed building,1,Condominium,1.0,,,,,,
243,,,,,,,,,History,1.0,Interior design,1.0,Rock,1.0,Boating,1,Trunk,1.0,,,,,,
244,,,,,,,,,Hill,1.0,Hedge,1.0,Arena,1.0,Shack,1,Outdoor play equipment,1.0,,,,,,
245,,,,,,,,,Crocus,1.0,Barley,1.0,Bog,1.0,Marsh,1,Yellow,1.0,,,,,,
246,,,,,,,,,Urban design,1.0,Company,1.0,Swimming,1.0,Afterglow,1,Pizza cheese,1.0,,,,,,
247,,,,,,,,,Land vehicle,1.0,Pier,1.0,Mountain bike,1.0,Canola,1,Mountain,1.0,,,,,,
248,,,,,,,,,Brassica rapa,1.0,Dog sports,1.0,Table,1.0,History,1,Shrub,1.0,,,,,,
249,,,,,,,,,Column,1.0,Bird's-eye view,1.0,Fast food restaurant,1.0,Stadium,1,Dish,1.0,,,,,,
250,,,,,,,,,Agriculture,1.0,Hill,1.0,Aisle,1.0,Basilica,1,Byzantine architecture,1.0,,,,,,
251,,,,,,,,,Vacation,1.0,Soccer,1.0,Steppe,1.0,Street light,1,Geological phenomenon,1.0,,,,,,
252,,,,,,,,,Arch,1.0,Fuel,1.0,Driveway,1.0,Wetland,1,Ecoregion,1.0,,,,,,
253,,,,,,,,,Annual plant,1.0,Wildflower,1.0,Fast food,1.0,Cycling,1,Sea,1.0,,,,,,
254,,,,,,,,,State park,1.0,water lily,1.0,Floodplain,1.0,Market,1,Greenhouse,1.0,,,,,,
255,,,,,,,,,Hut,1.0,Clock tower,1.0,Bench,1.0,Light,1,Playground,1.0,,,,,,
256,,,,,,,,,Slope,1.0,Window,1.0,Abbey,1.0,Twig,1,Cuisine,1.0,,,,,,
257,,,,,,,,,Floodplain,1.0,Aquatic plant,1.0,Interior design,1.0,Steppe,1,Shrubland,1.0,,,,,,
258,,,,,,,,,Interior design,1.0,Rye,1.0,Fuel,1.0,Track,1,California-style pizza,1.0,,,,,,
259,,,,,,,,,Brick,1.0,Courtyard,1.0,Vehicle door,1.0,University,1,Team sport,1.0,,,,,,
260,,,,,,,,,Blue,1.0,Grain,1.0,Backyard,1.0,Bench,1,Material property,1.0,,,,,,
261,,,,,,,,,,,Labyrinth,1.0,Swing,1.0,Abbey,1,Light fixture,1.0,,,,,,
262,,,,,,,,,,,Panorama,1.0,Lane,1.0,Train station,1,History,1.0,,,,,,
263,,,,,,,,,,,Business,1.0,Cow-goat family,1.0,Public transport,1,Floristry,1.0,,,,,,
264,,,,,,,,,,,Flooring,1.0,Art,1.0,Plant community,1,Fence,1.0,,,,,,
265,,,,,,,,,,,Aerial photography,1.0,Ecoregion,1.0,Jungle,1,Winter,1.0,,,,,,
266,,,,,,,,,,,Thermokarst,1.0,Ball game,1.0,Nonbuilding structure,1,Sports equipment,1.0,,,,,,
267,,,,,,,,,,,Maze,1.0,Bird,1.0,Electronic signage,1,Awning,1.0,,,,,,
268,,,,,,,,,,,Net,1.0,Shrubland,1.0,Hardwood,1,Cobblestone,1.0,,,,,,
269,,,,,,,,,,,Byzantine architecture,1.0,Luxury vehicle,1.0,Ship,1,Walkway,1.0,,,,,,
270,,,,,,,,,,,College,1.0,Resort,1.0,Black-and-white,1,Grazing,1.0,,,,,,
271,,,,,,,,,,,Goal,1.0,Atmosphere,1.0,Freshwater marsh,1,Flooring,1.0,,,,,,
272,,,,,,,,,,,Ecoregion,1.0,Shopping mall,1.0,Cabinetry,1,,,,,,,,
273,,,,,,,,,,,Adaptation,1.0,History,1.0,Bovine,1,,,,,,,,
274,,,,,,,,,,,Cobblestone,1.0,Highland,1.0,Autumn,1,,,,,,,,
275,,,,,,,,,,,Flag,1.0,Sunset,1.0,Mast,1,,,,,,,,
276,,,,,,,,,,,Construction,1.0,Play,1.0,Driveway,1,,,,,,,,
277,,,,,,,,,,,Shopping mall,1.0,Glass,1.0,Soccer-specific stadium,1,,,,,,,,
278,,,,,,,,,,,,,Sports,1.0,Monochrome,1,,,,,,,,
279,,,,,,,,,,,,,Corporate headquarters,1.0,Crowd,1,,,,,,,,
280,,,,,,,,,,,,,Land vehicle,1.0,Closet,1,,,,,,,,
281,,,,,,,,,,,,,Creek,1.0,Byzantine architecture,1,,,,,,,,
282,,,,,,,,,,,,,Ruins,1.0,Kitchen,1,,,,,,,,
283,,,,,,,,,,,,,Junction,1.0,Tall ship,1,,,,,,,,
284,,,,,,,,,,,,,Air sports,1.0,Floor,1,,,,,,,,
285,,,,,,,,,,,,,Soccer-specific stadium,1.0,Rest area,1,,,,,,,,
286,,,,,,,,,,,,,Log cabin,1.0,Marketplace,1,,,,,,,,
287,,,,,,,,,,,,,Awning,1.0,Pole,1,,,,,,,,
288,,,,,,,,,,,,,Blue,1.0,Sunset,1,,,,,,,,
289,,,,,,,,,,,,,,,Beach,1,,,,,,,,
290,,,,,,,,,,,,,,,Soccer,1,,,,,,,,
291,,,,,,,,,,,,,,,Tunnel,1,,,,,,,,
292,,,,,,,,,,,,,,,Agriculture,1,,,,,,,,
293,,,,,,,,,,,,,,,Event,1,,,,,,,,
294,,,,,,,,,,,,,,,Mountain,1,,,,,,,,
295,,,,,,,,,,,,,,,Concrete,1,,,,,,,,
296,,,,,,,,,,,,,,,Skatepark,1,,,,,,,,
297,,,,,,,,,,,,,,,Traffic,1,,,,,,,,
298,,,,,,,,,,,,,,,Walkway,1,,,,,,,,
299,,,,,,,,,,,,,,,Team,1,,,,,,,,
300,,,,,,,,,,,,,,,Competition event,1,,,,,,,,
301,,,,,,,,,,,,,,,Highland,1,,,,,,,,
302,,,,,,,,,,,,,,,Seat of local government,1,,,,,,,,
303,,,,,,,,,,,,,,,Material property,1,,,,,,,,
304,,,,,,,,,,,,,,,Black,1,,,,,,,,
305,,,,,,,,,,,,,,,Sunlight,1,,,,,,,,
306,,,,,,,,,,,,,,,Reinforced concrete,1,,,,,,,,
307,,,,,,,,,,,,,,,Textile,1,,,,,,,,
308,,,,,,,,,,,,,,,Hotel,1,,,,,,,,
309,,,,,,,,,,,,,,,Hacienda,1,,,,,,,,
310,,,,,,,,,,,,,,,Riparian zone,1,,,,,,,,
311,,,,,,,,,,,,,,,Turret,1,,,,,,,,
312,,,,,,,,,,,,,,,Construction,1,,,,,,,,
313,,,,,,,,,,,,,,,Grazing,1,,,,,,,,
314,,,,,,,,,,,,,,,Blue,1,,,,,,,,
