,a,b,c,d,e,f,cite
1969,2013,276,"[BOOK][B] Picturing Paul in empire: Imperial image, text and persuasion in Colossians, Ephesians and the Pastoral Epistles",HO Maier - 2013 - books.google.com,"Page 1. w- 1'1. 'i- 11!- ? wtﬁclark 5""- ﬂ. HAERY O. MAIER ' ""i 1"" . u 1 'I ' - I 3v d: PICTU PAUL
in EMPIRE Imperial Image. Text and Persuasiun in Cnimssians. Ephesians and the Pastural
Epistles Page 2. Picturing Paul in Empire Page 3. Page 4 … 
",  Cited by 45 Related articles All 3 versions  ,45
1753,2013,282,[BOOK][B] Revolution Detroit: Strategies for urban reinvention,J Gallagher - 2013 - books.google.com,"… Pissarro suffused his Paris not just with the glow of morning, but with the essence of urban
vitality—that dense brew of talent and art and commerce that, the world over, has produced human
triumphs as varied as the Renaissance, democracy, the four—star restaurant, and the … 
",  Cited by 45 Related articles All 2 versions  ,45
333,1999,36,[BOOK][B] Osaka: The Merchants' Capital of Early Modern Japan,OA Wakita - 1999 - books.google.com,"Page 1. The Merchants Capital of Early Modern Japan Edited by Iones I. McClain and
Wakin Osamu Page 2. Page 3. Page 4. OSAKA The Merchants' Capital of Early Edhed
by James L McCain ariWaUtaOsamu ""This book convincingly … 
",  Cited by 45 Related articles  Other options ,45
688,2005,83,"Toward postmodern urbanism? Evolution of planning in Cleveland, Ohio","SA Hirt - Journal of Planning Education and Research, 2005 - journals.sagepub.com","… strict and segregationist zoning codes. Jacobs (1961), whose critique of planning
marks the mod- ern-postmodern divide (Irving 1993), notoriously listed mixed uses
as a key prerequisite of urban vitality. Ever since, the mech … 
",  Cited by 44 Related articles All 5 versions  ,44
583,2004,78,[BOOK][B] Remaking Birmingham: the visual culture of urban regeneration,L Kennedy - 2004 - books.google.com,"… Entrepreneurial efforts to establish a coherent and promotable image for the city have emphasized
urbanity as an essential product of regeneration and signifier of renewed urban vitality; for local
politicians, it has the added edge of suggesting an expansion of urban citizenship … 
",  Cited by 43 Related articles All 2 versions  ,43
2250,2015,283,"Neighbourhood vitality and physical activity among the elderly: The role of walkable environments on active ageing in Barcelona, Spain","O Marquet, C Miralles-Guasch - Social Science & Medicine, 2015 - Elsevier","… Highlights. • We analyse the health outputs of living in vital urban environments for the elderly. •
We test the influence of urban vitality on physical activity and activity engagement. • … Results are
deeply gendered, men being more susceptible to urban vitality than women. Abstract … 
",  Cited by 43 Related articles All 9 versions  ,43
2025,2014,238,"Urban form, sustainability and health: the case of greater Oslo","P Næss - European Planning Studies, 2014 - Taylor & Francis","Page 1. Urban Form, Sustainability and Health: The Case of Greater Oslo PETTER NÆSS
Department of Landscape Architecture and Spatial Planning, Norwegian University of Life
Sciences, Aas, Norway (Received January 2012; accepted April 2013) … 
",  Cited by 43 Related articles All 6 versions  ,43
2376,2015,281,[BOOK][B] Events in the city: Using public spaces as event venues,A Smith - 2015 - content.taylorfrancis.com,"Page 1. Page 2. Events in the City Cities are staging more events than ever. Within
this macro-trend, there is another less acknowledged trend: more events are being
staged in public spaces. Some events have always been … 
",  Cited by 43 Related articles All 6 versions  ,43
2811,2016,329,[BOOK][B] DIY Detroit: Making do in a city without services,K Kinder - 2016 - books.google.com,"Page 1. DIY Detroit º º º º - y * / HOUT SERVICES MAKING D 0 ||NA CITY WIT º º Page
2. DIY Detroit Page 3. DIY Detroit Making Do in a City without Services Kimberley Kinder
University of Minnesota Press Minneapolis • London Page 4 … 
",  Cited by 43 Related articles All 2 versions  Library Search ,43
1665,2012,240,[BOOK][B] Waterfront regeneration: experiences in city-building,"H Smith, MSG Ferrari - 2012 - books.google.com","… CITY BUILDING PROCESSES AROUNDTHE NORTH SEA 3 Physical and Institutional Resources
in Sustainable Waterfront Regeneration: Landownership, LandUse Controland Leadership
MariaSoledad Garcia Ferrari and Harry Smith 4 Urban Vitality: Social Supervision in … 
",  Cited by 43 Related articles All 2 versions  ,43
793,2006,96,[BOOK][B] Signs in America's auto age: signatures of landscape and place,"JA Jakle, KA Sculle - 2006 - books.google.com","Page 1. SIGNATURES OF LANDSCAPE AND PTA CE John A. Jakle & Keith A.Sculle
Page 2. signs in america's auto age Page 3. signs american land and life series Edited
by Wayne Franklin Page 4. in America's Auto Age signatures … 
",  Cited by 42 Related articles  ,42
3148,2017,369,[BOOK][B] Reconsidering Jane Jacobs,"M Page, T Mennel - 2017 - books.google.com","Page 1. |E RECONSIDERING JANE JACOBS EDITED BY MAX PAGE AND TIMOTHY
MENNEL A Planners Press Book R Page 2. ADVANCE PRAISE FOR 
RECONSIDERING JANE JACOBS “Finally—a great book on Jane Jacobs … 
",  Cited by 39 Related articles  Library Search ,39
460,2002,55,Berlin: Economic and spatial change,"M Gornig, H Häussermann - European Urban and Regional …, 2002 - journals.sagepub.com","Page 1. European Urban and Regional Studies 9(4): 331–341 Copyright © 2002 SAGE
Publications 0969-7764[200210]9:4; 331–341;029805 London, Thousand Oaks, CA and New
Delhi EURO-COMMENTARY ★ BERLIN: ECONOMIC AND SPATIAL CHANGE … 
",  Cited by 38 Related articles All 7 versions Web of Science: 11  ,38
2533,2016,330,[BOOK][B] Urban design thinking: A conceptual toolkit,K Dovey - 2016 - books.google.com,"Page 1. Page 2. Urban Design Thinking Page 3. Page 4. URBAN DESIGN THINKING
A ConceptualToolkit Kim Dovey Bloomsbury Academic An imprint of Bloomsbury
Publishing Plc Page 5. Bloomsbury Academic An imprint of … 
",  Cited by 38 Related articles All 2 versions  Library Search ,38
2048,2014,243,[BOOK][B] High street performance and evolution: a brief guide to the evidence,"N Wrigley, D Lambiri - 2014 - eprints.soton.ac.uk","Page 1. HIGH STREET PERFORMANCE AND EVOLUTION A brief guide to the evidence Prof
Neil Wrigley & Dr Dionysia Lambiri University of Southampton, July 2014 Page 2. 2 Much has
been written about our high streets and town centres over recent years … 
",  Cited by 38 Related articles All 10 versions  View as HTML ,38
1178,2010,156,Governing the balance between sustainability and competitiveness in urban planning: the case of the Orestad model,"K Book, L Eskilsson, J Khan - Environmental Policy and …, 2010 - Wiley Online Library","Skip to Main Content … 
",  Cited by 37 Related articles All 4 versions  ,37
2278,2015,283,[BOOK][B] Mapping urban practices through mobile phone data,"P Pucci, F Manfredini, P Tagliolato - 2015 - Springer","Page 1. SPRINGER BRIEFS IN APPLIED SCIENCES AND TECHNOLOGY  POLIMI SPRINGER
BRIEFS Paola Pucci Fabio Manfredini Paolo Tagliolato Mapping Urban Practices Through Mobile
Phone Data Page 2. SpringerBriefs in Applied Sciences and Technology … 
",  Cited by 37 Related articles All 8 versions  ,37
1963,2013,276,[BOOK][B] Public libraries and resilient cities,MQ Dudley - 2013 - books.google.com,"… contribute to community building (2000), while ronald McCabe (2001) has argued for renewing
the social mission of the public library in the face of growing social problems.1 roger Kemp and
Marcia trotta (2008) examined the role libraries play in urban vitality; Shannon Mattern … 
",  Cited by 36 Related articles All 3 versions  ,36
951,2007,146,[BOOK][B] Makhmalbaf at large: the making of a rebel filmmaker,H Dabashi - 2007 - books.google.com,"Page 1. The Making of a Rebel Filmmaker Makhmalbaf at Large 3""“. w. J. M all“ \ \
'XV j\ v V.. - ' Ii . ' '1 1“- ' Hamid Dabashi t . Foreword by Mohsen Makhmalbaf Page
2. Makhmalbaf at Large 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 … 
",  Cited by 36 Related articles  ,36
1529,2012,235,"Devalued, deskilled and diversified: explaining the proliferation of the strip industry in the UK","T Sanders, K Hardy - The British journal of sociology, 2012 - Wiley Online Library","… While many UK cities now emphasize a burgeoning NTE as essential for growth, prosperity and
urban vitality, this does not explain why a 'deviant' and transgressive activity such as stripping
has been allowed to develop particularly in the context of continual criticisms and … 
",  Cited by 35 Related articles All 7 versions  ,35
455,2002,55,[PDF][PDF] LEARNING FROM TRUCKERS: TRUCK DRIVERS'VIEWS ON THE PLANNING AND DESIGN OF URBAN AND SUBURBAN CENTERS,"G Pivo, D Carlson, M Kitchen… - Journal of architectural …, 2002 - japr.homestead.com","Page 1. LEARNING FROM TRUCKERS: TRUCK DRIVERS' VIEWS ON THE
PLANNING AND DESIGN OF URBAN AND SUBURBAN CENTERS Gary Pivo Daniel
Carlson Matthew Kitchen Don Billen This study seeks a greater … 
",  Cited by 35 Related articles All 15 versions Web of Science: 9  View as HTML ,35
1483,2011,191,"[BOOK][B] Small, gritty, and green: The promise of America's smaller industrial cities in a low-carbon world",C Tumber - 2011 - books.google.com,"Page 1. _ :1 z 1-gﬁ ﬁl +Iy]""_'_ H} 13"".-: \ I. rormse of Amer|ca s Smaller Industnal
C|t|es na Low Carbon World H “nil! - .5} Page 2. Small, Gritty, and Green Page 3.
Urban and Industrial Environments Series editor: Robert Gottlieb … 
",  Cited by 35 Related articles All 4 versions  ,35
292,1998,34,"On the edge of something big: Edge-city economic development in Croydon, South London","NA Phelps - Town Planning Review, 1998 - online.liverpooluniversitypress.co.uk","Page 1. TPR, 69 (4) 1998 NICHOLAS A. PHELPS On the edge of something big
Edge-city economic development in Croydon, south London This paper considers
aspects of economic development within service-led suburban … 
",  Cited by 35 Related articles All 4 versions  ,35
1715,2012,234,[BOOK][B] Slum upgrading: lessons learned from Brazil,F Magalhães - 2012 - books.google.com,"Page 1. Fernanda Magalhães · Francesco di Villarosa, Editors SLUM UPGRADING
LESSONS LEARNED FROM BRAZIL Page 2. Slum upgrading: lESSOnS lEarnEd
FrOm BraZil Page 3. Technical Data Slum Upgrading – Lessons … 
",  Cited by 33 Related articles All 9 versions  ,33
1740,2013,282,"Street food and vibrant urban spaces: lessons from Portland, Oregon","LL Newman, K Burnett - Local Environment, 2013 - Taylor & Francis","… are disproportionately immi- grant and non-white when compared with the overall demographics
of the city, serve foods from diverse ethnic and cultural backgrounds, and provide business
opportunities to minority and low-income entrepreneurs (Urban Vitality Group 2008) … 
",  Cited by 33 Related articles All 3 versions  ,33
736,2006,96,"The vital city: public analysis, dairies and slaughterhouses in nineteenth-century Britain","C Otter - cultural geographies, 2006 - journals.sagepub.com","… food was almost impossible to find in London. This threat 520 Chris Otter Page 5.
to urban vitality was, moreover, the direct consequence of economic liberalism, being
'entirely unnatural ... it has sprung up under a careless and … 
",  Cited by 33 Related articles All 14 versions  ,33
3183,2017,368,"[BOOK][B] Design for a Living Planet: Settlement, Science, & the Human Future","M Mehaffy, NA Salingaros - 2017 - books.google.com","Page 1. Hº- - º º º - º |º º: -- ment, Science, º * º, Nº. º d the Hºam Future. Sº º *… º º * *
MICHAEL W MEHAFFY AND º º NIKOS A SALING AROS SUSTASIS PRESS Page
2. DESIGN FOR A LIVING PLANET Michael W. Mehaffy and … 
",  Cited by 33 Related articles  Library Search ,33
351,2000,58,Community roles in urban regeneration: New partnerships on London's South Bank,"T Brindley - City, 2000 - rsa.tandfonline.com","Page 1. ISSN 1360-4813 print/ISSN 1470-3629 online/00/030363-15 © 2000 Taylor & Francis
Ltd DOI: 10.1080/1360481002001660 2 CITY, VOL. 4, NO. 3, 2000 Community roles in urban
regeneration New partnerships on London's South Bank Tim Brindley … 
",  Cited by 33 Related articles All 3 versions  ,33
1519,2012,232,[BOOK][B] Urban sustainability: reconnecting space and place,"WT Dushenko, A Dale, PJ Robinson - 2012 - books.google.com","Page 1. Edited' by Ann Dale William T. Dushenlw ' b Pameia Rubinsun Hi: Sustainability
Recunnecting Space and Place Page 2. URBAN SUSTAINABILITY Reconnecting
Space and Place Edited by Ann Dale, William T. Dushenko … 
",  Cited by 33 Related articles All 2 versions  ,33
553,2003,73,[BOOK][B] The community of cinema: how cinema and spectacle transformed the American downtown,J Forsher - 2003 - books.google.com,"… MOVIE THEATERS AS INDICATORS OF URBAN VITALITY The growth and decay of the central
business district cannot be examined without including the influence of the entertainment dis-
trict on the development, demise and rebirth of downtown America … 
",  Cited by 32 Related articles All 2 versions  ,32
1983,2013,276,"[BOOK][B] Enlightened metropolis: constructing imperial Moscow, 1762-1855",AM Martin - 2013 - books.google.com,"Page 1. ALEXANDER. M. MARTIN OXFORD º º is Constructing Imperial Moscow, 1762–1955
Page 2. OXFORD STUDIES IN MODERN EUROPEAN HISTORY General Editors simon dixon,
mark mazower, and james retallack Page 3. This page intentionally left blank Page 4 … 
",  Cited by 32 Related articles All 2 versions  ,32
1017,2008,89,'All Under Heaven'—Megaspace in Beijing,"C Marvin - Owning the Olympics: narratives of the new China, 2008 - books.google.com",,  Cited by 31 Related articles All 7 versions  ,31
534,2003,73,[BOOK][B] Welcome to the Ideopolis,"T Cannon, M Nathan, A Westwood - 2003 - eurolocal.info","… 36 However, creativity, diversity and bohemian activity are engines for urban vitality
and growth in a broader sense. Cities' function as entertainment and lifestyle centres
have always had an important economic impact. This … 
",  Cited by 31 Related articles  ,31
652,2005,83,Beyond moving people: Excavating the motivations for investing in urban public transit infrastructure in Bilbao Spain,"M Siemiatycki - European Planning Studies, 2005 - Taylor & Francis","… Thus symbolically, Metro Bilbao was intended to display a renewed modernity and urban vitality,
moving the city well beyond its industrial past, its persistent reputation as an environmentally
dirty city (The Economist, 1993) and the decades of economic decline … 
",  Cited by 31 Related articles All 9 versions  ,31
1646,2012,240,[PDF][PDF] (Buscando) os efeitos sociais da morfologia arquitetônica,"VM Netto, JC Vargas, RT de Saboya - Urbe. Revista Brasileira de …, 2012 - redalyc.org","… Finally, the paper establishes the grounds for a probabilistic theory of the social effects of architec-
ture, an approach proposed to help answering more precisely a question that puzzles the spatial
imagination: how does architecture matter to urban vitality … Urban vitality … 
",  Cited by 31 Related articles All 3 versions  View as HTML ,31
856,2007,146,The mixed-use trend: Planning attitudes and practices in Northeast Ohio,"S Hirt - Journal of architectural and planning research, 2007 - JSTOR","… In the last few decades, however, powerful arguments that land-use seg harms urban vitality
(eg, Jacobs, 1961; Kunstler, 1996) and contributes to sprawl has brough a gradual but dramatic
shift in planning thinking (Angotti and Hanhardt, 2001; Ellin, 1998; G 2002; Hirt, 2005 … 
",  Cited by 30 Related articles All 3 versions  ,30
846,2007,146,'City living' and sustainable development: The experience of a UK regional city,"R Unsworth - Town planning review, 2007 - online.liverpooluniversitypress.co.uk","… sustainable development as well as to urban renais- sance: medium to high density, mixed-use
property development on brownfield, central sites provides accommodation for people in city
centre employment, reduces the need for travel and adds to urban vitality and viability … 
",  Cited by 30 Related articles All 7 versions  ,30
571,2004,78,[BOOK][B] Selling Seattle: representing contemporary urban America,J Lyons - 2004 - books.google.com,"… Such accounts saw in Seattle's urban vitality and economic vibrancy a model for a renewed
national well-being, in so doing reiterating the fact that America's cities have long functioned
as focal points for broader discourses of national economic and social progress and … 
",  Cited by 30 Related articles  ,30
1630,2012,239,[BOOK][B] Beyond Zuccotti Park: freedom of assembly and the occupation of public space,"R Shiffman, R Bell, LJ Brown, L Elizabeth - 2012 - books.google.com","… It happens that the grid that has defined and in many ways given birth to New York City's urban
vitality had almost no squares or parks in its original plan, and generations of New Yorkers
have had to carve them out of the grid, wrest them from its monotony … 
",  Cited by 30 Related articles All 5 versions  ,30
828,2007,146,"The urban domus in late antique Hispania: examples from Emerita, Barcino and Complutum","J Arce, A Chavarría, G Ripoll - Housing in Late Antiquity-Volume 3.2, 2007 - brill.com","… the presence of the well. The domus in Morerías provide the best examples of the
urban vitality of Mérida in the 4th c., perhaps reflecting the presence of ofÀ ciales
or possessores in the diocesan capital. On the other hand, they … 
",  Cited by 29 Related articles All 5 versions  ,29
550,2003,73,[BOOK][B] AIA Detroit: The American Institute of Architects Guide to Detroit Architecture,"EJ Hill, J Gallagher - 2003 - books.google.com","Page 1. | - - ſº º º - - - - - º - - --- tº - - - … s. - - - - tº º - - | | The American Institute of
Architects Guide to Detroit Architecture Page 2. S P| P R | Key to Symbols Public
Open to the general public Semi-public Only specific areas … 
",  Cited by 29 Related articles  ,29
808,2006,96,[BOOK][B] New York state government,RB Ward - 2006 - books.google.com,"Page 1. New York State Government 25th Anniversary Edition ^ ift. Rockefeller Institute of
Government \7 X 2nd Edition Robert B. Ward Page 2. Page 3. New York State Government Second
Edition Robert B. Ward The Rockefeller Institute Press Albany, New York Page 4 … 
",  Cited by 29 Related articles All 5 versions  ,29
538,2003,73,[BOOK][B] Imagination and regeneration: Cultural policy and the future of cities,C Landry - 2003 - charleslandry.com,"Page 1. Imagination and regeneration: Cultural policy and the future of cities By Charles
Landry (2004) Setting the stage Questions 1. Culture, Creativity and the City The city
as a cultural artefact The city, culture and global dynamics … 
",  Cited by 29 Related articles  View as HTML ,29
1175,2010,156,[BOOK][B] Common ground in a liquid city: Essays in defense of an urban future,M Hern - 2010 - books.google.com,"… And that sharing means public space or, better yet, common space. And that's my definition of
urban vitality: constantly run- ning into people who aren't like you, who don't think, look, or act
like you, people who have fundamentally different values and backgrounds … 
",  Cited by 27 Related articles All 3 versions  ,27
484,2002,54,"[BOOK][B] Provincial towns in early modern England and Ireland: change, convergence, and divergence","P Borsay, LJ Proudfoot - 2002 - books.google.com","… Barnard strikes a similar note of caution, and in a wide-ranging survey of the structure,
functions and public life of eighteenth-century Irish towns, warns that urban vitality
demanded the activism of more than just the town's landlord … 
",  Cited by 27 Related articles All 4 versions  Library Search (Sweden) ,27
658,2005,83,A Message from the Oracle: the Land Use Impact of a Major In‐town Shopping Centre on Local Retailing,"N Crosby, C Hughes, C Lizieri… - Journal of property …, 2005 - Taylor & Francis","Page 1. A Message from the Oracle: the Land Use Impact of a Major In-town
Shopping Centre on Local Retailing NEIL CROSBY1, CATHY HUGHES1, COLIN
LIZIERI1 and MELANIE OUGHTON2 1Department of Real Estate … 
",  Cited by 27 Related articles All 6 versions  ,27
1421,2011,193,Biennalization and its discontents,"J Tang - Negotiating values in the creative industries: Fairs …, 2011 - books.google.com","… and creativity as a product of individual genius rather than collective activ- ity'and therefore fails
to produce social structures in which creativity may flourish; they also criticize such policy's
'willingness to tolerate social dislocation in exchange for urban vitality or competitive … 
",  Cited by 27 Related articles  ,27
2262,2015,283,[BOOK][B] Urban politics: Cities and suburbs in a global age,"BH Ross, MA Levine - 2015 - books.google.com",,  Cited by 27 Related articles All 2 versions  ,27
1100,2009,121,Manipulating permeability as a process for controlling crime: Balancing security and sustainability in local contexts,"P Cozens, T Love - Built Environment, 2009 - ingentaconnect.com","… of informal social controls. Jacobs (1961) and later Hillier and Hanson (1984)
observed how urban vitality is dependent on highly permeable urban configurations
with short blocks and multiple connections. This form of urban … 
",  Cited by 26 Related articles All 5 versions  ,26
354,2000,58,"From the Other Side of the Tracks: Dual Cities, Third Spaces, and the Urban Uncanny in Contemporary Discourses of``Race''and Class","P Cohen - A Companion to the City, 2000 - Wiley Online Library","… For this purpose youth subcultures are promoted as sexy signs of urban vitality and
cosmopolitanism associated with the cultural industries that have increasingly come
to dominate strategies of urban regeneration in these areas … 
",  Cited by 26 Related articles All 5 versions  Other options ,26
2767,2016,329,[BOOK][B] The past and future city,"S Meeks, KC Murphy - 2016 - Springer","… Chapter 1: Downtown Is for People: Competing Visions of the Ideal American City 25 Chapter
2: Older, Smaller, Better: How Older Buildings Enhance Urban Vitality 43 Chapter 3: Making It
Work for Your City: Unleashing the Power and Potential of Historic Fabric 69 … 
",  Cited by 26 Related articles All 6 versions  Library Search ,26
2488,2015,282,"[BOOK][B] City of Demons: Violence, Ritual, and Christian Power in Late Antiquity",DS Kalleres - 2015 - books.google.com,"Page 1. City of Demons Violence, Ritual, and Christian Power in Late Antiquity Dayna S. Kalleres
UNIVERSITY OF CALIFORNIA PRESS Page 2. The Joan Palevsky ----- Imprint in Classical
Literature In honor of beloved Virgil– “O degli altri poeti onore e lume … 
",  Cited by 26 Related articles All 4 versions  Library Search ,26
302,1998,33,"[BOOK][B] Town origins and development in early England, c. 400-950 AD",DG Russo - 1998 - books.google.com,"Page 1. TOWN ORIGINS AND DEVELOPMENT IN EARLY ENCLANP, C400-950 AP
Daniel C.Russo Greenwood PUBLISHING t; RO U Page 2. TOWN ORIGINS AND
DEVELOPMENT IN EARLY ENGLAND, c.400-950 AD Page 3 … 
",  Cited by 26 Related articles  Other options ,26
521,2003,73,"A Place for Buddha in Wollongong, New South Wales? Territorial rules in the place-making of sacred spaces","G Waitt - Australian Geographer, 2003 - Taylor & Francis","Page 1. Australian Geographer, Vol. 34, No. 2, pp. 223–238, July 2003 A Place for
Buddha in Wollongong, New South Wales? Territorial rules in the place-making of sacred
spaces GORDON WAITT, University of Wollongong, Australia … 
",  Cited by 24 Related articles All 5 versions  ,24
473,2002,54,[BOOK][B] Making Tracks: Light Rail in England and France,"B Hylén, T Pharoah - 2002 - diva-portal.org","… to find. So overall, the message from the case studies is a mixed but fairly positive
one. Tram and related systems can bring great benefits in the context of
environmental and urban vitality objectives. Although the investment … 
",  Cited by 23 Related articles All 2 versions  View as HTML ,23
1450,2011,192,Two studies on Roman London. A: London's military origins. B: Population decline and ritual landscapes in Antonine London.,"D Perring - Journal of Roman Archaeology, 2011 - cambridge.org",,  Cited by 23 Related articles All 4 versions  ,23
843,2007,146,"[BOOK][B] Urban fortunes: The political economy of place, with a new preface","JR Logan, H Molotch - 2007 - books.google.com","… Growth somehow signals urban ""vitality"" and accomplishment in the ""global age."" More
concretely, the European Union restricts the mechanisms that member states tra-
ditionally used to support certain cities, especially their capitals … 
",  Cited by 22 Related articles All 2 versions  ,22
797,2006,96,[BOOK][B] The Byzantine and Early Islamic Near East,HN Kennedy - 2006 - books.google.com,"… In the life of St. Simeon the Fool by Leontios of Neapolis we are given a vivid impression of
urban life in Emesa (Hims) at the end of the sixth century.13 It shows continued urban vitality
in many spheres — markets, baths, prostitution, taverns and the theatre … 
",  Cited by 22 Related articles All 2 versions  ,22
702,2005,83,"Wounded Nation, Broken Time","J Trimarco, MH Depret - The Selling of 9/11, 2005 - Springer","… sarcophagi. Their dignified, somber presence . . . tended (in the opinion of many)
to smother or dilute the urban vitality and excitement of the city itself. Its neighbor
to the north, by contrast, never paused for reflection. Far from … 
",  Cited by 22 Related articles  ,22
1308,2010,153,[BOOK][B] The power to collaborate,N Haran - 2010 - books.google.com,"Page 1. How judicious use of power accelerates the strategic capacity 'fRsfc of regions
in the Netherlands NADAV HARAN Page 2. THE POWER TO COLLABORATE How
judicious use of power accelerates the strategic capacity … 
",  Cited by 22 Related articles All 6 versions  ,22
1334,2011,169,“From Polis to Madina” Revisited–Urban Change in Byzantine and early Islamic Palestine,"G Avni - Journal of the Royal Asiatic Society, 2011 - cambridge.org","Page 1. “From Polis to Madina” Revisited – Urban Change in Byzantine and early Islamic
Palestine ∗ GIDEON AVNI The transformation of cities in the Byzantine and early Islamic
Near East was discussed by a number of scholars in the last century … 
",  Cited by 22 Related articles All 8 versions  ,22
1147,2009,119,"[BOOK][B] Sitte, Hegemann and the metropolis: modern civic art and international exchanges","C Bohl, JF Lejeune - 2009 - books.google.com","Page 1. Sitte, Hegemann and the Metropolis Modern Civic Art and International
Exchanges Edited by Charles C. Bohl and Jean-François Lejeune Page 2. Sitte,
Hegemann and the Metropolis Modern Civic Art and International … 
",  Cited by 22 Related articles All 2 versions  ,22
1848,2013,280,[BOOK][B] Town and gown relations: A handbook of best practices,RL Kemp - 2013 - books.google.com,"… and span. Stadiums: A Planning Handbook (2009) can; and 'Water: A Handbook for Planning
(2009) can; and Growth.'A Pain) Handbook (2008) Museums, Libraries and Urban Vitality: A
Handbook (2008) Homeland Security for the Private Sector: A Handbook (2007) can … 
",  Cited by 21 Related articles All 2 versions  ,21
1698,2012,234,[BOOK][B] Good urbanism: Six steps to creating prosperous places,N Ellin - 2012 - books.google.com,"Page 1. NAN ELLIN M e t r opolit a n p l a n n i n g + D e s i g n Mp + D Six Steps to Creating
Prosperous Places Page 2. Page 3. About Island Press Since 1984, the nonprofit Island
Press has been stimulating, shap- ing, and communicating … 
",  Cited by 21 Related articles All 4 versions  ,21
634,2004,77,"[BOOK][B] Charters of St Paul's, London","S Kelly, SE Kelly - 2004 - books.google.com","Page 1. Anrio-Saxon Charters * X Charters of St Paul's, London Page 2. Page 3. Page
4. Page 5. CHARTERS OF ST PAUL'S, LONDON This On< BHPU-UQB-503Q Page
6. ANGLO-SAXON CHARTERS i CHARTERS OF ROCHESTER … 
",  Cited by 20 Related articles  Library Search (Sweden) ,20
2690,2016,330,"[BOOK][B] The life of the city: Space, humour, and the experience of truth in fin-de-siècle Montmartre",J Brigstocke - 2016 - content.taylorfrancis.com,"… has come to embody a nostalgia for a romanticized image of liberal freedom – a cult of creativity,
aestheticized individualism, and bohemian chic.3 The quirkiness of Amélie; the decadence of
Moulin Rouge.4 It has become a kind of symbol of urban vitality and dynamism … 
",  Cited by 20 Related articles All 5 versions  Library Search ,20
817,2007,146,"[BOOK][B] Urban communication: Production, text, context","TA Gibson, MD Lowes - 2007 - books.google.com","Page 1. URBAN COMMUNICATION PRODUCTION, TEXT, CONTEXT EDITED BY
TIMOTHY A. GIBSON AND MARK LOWES Page 2. Page 3. Urban Communication
TH, ſiliili Page 4. CRITICAL MEDIA STUDIES INSTITUTIONS … 
",  Cited by 20 Related articles  Library Search (Sweden) ,20
2822,2016,329,Fee Simple Obsolete,"LA Fennell - NYUL Rev., 2016 - HeinOnline","Page 1. NEW YORK UNIVERSITY LAW REVIEW VOLUME 91 DECEMBER 2016 NUMBER
6 ARTICLES FEE SIMPLE OBSOLETE LEE ANNE FENNELL* Urbanization has dramatically
altered the way in which land generates and forfeits value … 
",  Cited by 20 Related articles All 7 versions  Library Search ,20
1353,2011,169,[BOOK][B] Humanism and the urban world: leon battista alberti and the renaissance city,C Pearson - 2011 - books.google.com,"Page 1. Humanism and the Urban World LEON BATTISTA ALBERTI AND THE
RENAISSANCE CITY Caspar Pearson =a ;,___ , 'A 2% '€*. __ \.. ' ' W - ' -1 4' - . \ » N. __ .
pI_I- » ' C A 1. '..-1 Page 2. Humanism and the Urban World Page 3. Page 4 … 
",  Cited by 20 Related articles All 6 versions  ,20
2802,2016,329,[BOOK][B] The human city: Urbanism for the rest of us,J Kotkin - 2016 - books.google.com,"Page 1. “No one knows more about cities than Joel Kotkin, and has more to teach
us about them.” —US News & World Report The Human City Urbanism for the Rest
of Us Joel Kotkin Page 2. Praise for Joel Kotkin and The Next … 
",  Cited by 20 Related articles All 3 versions  Library Search ,20
1313,2010,153,Fishing for gaps in science: a bibliographic analysis of Brazilian freshwater ichthyology from 1986 to 2005,"PG Azevedo, FO Mesquita, RJ Young - Journal of Fish Biology, 2010 - Wiley Online Library","Skip to Main Content … 
",  Cited by 18 Related articles All 6 versions  ,18
2052,2014,244,Bairro Alto revisited: reputation and symbolic assets as drivers for sustainable innovation in the city,P Costa - 2014 - repositorio.iscte-iul.pt,"… way they can be mobilized to promote urban vitality and urban sustainable quality
of life in city center. On one … were put in place in order to promote urban vitality and
to assure quality of life to its users and residents. The dynamics … 
",  Cited by 18 Related articles  View as HTML ,18
2053,2014,244,The great halls of China? Meeting planners' perceptions of Beijing as an international convention destination,"J Park, B Wu, Y Shen, AM Morrison… - Journal of Convention & …, 2014 - Taylor & Francis","… Zhao, 2003). It has been concluded that Beijing's convention sector spurs economic
development, more rational industry structuring, stronger urban vitality, and remains
a high priority of government policy. However, Beijing … 
",  Cited by 18 Related articles All 3 versions  ,18
1960,2013,276,"Building GLAMour: converging practice between gallery, library, archive and museum entities in New Zealand memory institutions",S Wellington - 2013 - researcharchive.vuw.ac.nz,"… a physically integrated GLAM organisation. The use of GLAM institutions as vehicles for economic
development and as cultural hubs for urban vitality is an important focus for the wider GLAM
sector. There is growing awareness of the value of cultural heritage … 
",  Cited by 17 Related articles All 2 versions  View as HTML ,17
