,a,b,c,d,e,f,cite
2543,2016,330,Human thermal comfort conditions and urban planning in hot-humid climates—The case of Cuba,"JAR Algeciras, H Coch, G De la Paz Pérez… - International journal of …, 2016 - Springer","… et al. 2012). Outdoor spaces are important for assessing the sustainability in cities.
These determine the movement of pedestrians, their activities, and influence the
livability and urban vitality (Chen and Ng 2012). In the context … 
",  Cited by 15 Related articles All 16 versions  ,15
2550,2016,330,Introduction: The development of urban movements in central and Eastern Europe,"K Jacobsson - Urban grassroots movements in Central and …, 2016 - taylorfrancis.com","… have the urban vitality of the Western European inner city neighborhoods; the degree of
privatization of urban resources typical of North American cities (not to mention the fascination
with the lifestyle culture of malls, suburban houses, and private automobiles); an eroded level … 
",  Cited by 15 Related articles All 2 versions  View as HTML ,15
2105,2014,244,Competitiveness in Urban Systems: Studies on the Urban Century,K Kourtit - 2014 - dare.ubvu.vu.nl,"… growth. However, it is important to know whether this 'New Urban World' is a true golden
age of urban vitality and attractiveness (such as socio-economic opportunities), or
whether there are shadow sides, whereby the urbanization … 
",  Cited by 15 Related articles All 4 versions  View as HTML ,15
1071,2009,119,[PDF][PDF] The spatial signature of suburban'active'centres,"L Vaughan, CE Jones, S Griffiths, M Haklay - 2009 - discovery.ucl.ac.uk","… driven activities. Planners and geographers, coming from a different perspective, have
also traditionally prioritised retail as the key measure of urban vitality and determinant
of a centre's position in the urban hierarchy. Our research … 
",  Cited by 15 Related articles All 6 versions  View as HTML ,15
1918,2013,279,"Deservingness, children in poverty, and collective well being","LH Cousins - Children and Youth Services Review, 2013 - Elsevier","… aspx). They propose to address an array of factors which contribute to low
educational achievement—poverty, school readiness, health and wellness, parent
literacy, urban vitality and economic development, among others … 
",  Cited by 15 Related articles All 6 versions  ,15
1112,2009,121,The Inner City as Site of Cultural Production sui generis: A Review Essay,"TA Hutton - Geography Compass, 2009 - Wiley Online Library",,  Cited by 15 Related articles  ,15
1511,2012,232,The impact of urban form on downtown stadium redevelopment projects: a comparative analysis of Phoenix and Denver,"S Buckman, EA Mack - Journal of Urbanism: International …, 2012 - rsa.tandfonline.com","… As Talen (2006, p. 237) has stated: “diversity is seen as the pri- mary generator of urban
vitality because it increases interactions among multiple urban components.” A prevailing
implication of urban diversity is the sense of urban density … 
",  Cited by 15 Related articles All 3 versions  ,15
1518,2012,232,'Man Dem Link Up': London's Anti-Riots and Urban Modernism,"G Millington - Sociological Research Online, 2012 - journals.sagepub.com","Commentaries on the London riots of August 2011 have tended to ignore the urban context
of the disturbances or have treated the city and the urban as an implici...
",  Cited by 15 Related articles All 7 versions  ,15
1535,2012,237,[PDF][PDF] The convergence of patterns in the city:(isolating) the effects of architectural morphology on movement and activity,"VM Netto, R Saboya, JC Vargas… - Proceedings of the …, 2012 - researchgate.net","… Maíra PINHEIRO Universidade Federal Fluminense (NEPHU-UFF), Brazil e-mail:
mairasoares.arq@hotmail.com KEYWORDS: Pattern Convergence, Dissonance, Street Networks,
Architectural Typology, Urban Vitality THEME: Urban Structure and Spatial Distribution Abstract … 
",  Cited by 15 Related articles All 5 versions  View as HTML ,15
2030,2014,238,[PDF][PDF] Attracting Locals Downtown: Everyday Leisure as a Place-Making Initiative.,"AJ Johnson, TD Glover, WP Stewart - Journal of Park & Recreation …, 2014 - academia.edu","… interactions that are unique and important for everyday leisure. KEYWORDS: urban
form, urban vitality, built environment, public space, sociability, visual methods Page
2. 29 AUTHORS: Amanda J. Johnson is with the Department … 
",  Cited by 15 Related articles All 5 versions  View as HTML ,15
1025,2008,88,Multiculturalism's regeneration: celebrating Merdeka (Malaysian independence) in a European Capital of Culture,"T Bunnell - Transactions of the Institute of British Geographers, 2008 - Wiley Online Library","… He observed: Visible subcultures are being vigorously promoted as signs of urban
vitality and cosmopolitanism, as part of the attraction of a 'multicultural city' to lifestyle
tourists at home and abroad. (1996, 10; see also Keith 2005) … 
",  Cited by 15 Related articles All 4 versions  ,15
1739,2013,282,Urban ecosystem health assessment: Perspectives and Chinese practice,"M Su, Y Zhang, G Liu, L Xu, L Zhang… - International journal of …, 2013 - mdpi.com","The concept of ecosystem health is a way to assess the holistic operations and development
potential of urban ecosystems. Accelerated by the practical need for integrated ecosystem
management, assessment of urban ecosystem health has been greatly developed and extensively … 
",  Cited by 15 Related articles All 12 versions  Cached ,15
778,2006,96,The planning—Policy connection in US and Canadian economic development,"LA Reese - Environment and Planning C: Government and …, 2006 - journals.sagepub.com","Page 1. ``In planning, the identification of goals and the design of courses of action to achieve
them tend to proceed in a symbiotic fashion ... the planning process can be seen as a
progressive refinement of goals into projects.'' Hodge (1998, page 198) … 
",  Cited by 15 Related articles All 7 versions  ,15
545,2003,73,[PDF][PDF] Cities of East Asia,"JF Williams, KW Chan - Cities of the World: World Regional …, 2003 - courses.washington.edu","… fig. 11.7). Nagoya has fared somewhat better than Osaka Western influences played
some role in the by managing to maintain employment and prewar development
of Tokyo. Unfortunately, urban vitality in its central city. For … 
",  Cited by 15 Related articles  ,15
450,2002,55,Urban Heritage Conservation,"W Martokusumo - The Indonesian town Revisited, 2002 - books.google.com","… role as a shopping avenue. Such modern shopping malls with their maxim “all under
one roof"" have contributed to a rapid change in lifestyle and to some extent also to the
reduction of urban vitality. During the last decade urbanisation … 
",  Cited by 14 Related articles  ,14
2275,2015,283,"Scale, distribution, and pattern of mixed land use in central districts: A case study of Nanjing, China","B Shi, J Yang - Habitat International, 2015 - Elsevier","… Some scholars (Song & Knaap, 2004) agree that mixed land use (MLU) is an effective
way to use land resources economically, promote compact urban development,
stimulate urban vitality and encourage urban safety. Moreover … 
",  Cited by 14 Related articles All 2 versions  ,14
839,2007,146,"Review on the conception studies of"" livable city"" in China","Z Yong - Urban Problems, 2007 - en.cnki.com.cn","… 4, WANG Hong-yan SUN Li;Inspiration of PDCA circulation to the building of cities suitable
for living[J];Shanxi Architecture;2008-29. 5, HUANG Xiao-yan CAI Yu-ping;Molding of
urban vitality in city design[J];Shanxi Architecture;2009-22 … 
",  Cited by 14 Related articles  Cached ,14
2223,2014,238,Rights at risk in privatized public housing,"JA Lee - Tulsa L. Rev., 2014 - HeinOnline","Page 1. RIGHTS AT RISK IN PRIVATIZED PUBLIC HOUSING Jaime
Alison Lee* I. INTRODUCTION ..... 760 II. PUBLIC HOUSING,
PRIVATIZATION, AND PROTECTIONS . .... 763 A. Brief … 
",  Cited by 14 Related articles All 6 versions  ,14
1245,2010,156,The creative class thesis and the mobility patterns of knowledge workers considering the place of birth: The case of Montreal,"DG Tremblay, S Darchen - International Journal of Knowledge-Based …, 2010 - r-libre.teluq.ca","… Indeed, Jacobs (1984) was the first to speak of creative cities in her book Cities and Wealth of
Nations. Here, she spoke of particularly diversified and innovative cities, where exchange of ideas
and improvisation led to creativity and strong urban vitality. In Page 4 … 
",  Cited by 14 Related articles All 9 versions  View as HTML ,14
1671,2012,240,The law and economics of street layouts: How a grid pattern benefits a downtown,"RC Ellickson - Ala. L. Rev., 2012 - HeinOnline","Page 1. THE LAW AND ECONOMICS OF STREET LAYOUTS: HOW A GRID PATTERN
BENEFITS A DOWNTOWN Robert C. Ellickson* ABSTRACT People congregate in cities
to improve their prospects for social and economic interactions … 
",  Cited by 14 Related articles All 6 versions  ,14
1256,2010,154,Changing spaces: Locating public space at the intersection of the physical and digital,"C Alex de Freitas - Geography Compass, 2010 - Wiley Online Library","… 2019). Crossref. Young-Long Kim, Seoul's Wi-Fi hotspots: Wi-Fi access points as
an indicator of urban vitality, Computers, Environment and Urban Systems,
10.1016/j.compenvurbsys.2018.06.004, 72, (13-24), (2018). Crossref … 
",  Cited by 14 Related articles  ,14
1632,2012,240,The People Paradox,"NS Garnett - U. Ill. L. Rev., 2012 - HeinOnline",,  Cited by 14 Related articles All 9 versions  ,14
1265,2010,154,San Francisco's Waterfront in the Age of Neoliberal Urbanism,"J Rubin - Transforming Urban Waterfronts, 2010 - taylorfrancis.com","Page 1. 7 San Francisco's Waterfront in the Age of Neoliberal Urbanism Jasper Rubin1
Gabriel Metcalf, executive director of the San Francisco Planning and Urban Research
Association (SPUR), recently suggested that as part … 
",  Cited by 14 Related articles All 3 versions  View as HTML ,14
1183,2010,156,"The market and the plan: Housing, urban renewal and socio-economic change in London","J Keddie, F Tonkiss - City, Culture and Society, 2010 - Elsevier","… The words of a long-standing resident captures the sense of a lost urban vitality – of a 'really,
lively bustling place, so much going on' – that another, more recent resident finds in the gentrified
spaces further west: 'There's a buzz to the area now, there's that critical mass of people … 
",  Cited by 14 Related articles All 4 versions  ,14
567,2004,78,"Economic structures, urban responses: framing and negotiating urban property development","S Guy, J Henneberry - City Matters: Competitiveness, Cohesion …, 2004 - books.google.com","… While such property characteristics are anathema to institutional investors, independents
appear to recognise the links between such social complexity and the urban vitality that is
central to regeneration processes and ultimately to rising rental values … 
",  Cited by 14 Related articles All 2 versions  ,14
1460,2011,192,Morfología y características de las nuevas periferias. Nueve paisajes residenciales en la región urbana de Madrid,"RL de Lucio - Urban, 2011 - polired.upm.es","… text also highlights the low population density that usually exists in new residential suburbs
(typically 25-35 houses/hectare), the high proportion of public spaces (roads, green areas and
pedestrian zones) to the detriment of divided, private plots, the limited urban vitality of the … 
",  Cited by 14 Related articles All 4 versions  View as HTML ,14
1279,2010,155,When planning ideas land: Mahaweli's people-centered approach,"N Perera - Crossing Borders, 2010 - taylorfrancis.com","Page 1. CHAPTER 7 WHEN PLANNING IDEAS LAND Mahaweli's people-centered
approach Nihal Perera The Mahaweli Development Project, Sri Lanka's largest-ever
single development project, aimed to harness the water … 
",  Cited by 14 Related articles  View as HTML ,14
2019,2014,249,Integrative spatial quality: A relational epistemology of space and transdisciplinarity in urban design and planning,"AZ Khan, F Moulaert, J Schreurs, K Miciukiewicz - 2014 - Taylor & Francis","Skip to Main Content … 
",  Cited by 14 Related articles All 10 versions  ,14
469,2002,54,[PDF][PDF] The China difference: City studies under socialism and beyond,"DJ Solinger, KW Chan - Understanding the city: Contemporary and …, 2002 - socsci.uci.edu","… Given these discrepant outlooks, probably in order best to conceptualize the city in the offing
researchers will need to develop theories that encompass and interrelate both the new urban
vitality, as citizens thrive on the new consumption, along with the various types of … 
",  Cited by 14 Related articles All 5 versions  View as HTML ,14
1297,2010,154,[PDF][PDF] Citybranding and its impact on city's attractiveness for external audiences,"A Raubo - Erasmus University, 2010 - thesis.eur.nl","… The main goal of city branding and its desired effects are increasing inflows of tourists, and
investment. (Kavaratzis, 2004) If the image of urban vitality can be projected into the international
market place, then the chances of attracting tourists and multinational companies to … 
",  Cited by 14 Related articles  View as HTML ,14
1458,2011,192,Criatividade e governança na cidade. A conjugação de dois conceitos poliédricos e complementares,"J Seixas, P Costa - Cadernos Metrópole., 2011 - revistas.pucsp.br","… Furthermore, forms of public and private promotion and support for urban creativity are raised,
leading to discussion of political strategies and governance processes for its potentiation.
Keywords: creativity; urban governance; urban vitality. Page 2. João Seixas e Pedro Costa … 
",  Cited by 14 Related articles All 7 versions  View as HTML ,14
1704,2012,234,Studies on migrant entrepreneurship in Dutch cities,M Sahin - 2012 - dare.ubvu.vu.nl,"… Migrant entrepreneurs form a significant part of the SME sector in our cities, and
may hence be important vehicles for urban vitality … ""Migrant entrepreneurship has
rapidly risen to a factor of great importance for urban vitality … 
",  Cited by 14 Related articles All 5 versions  View as HTML ,14
1603,2012,239,A hungry industry on rolling regulations: A look at food truck regulations in cities across the United States,"CT Williams - Me. L. Rev., 2012 - HeinOnline","… HANNAH KAPELL PETER KATON, AMY KOSKI, JINPING Li, COLIN PRICE & KAREN
THALHAMMER, URBAN VITALITY GROUP, FOOD CARTOLOGY: RETHINKING URBAN SPACES
AS PEOPLE PLACES 24 (2008), available at http://www.portlandonline.com/bps/index.cfn?a … 
",  Cited by 14 Related articles All 5 versions  ,14
3062,2017,369,Towards Culture 3.0–performative space in the public library,"H Jochumsen, D Skot-Hansen… - … Journal of Cultural …, 2017 - Taylor & Francis","… The four spaces – a new model for the public library. New library world, 113 (11/12), 586–597.
Kemp, RL and Trotta, M., 2008. Museums, libraries and urban vitality: a handbook. Jefferson:
McFarland & Company. Lämsa, K., et al., 2005. Library 10 and meetingpoint@lasipalat … 
",  Cited by 14 Related articles All 5 versions  ,14
2524,2016,330,[HTML][HTML] Urban density after Jane Jacobs: the crucial role of diversity and emergence,"S Moroni - City, Territory and Architecture, 2016 - biomedcentral.com","In the early part of the twentieth century, planning theory and practice always voiced strong
opposition to density. The error of this insistence was persuasively argued by Jane Jacobs in
the 1960s. Subsequently, planning theory and practice came to recognise the importance of … 
",  Cited by 14 Related articles All 10 versions  Cached ,14
435,2001,48,Romance and tragedy in (post) modern planning: a pragmatist's perspective,"P Harrison - International planning studies, 2001 - rsa.tandfonline.com","… The “insurgent planning histories” are prepared to disclose the extent to which planning has been
implicated in: the destruction of urban vitality (Jacobs, 1965; Sennett, 1971), the oppression of
minority groups in Israel (Yiftachel, 1995; Yiftachel & Segal, 1998), the practice of … 
",  Cited by 13 Related articles All 4 versions  ,13
923,2007,146,[PDF][PDF] The limited potential of the creative city concept: policy practices in four Dutch cities,"D Kooijman, A Romein - 2007 - Citeseer","Page 1. Dion Kooijman, Arie Romein* The limited potential of the creative city concept: policy
practices in four Dutch cities Draft, November 2007** Summary. The creative economy is
considered to be crucial for urban growth in the twenty-first century … 
",  Cited by 13 Related articles All 6 versions  View as HTML ,13
1176,2010,156,"Social capital in action in urban environments: an intersection of theory, research and practice literature","P Paranagamage, S Austin, A Price… - Journal of …, 2010 - rsa.tandfonline.com","… stimulation and delight of different buildings within close proximity • A greater feeling of safety,
with 'eyes on streets' • Greater energy efficiency and more efficient use of space and buildings •
More consumer choice of lifestyle, location and building type • Urban vitality and street … 
",  Cited by 13 Related articles All 5 versions  ,13
282,1998,34,Tourism and conservation: striking a balance,"C Périer‐D'Ieteren - Museum international, 1998 - Wiley Online Library","… original vitality. Tourism cannot in fact be the sole economic re- source of a place
and other centres of activity must be maintained or developed since the key to urban
vitality lies in social, economic and functional diversity. This … 
",  Cited by 13 Related articles All 8 versions Web of Science: 2  ,13
2571,2016,330,Active centers–interactive edges: The rise and fall of ground floor frontages,"CC Kickert - Urban Design International, 2016 - Springer","… bankruptcy. Indeed, Detroit suffers from many red flags of urban decline: a declining
job base followed by the continuous hemorrhaging of inhabitants, urban vitality,
safety and tax revenue (Sugrue, 1996; Thomas, 1997). As … 
",  Cited by 13 Related articles All 2 versions  ,13
2776,2016,329,Do characteristics of walkable environments support bicycling? Toward a definition of bicycle-supported development,"CD Muhs, K Clifton - Journal of Transport and Land Use, 2016 - pdxscholar.library.pdx.edu","Page 1. Portland State University PDXScholar … 
",  Cited by 13 Related articles All 11 versions  View as HTML ,13
966,2008,89,Food cartology: Rethinking urban spaces as people places,"H Kapell, P Katon, A Koski, J Li, C Price, K Thalhammer - 2008 - pdxscholar.library.pdx.edu","… Page 4. Acknowledgements Hannah Kapell Peter Katon Amy Koski Jingping Li Colin Price Karen
Thalhammer The Urban Vitality Group thanks the following people for their input and assistance
to the Food Car- tology project. Food Cartology Technical Advisory Committee … 
",  Cited by 13 Related articles All 3 versions  View as HTML ,13
1746,2013,282,The metropolitan region: from concepts to indicators of urban sustainability,"R Banai - Journal of Urbanism: International Research on …, 2013 - rsa.tandfonline.com","… Adaptations of gar- den cities in the form of suburban towns that mainly provide housing,
open space, limited services and no employment opportunities are pejoratively labeled
'dormitory' towns or 'garden suburbs' lacking in urban vitality … 
",  Cited by 13 Related articles All 5 versions  ,13
2885,2017,369,Resilience and justice 1,"S Fainstein - In The Post-Urban World, 2017 - taylorfrancis.com","… rather than dealt with openly (Baumgartner, 1991). Diversity is seen as the primary
generator of urban vitality because it increases interactions among multiple urban
components. A “close- grained” diversity of uses provides … 
",  Cited by 13 Related articles  Library Search View as HTML ,13
1330,2011,169,"[PDF][PDF] Studying land-use distribution and mixed-use patterns in relation to density, accessibility and urban form","B Mashhoodi, MY Berghauser Pont - ISUF 2011: 18th International …, 2011 - researchgate.net","… layout. (Moudon et al., 2006; Lee & Moudon, 2004; Moudon et al., 2007; Moudon
& Lee, 2003; Cervero and Kockelman, 1997; DETR, 2001). Others consider
mixed-use related issues as effective drivers of urban vitality. These … 
",  Cited by 13 Related articles All 5 versions  View as HTML ,13
582,2004,78,Social capital: A theory of social structure and action,"MJV Woolcock - Social Forces, 2004 - muse.jhu.edu","… That might sound like a cheap shot for a book on theory, but even a cursory reading of social
capital's intellectual biography since the 1920s — from Jyda Hanifan on school reform and Jane
Jacobs on urban vitality to Glen Loury on black marginalization, James Coleman on … 
",  Cited by 13 Related articles All 4 versions  ,13
1435,2011,192,City as spectacle: The festivalization of culture in contemporary Istanbul,"E Doğan - Young minds rethinking the Mediterranean, 2011 - books.google.com","… The Role of İKSV: Refashioning Istanbul Creative destruction is embedded within the circulation
ofcapital.(Har- vey, 1989a, p. 105) The historic heritage, cultural diversity and urban vitality of
Istanbul carry significant potentials, which could be flourished upon a sound cultural … 
",  Cited by 13 Related articles All 9 versions  ,13
1416,2011,193,Walkability and residential suburbs: a multidisciplinary perspective,"M Kashef - Journal of Urbanism, 2011 - rsa.tandfonline.com","… Over the last four or five decades, various design and planning publications called for reviving
traditional built forms and reintroducing mixed uses to enhance walkability and urban vitality
(Jacobs 1961, Alexander 1977, Rowe and Koetter 1978, Krier 1979, Trancik 1986 … 
",  Cited by 13 Related articles All 3 versions  ,13
2720,2016,330,Tangible benefits from intangible resources: using social and cultural history to plan neighborhood futures,"JM Buckley, D Graves - Journal of the American Planning …, 2016 - Taylor & Francis","Page 1. Problem, research strategy, and findings: Intense development pressures
in fast-growing cities threaten to displace many social and ethnic minority populations
and the diverse histories they have created. We assess … 
",  Cited by 13 Related articles All 7 versions  ,13
3215,2018,367,Using mobility data as proxy for measuring urban vitality,"P Sulis, E Manley, C Zhong… - Journal of Spatial …, 2018 - discovery.ucl.ac.uk","In this paper, we propose a computational approach to Jane Jacobs' concept of diversity and vitality, analyzing new forms of spatial data to obtain quantitative measurements of urban qualities frequently employed to evaluate places. We use smart card data collected from …",  Cited by 13 Related articles All 8 versions  View as HTML ,13
1432,2011,192,Rediscovering cultural tourism: Cultural regeneration in seaside towns,"J Kennell - Journal of town and city management, 2011 - gala.gre.ac.uk","… Cultural regeneration offers policy makers a strategy for integrating new visions of urban
competitiveness and lifestyle indices of class and diversity and their relationship to urban
vitality, such as those advanced by Landry and Florida … 
",  Cited by 13 Related articles All 6 versions  View as HTML ,13
1348,2011,169,Monitoring temporary populations through cellular core network data,"F Manfredini, P Tagliolato, C Di Rosa - International Conference on …, 2011 - Springer","… carmelo.dirosa}@polimi.it Abstract. Visitors and tourists are among the more important
urban populations for their impact on local economy, on global fluxes dimensions
and on urban vitality and attractiveness. In recent years we … 
",  Cited by 12 Related articles All 4 versions  ,12
2110,2014,244,[PDF][PDF] Spatial quality evaluation of pedestrian streets,"RC Magagnin, MSG de Castro Fontes… - David Publishing …, 2014 - academia.edu","… D., professor, research fields: urbanism, urban mobility and urban accessibility. E-mail: magagnin@
faac. unesp. br. revitalization of central areas and/or implementation of new projects in order
to contribute to urban vitality and, hence, improve the quality of life in cities … 
",  Cited by 12 Related articles All 3 versions  View as HTML ,12
2871,2017,369,Development of outdoor thermal comfort model for tourists in urban historical areas; A case study in Isfahan,"N Nasrollahi, Z Hatami, M Taleghani - Building and Environment, 2017 - Elsevier","… environments [29]. Comfortable climates attract more people to touristic sites [30].
Thermal comfort is of utmost importance due to its impact on human health [31], urban
vitality [32] and energy consumption of buildings [33]. It is … 
",  Cited by 12 Related articles All 3 versions  ,12
1852,2013,280,Incorporating user based perspective of livability projects in SF-CHAMP mode choice models,"M Bomberg, L Zorn, E Sall - Transportation Letters, 2013 - Taylor & Francis","… San Francisco's CHained Activity Modeling Process (SF-CHAMP) model through version
4.1.0 (aka version Harold) incorporated several zonal environment factors (eg urban vitality, which
is a measure of the prevalence of amenities, topography, etc.) in the mode choice model … 
",  Cited by 12 Related articles All 3 versions  ,12
580,2004,78,Manifestation of the urban public realm at the water edges in India—a case study of the ghats in Ujjain,"S Samant - Cities, 2004 - Elsevier","… Urban design plans and guidelines drawn up should be reviewed throughout the implementation
process. 3.3.3. Adaptive reuse. In a developing country, riverfronts can be distinct features that
provide tremendous potential for growth, functionality and urban vitality … 
",  Cited by 12 Related articles All 2 versions  ,12
2537,2016,330,Revealing the relationship between spatio-temporal distribution of population and urban function with social media data,"M Li, Z Shen, X Hao - GeoJournal, 2016 - Springer","… People gathering at different places and times reflects urban vitality, forming a city spectrum,
as well as daily human activity. To observe the spatio-temporal distribution in homogeneity and
heterogeneity of population dynamics, temporal entropy must be used to measure it … 
",  Cited by 12 Related articles All 3 versions  ,12
679,2005,83,[PDF][PDF] Making spaces for creativity: designating 'cultural quarters',"J McCarthy - comunicación presentada al 41st ISoCaRP World …, 2005 - isocarp.net","… 11 Scottish Executive (2000) Scotland's National Cultural Strategy, Edinburgh: Scottish Executive.
Urban Cultures (1994) The Merchant City: a strategy for culturally led urban renewal and urban
vitality, London: Urban Cultures. Wansborough M & Mageean A (2000) … 
",  Cited by 12 Related articles All 2 versions  View as HTML ,12
3069,2017,369,Suburban commuting and activity spaces: using smartphone tracking data to understand the spatial extent of travel behaviour,"G Vich, O Marquet… - The Geographical …, 2017 - Wiley Online Library","Skip to Main Content … 
",  Cited by 12 Related articles All 6 versions  ,12
1882,2013,278,Ghosts of the open city,"F Allon - Space and Culture, 2013 - journals.sagepub.com","Since reunification, Berlin has been celebrated as both a creative, cosmopolitan “Open City”
(the “new Berlin”) and as a project for demonstrating the diversity...
",  Cited by 12 Related articles  ,12
1709,2012,234,"Playing the fame game: bibliography, celebrity, and primacy in late antique Spain","J Wood - Journal of Early Christian Studies, 2012 - muse.jhu.edu","… throughout the period. 69. Ildefonsus's De viris illustribus should be read against this
backdrop of continued urban vitality in seventh-century Spain within which Toledo had
to struggle to assert its dominance. Although the sponsorship … 
",  Cited by 12 Related articles All 3 versions  ,12
1664,2012,240,Spontaneous cities,"P Gordon - The spatial market process, 2012 - emeraldinsight.com","Page 1. SPONTANEOUS CITIES Peter Gordon Their intricate order – a manifestation
of the freedom of countless numbers of people to make and carry out countless plans –
is in many ways a wonder. – Jane Jacobs The rules … 
",  Cited by 12 Related articles All 9 versions  ,12
362,2000,56,Israeli new town plans: physical transformations,"I Aravot, S Militanu - Journal of Urban Design, 2000 - Taylor & Francis","Page 1. Journal of Urban Design, Vol. 5, No. 1, 41ą64, 2000 Israeli New Town Plans:
Physical Transformations IRIS ARAVOT & SHLOMI MILITANU ABSTRACT The
phenomenon of 20th-century new towns had one of its essential … 
",  Cited by 12 Related articles All 4 versions  ,12
1686,2012,234,[PDF][PDF] 城市公共文化设施集中建设的空间绩效分析,吕斌， 张玮璐， 王璐， 高晓雪 - 2012 - shdaiping.com,"… development. 2. Whether the spatial concentration could impact surrounding traffic.
3. Whether the planner considers urban vitality. 4. Whether the income could be
balanced with the investment of large-scale construction. KEY … 
",  Cited by 12 Related articles All 4 versions  View as HTML ,12
823,2007,146,Autocratic urban design: The case of the Navab Regeneration Project in central Tehran,"H Bahrainy, B Aminzadeh - International …, 2007 - online.liverpooluniversitypress.co.uk","… The selected criteria included accessibility, place identity, vitality, security and urban
IDPR29_2_5_Bahrainy.indd 11 … Vitality Jacobs's statement that 'planning can induce city vitality'
(Jacobs, 1961, 4) outlined one of the foremost design challenges of the last few decades … 
",  Cited by 12 Related articles All 4 versions  ,12
494,2003,73,[PDF][PDF] Is urban living becoming more attractive?,"D Stead - Local Environment, 2003 - Taylor & Francis","… Conclusions A number of recent government policy docu- ments make reference to the need
to promote urban living and working. They suggest that urban living offers various potential
benefits such as improving urban vitality and reducing the need to travel … 
",  Cited by 11 Related articles  ,11
1738,2013,282,[PDF][PDF] Urban Revitalisation in the Creative Economy and the Development of the Creative Society.“,"M Fanea-Ivanovici - Theoretical and Applied Economics, 2013 - store.ectap.ro","… Urban vitality has been studied in Romania as well. In 2010, a report was published in this respect,
by the Centre for Research and Consultancy for Culture, entitled “Cultural Vitality of Cities in
Romania 2010” (Centre for Research and Consultancy for Culture, 2010b) … 
",  Cited by 11 Related articles All 7 versions  View as HTML ,11
1636,2012,240,A city without citizens: The 2010 Shanghai World Expo as a temporary city,"S Houdart - City, Culture and Society, 2012 - Elsevier",,  Cited by 11 Related articles All 3 versions  ,11
968,2008,89,Lower and higher urban quality cycles in urban heritage areas: Rejuvenation vs. conservation,"AMS el-Dien Ouf - Journal of Urban Design, 2008 - Taylor & Francis","… on saving the physical urban heritage. Urban designers and city administrators started
to think of ways to re-establish urban vitality and encourage people to enjoy their
urban settings. Sharjah Directorate of Culture and Media … 
",  Cited by 11 Related articles All 4 versions  ,11
848,2007,146,In search of a small city's élan vital: Inverness: towards progressive change?,"M Lloyd, D Peel - Town Planning Review, 2007 - online.liverpooluniversitypress.co.uk","… contractualised service delivery arrangements at the sub-municipal level with respect to the
management and service delivery agenda (Peel et al., forthcoming), however, has changed and
extended the role of urban actors in securing and sustaining urban vitality and viability … 
",  Cited by 11 Related articles All 8 versions  ,11
847,2007,146,Application about the Grey-fuzzy Cluster Theory in the Arid Evaluation [J],"N CHEN, S LI, L Yang - Journal of North China Institute of Water …, 2007 - en.cnki.com.cn","… 1.Department of Urban and Region Planning,Nanjing University,Nanjing 210093;2.College of
Hydrology and Water Resources,Hohai University,Nanjing 210093;3.Zhejiang Reclaim
Construction Group CU.LTD.,Ningbo 315040,China);Evaluation of Urban Vitality Based on … 
",  Cited by 11 Related articles  Cached ,11
2121,2014,239,[HTML][HTML] Contrasts and similarities in economic performance of migrant entrepreneurs,"M Sahin, P Nijkamp, S Suzuki - IZA Journal of Migration, 2014 - biomedcentral.com","In recent years, migrant entrepreneurs have come to occupy a prominent place in the SME sector
in many cities in developed countries, with varying degrees of success. The concept of migrant
entrepreneurship suggests a homogeneous set of actors, but it remains to be seen whether … 
",  Cited by 11 Related articles All 12 versions  Cached ,11
1075,2009,119,[PDF][PDF] Urban Policies and the Right to the City,"A Brown, A Kristiansen - … and citizenship, UN Habitat Available from …, 2009 - issuelab.org","Page 1. Urban Policies and the Right to the City Rights, responsibilities and citizenship Alison
Brown School of City & Regional Planning Cardiff University Annali Kristiansen Rule of Law
Department Danish Institute for Human Rights March 2009 Management of Social … 
",  Cited by 11 Related articles All 6 versions  View as HTML ,11
1180,2010,156,Urban agriculture: A comparative review of allotment and community gardens,"DL Iaquinta, AW Drescher - Urban ecosystem ecology, 2010 - dl.sciencesocieties.org","… across space, time, and stakeholders. Thus, urban agriculture goes largely unseen
as an aggregate sector essential to urban vitality, a sector that can benefit greatly from
sectoral-level planning. Together with periurban agriculture … 
",  Cited by 11 Related articles  ,11
2154,2014,238,[HTML][HTML] Identifying communities of practice through mobile phone data,"P Pucci - urbe. Revista Brasileira de Gestão Urbana, 2014 - SciELO Brasil","… Human presence and its variability over time is an index of urban vitality and the
liveability of urban spaces over time (temporal extension of urban activities). However,
there is not necessarily a reference to functional patterns … 
",  Cited by 11 Related articles All 8 versions  Cached ,11
2428,2015,283,[PDF][PDF] Recent advances in the understanding of Roman London,D Perring - 2015 - discovery.ucl.ac.uk,"Page 1. Page 2. CHAPTER 3 Recent advances in the undeRstanding of Roman London
By Dominic Perring commeRciaL aRchaeoLogy and the study of Roman London London
is one of the world's most intensively studied Roman cities … 
",  Cited by 11 Related articles  View as HTML ,11
3416,2018,364,"Transit-oriented economic development: The impact of light rail on new business starts in the Phoenix, AZ Region, USA","K Credit - Urban Studies, 2018 - journals.sagepub.com","This article examines the impact of Phoenix's light rail system, which opened in 2008, on
new firm formation in specific industries. Individual business data fr...
",  Cited by 11 Related articles All 5 versions  ,11
