Source Titles	records	% of 829
ISMOT 07 PROCEEDINGS OF THE FIFTH INTERNATIONAL SYMPOSIUM ON MANAGEMENT OF TECHNOLOGY VOLS 1 AND 2	1	0.121
IX INTERNATIONAL WORKSHOP ON SAP FLOW	1	0.121
JEZIKOSLOVLJE	1	0.121
JMIR MENTAL HEALTH	1	0.121
JMIR RESEARCH PROTOCOLS	1	0.121
JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY	1	0.121
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	1	0.121
JOURNAL OF APPLIED ENTOMOLOGY	1	0.121
JOURNAL OF ASIAN AND AFRICAN STUDIES	1	0.121
JOURNAL OF CANCER SURVIVORSHIP	1	0.121
JOURNAL OF CHINESE GOVERNANCE	1	0.121
JOURNAL OF EASTERN AFRICAN STUDIES	1	0.121
JOURNAL OF ENVIRONMENTAL MONITORING	1	0.121
JOURNAL OF EPIDEMIOLOGY	1	0.121
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH	1	0.121
JOURNAL OF FOOD AGRICULTURE ENVIRONMENT	1	0.121
JOURNAL OF FUNDAMENTAL AND APPLIED SCIENCES	1	0.121
JOURNAL OF GENERAL INTERNAL MEDICINE	1	0.121
JOURNAL OF GEOGRAPHICAL SCIENCES	1	0.121
JOURNAL OF HAPPINESS STUDIES	1	0.121
JOURNAL OF HUMAN SPORT AND EXERCISE	1	0.121
JOURNAL OF INDUSTRIAL ECOLOGY	1	0.121
JOURNAL OF INTEGRATIVE PLANT BIOLOGY	1	0.121
JOURNAL OF INTELLIGENT FUZZY SYSTEMS	1	0.121
JOURNAL OF LANDSCAPE ARCHITECTURE	1	0.121
JOURNAL OF LEGAL AFFAIRS AND DISPUTE RESOLUTION IN ENGINEERING AND CONSTRUCTION	1	0.121
JOURNAL OF MEDITERRANEAN STUDIES	1	0.121
JOURNAL OF MODERN AFRICAN STUDIES	1	0.121
JOURNAL OF MUSICOLOGICAL RESEARCH	1	0.121
JOURNAL OF ORTHOPAEDIC TRAUMA	1	0.121
JOURNAL OF PAEDIATRICS AND CHILD HEALTH	1	0.121
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT	1	0.121
JOURNAL OF PEDIATRIC SURGERY	1	0.121
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B BIOLOGY	1	0.121
JOURNAL OF PHYSICS CONFERENCE SERIES	1	0.121
JOURNAL OF PLANNING LITERATURE	1	0.121
JOURNAL OF PLANT PHYSIOLOGY	1	0.121
JOURNAL OF PRAGMATICS	1	0.121
JOURNAL OF PROPERTY RESEARCH	1	0.121
JOURNAL OF PSYCHOSOMATIC RESEARCH	1	0.121
JOURNAL OF RESEARCH IN MEDICAL SCIENCES	1	0.121
JOURNAL OF RURAL STUDIES	1	0.121
JOURNAL OF SOCIAL DISTRESS AND THE HOMELESS	1	0.121
JOURNAL OF SOCIAL POLICY	1	0.121
JOURNAL OF SOUTHERN AFRICAN STUDIES	1	0.121
JOURNAL OF SPATIAL INFORMATION SCIENCE	1	0.121
JOURNAL OF SPECULATIVE PHILOSOPHY	1	0.121
JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION	1	0.121
JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION	1	0.121
JOURNAL OF THE HISTORICAL SOCIETY	1	0.121
JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION	1	0.121
JOURNAL OF TRANSPORT HEALTH	1	0.121
JOURNAL OF URBAN AND REGIONAL ANALYSIS	1	0.121
JOURNAL OF URBAN ETHNOLOGY	1	0.121
JOURNALS OF GERONTOLOGY SERIES A BIOLOGICAL SCIENCES AND MEDICAL SCIENCES	1	0.121
KULTUR REVISTA INTERDISCIPLINARIA SOBRE LA CULTURA DE LA CIUTAT	1	0.121
LECTURE NOTES IN CIVIL ENGINEERING	1	0.121
LECTURE NOTES IN INFORMATION TECHNOLOGY	1	0.121
LECTURE NOTES IN MANAGEMENT SCIENCE	1	0.121
LIVING AND LEARNING RESEARCH FOR A BETTER BUILT ENVIRONMENT	1	0.121
MADERA Y BOSQUES	1	0.121
MANAGEMENT RESEARCH AND PRACTICE	1	0.121
MARMARA GEOGRAPHICAL REVIEW	1	0.121
MATERIALS SCIENCE ENGINEERING C MATERIALS FOR BIOLOGICAL APPLICATIONS	1	0.121
MECHANICS AND ARCHITECTURAL DESIGN	1	0.121
MEDICAL CARE	1	0.121
MEDICAL DECISION MAKING	1	0.121
MICHIGAN LAW REVIEW	1	0.121
MITTEILUNGEN DER DEUTSCHEN GESELLSCHAFT FUR ALLGEMEINE UND ANGEWANDTE ENTOMOLOGIE	1	0.121
MITTEILUNGEN DER DEUTSCHEN GESELLSCHAFT FUR ALLGEMEINE UND ANGEWANDTE ENTOMOLOGIE BD 21	1	0.121
MULTILINGUA JOURNAL OF CROSS CULTURAL AND INTERLANGUAGE COMMUNICATION	1	0.121
MULTIMEDIA TOOLS AND APPLICATIONS	1	0.121
MUTATION RESEARCH GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS	1	0.121
NANO LIFE	1	0.121
NEOHELICON	1	0.121
NEUROPSYCHOLOGY	1	0.121
NEW ARCH INTERNATIONAL JOURNAL OF CONTEMPORARY ARCHITECTURE	1	0.121
NOISE CONTROL ENGINEERING JOURNAL	1	0.121
NONPROFIT AND VOLUNTARY SECTOR QUARTERLY	1	0.121
NOTFALL RETTUNGSMEDIZIN	1	0.121
NOVA HEDWIGIA	1	0.121
OCEANIC LINGUISTICS	1	0.121
ONCOLOGY NURSING FORUM	1	0.121
PAEDAGOGICA HISTORICA	1	0.121
PAIN	1	0.121
PAPELES DE POBLACION	1	0.121
PENTECOSTUDIES AN INTERDISCIPLINARY JOURNAL FOR RESEARCH ON THE PENTECOSTAL AND CHARISMATIC MOVEMENTS	1	0.121
PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES	1	0.121
PHOTOSYNTHESIS RESEARCH	1	0.121
PLANNING PRACTICE AND RESEARCH	1	0.121
PLANNING THEORY	1	0.121
PLANT BIOSYSTEMS	1	0.121
PLANTS BASEL	1	0.121
POLAR RECORD	1	0.121
POLICY STUDIES JOURNAL	1	0.121
POLISH JOURNAL OF ENVIRONMENTAL STUDIES	1	0.121
POLITICAL RESEARCH QUARTERLY	1	0.121
POPULATION AND ENVIRONMENT	1	0.121
PORTUGUESE JOURNAL OF SOCIAL SCIENCE	1	0.121
POSTMODERN URBAN AND REGIONAL PLANNING IN IRAQ	1	0.121
PROCEDIA COMPUTER SCIENCE	1	0.121
PROCEDIA ENVIRONMENTAL SCIENCES	1	0.121
PROCEEDINGS 2012 INTERNATIONAL FEDERATION OF LANDSCAPE ARCHITECTS ASIA PACIFIC REGION ANNUAL CONFERENCE IFLA APRC 2012	1	0.121
PROCEEDINGS FRONTIERS IN EDUCATION CONFERENCE	1	0.121
PROCEEDINGS OF 3RD INTERNATIONAL SUSTAINABLE BUILDINGS SYMPOSIUM ISBS 2017 VOL 1	1	0.121
PROCEEDINGS OF 8TH INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTATION TECHNOLOGY AND AUTOMATION ICICTA 2015	1	0.121
PROCEEDINGS OF INTERNATIONAL SYMPOSIUM ON GREEN MANAGEMENT AND LOCAL GOVERNMENT S RESPONSIBILITY 2017	1	0.121
PROCEEDINGS OF THE 11TH EURO ASIA CONFERENCE ON ENVIRONMENT AND CSR TOURISM SOCIETY AND EDUCATION SESSION PART II	1	0.121
PROCEEDINGS OF THE 14TH EUROPEAN CONFERENCE ON KNOWLEDGE MANAGEMENT ECKM 2013 VOLS 1 AND 2	1	0.121
PROCEEDINGS OF THE 1ST INTERNATIONAL SYMPOSIUM ON IMPROVING THE PERFORMANCE OF SUPPLY CHAINS IN THE TRANSITIONAL ECONOMIES	1	0.121
PROCEEDINGS OF THE 2015 INTERNATIONAL CONFERENCE ON MECHANICAL ENGINEERING AND CONTROL SYSTEMS MECS2015	1	0.121
PROCEEDINGS OF THE 2015 INTERNATIONAL FORUM ON ENERGY ENVIRONMENT SCIENCE AND MATERIALS	1	0.121
PROCEEDINGS OF THE 2016 4TH INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE EDUCATION TECHNOLOGY ARTS SOCIAL SCIENCE AND ECONOMICS MSETASSE 16	1	0.121
PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON ECONOMY MANAGEMENT AND EDUCATION TECHNOLOGY	1	0.121
PROCEEDINGS OF THE 2017 2ND INTERNATIONAL CONFERENCE ON EDUCATION SPORTS ARTS AND MANAGEMENT ENGINEERING ICESAME 2017	1	0.121
PROCEEDINGS OF THE 2017 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND HIGHER EDUCATION	1	0.121
PROCEEDINGS OF THE 2017 7TH INTERNATIONAL CONFERENCE ON EDUCATION AND MANAGEMENT ICEM 2017	1	0.121
PROCEEDINGS OF THE 2017 7TH INTERNATIONAL CONFERENCE ON SOCIAL NETWORK COMMUNICATION AND EDUCATION SNCE 2017	1	0.121
PROCEEDINGS OF THE 2018 2ND INTERNATIONAL CONFERENCE ON EDUCATION ECONOMICS AND MANAGEMENT RESEARCH ICEEMR 2018	1	0.121
PROCEEDINGS OF THE 2018 4TH INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND HIGHER EDUCATION ICSSHE 2018	1	0.121
PROCEEDINGS OF THE 2ND INTERNATIONAL CONFERENCE ON INFORMATION MANAGEMENT AND EVALUATION	1	0.121
PROCEEDINGS OF THE 2ND INTERNATIONAL CONFERENCE ON JUDICIAL ADMINISTRATIVE AND HUMANITARIAN PROBLEMS OF STATE STRUCTURES AND ECONOMIC SUBJECTS JAHP 2017	1	0.121
PROCEEDINGS OF THE 3RD 2017 INTERNATIONAL CONFERENCE ON SUSTAINABLE DEVELOPMENT ICSD 2017	1	0.121
PROCEEDINGS OF THE 4TH CONFERENCE ON SYSTEMS SCIENCE MANAGEMENT SCIENCE AND SYSTEMS DYNAMICS SSMSSD10 VOL 1	1	0.121
PROCEEDINGS OF THE 4TH INTERNATIONAL CONFERENCE ON ARTS DESIGN AND CONTEMPORARY EDUCATION ICADCE 2018	1	0.121
PROCEEDINGS OF THE 51ST ISOCARP CONGRESS	1	0.121
PROCEEDINGS OF THE 6TH KNOWLEDGE CITIES WORLD SUMMIT KCWS 2013	1	0.121
PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON TALL BUILDINGS	1	0.121
PROCEEDINGS OF THE 8TH INTERNATIONAL CONFERENCE ON MANAGEMENT AND COMPUTER SCIENCE ICMCS 2018	1	0.121
PROCEEDINGS OF THE 9TH EURO ASIA CONFERENCE ON ENVIRONMENT AND CSR TOURISM SOCIETY AND EDUCATION SESSION PT III	1	0.121
PROCEEDINGS OF THE AGILE DEVELOPMENT CONFERENCE	1	0.121
PROCEEDINGS OF THE EIGHTH INTERNATIONAL PEOPLE PLANT SYMPOSIUM ON EXPLORING THERAPEUTIC POWERS OF FLOWERS GREENERY AND NATURE	1	0.121
PROCEEDINGS OF THE EUROPEAN CONFERENCE ON KNOWLEDGE MANAGEMENT	1	0.121
PROCEEDINGS OF THE FIRST INTERNATIONAL CONFERENCE ON SUSTAINABLE URBANIZATION ICSU 2010	1	0.121
PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON ADVANCES IN ENERGY ENVIRONMENT AND CHEMICAL ENGINEERING	1	0.121
PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON CHEMICAL MATERIAL AND FOOD ENGINEERING	1	0.121
PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON DATA SCIENCE AND ADVANCED ANALYTICS	1	0.121
PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON EDUCATION MATHEMATICS AND SCIENCE 2016 ICEMS2016 IN CONJUNCTION WITH INTERNATIONAL POSTGRADUATE CONFERENCE ON SCIENCE AND MATHEMATICS 2016 IPCSM2016	1	0.121
PROCEEDINGS OF THE INTERNATIONAL CONFERENCES ON ICT SOCIETY AND HUMAN BEINGS 2015 WEB BASED COMMUNITIES AND SOCIAL MEDIA 2015 AND CONNECTED SMART CITIES 2015	1	0.121
PROCEEDINGS OF THE THIRD INTERNATIONAL CONFERENCE ON TRAFFIC AND TRANSPORT ENGINEERING ICTTE	1	0.121
PROGRESS IN COMMUNITY HEALTH PARTNERSHIPS RESEARCH EDUCATION AND ACTION	1	0.121
PROSPECTIVA	1	0.121
PROSTOR	1	0.121
PSYCHO ONCOLOGY	1	0.121
PUBLIC HEALTH	1	0.121
PUERTO RICO HEALTH SCIENCES JOURNAL	1	0.121
QUAESTIONES GEOGRAPHICAE	1	0.121
REGIONAL STUDIES IN MARINE SCIENCE	1	0.121
REGIONAL STUDIES REGIONAL SCIENCE	1	0.121
REMOTE SENSING	1	0.121
REMOTE SENSING OF ENVIRONMENT	1	0.121
RESILIENT CITIES BEYOND MITIGATION PREPAREDNESS RESPONSE AND RECOVERY CITIES 2013 INTERNATIONAL SEMINAR	1	0.121
REVIEW OF KOREAN STUDIES	1	0.121
REVISTA 180	1	0.121
REVISTA CHAPINGO SERIE CIENCIAS FORESTALES Y DEL AMBIENTE	1	0.121
REVISTA HABITAT SUSTENTABLE	1	0.121
REVUE DU NORD	1	0.121
REVUE ROUMAINE DE LINGUISTIQUE ROMANIAN REVIEW OF LINGUISTICS	1	0.121
RLA REVISTA DE LINGUISTICA TEORICA Y APLICADA	1	0.121
ROAD TRANSPORT RESEARCH	1	0.121
RURAL EMPLOYMENT	1	0.121
RURAL HISTORY ECONOMY SOCIETY CULTURE	1	0.121
SALUD PUBLICA DE MEXICO	1	0.121
SCRIPTA REVISTA INTERNACIONAL DE LITERATURA I CULTURA MEDIEVAL I MODERNA INTERNATIONAL JOURNAL OF MEDIEVAL MODERN LITERATURE CULTURE	1	0.121
SEEFOR SOUTH EAST EUROPEAN FORESTRY	1	0.121
SEVENTH INTERNATIONAL CONFERENCE ON CITY LOGISTICS	1	0.121
SIXTEENTH CENTURY JOURNAL	1	0.121
SOCIAL SCIENCE AND HUMANITY PT ONE	1	0.121
SOCIAL SCIENCE MEDICINE	1	0.121
SOCIAL SEMIOTICS	1	0.121
SOCIOINT14 INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND HUMANITIES	1	0.121
SOCIOLOGIA RURALIS	1	0.121
SOIL BIOLOGICAL COMMUNITIES AND ECOSYSTEM RESILIENCE	1	0.121
SOLAR ENERGY	1	0.121
SOUTH OF RUSSIA ECOLOGY DEVELOPMENT	1	0.121
SPACE SYNTAX 5TH INTERNATIONAL SYMPOSIUM VOL 1 PROCEEDINGS	1	0.121
STUDIA PHAENOMENOLOGICA	1	0.121
SUMARSKI LIST	1	0.121
SUSTAINABILITY IN PLANT AND CROP PROTECTION	1	0.121
SUSTAINABLE CITIES DEVELOPMENT AND ENVIRONMENT PTS 1 3	1	0.121
SUSTAINABLE CITY III URBAN REGENERATION AND SUSTAINABILITY	1	0.121
SUSTAINABLE CITY V URBAN REGENERATION AND SUSTAINABILITY	1	0.121
SUSTAINABLE CITY XII	1	0.121
SUSTAINABLE DEVELOPMENT	1	0.121
SUSTAINABLE PLANNING AND DEVELOPMENT	1	0.121
SUSTAINABLE TOURISM III	1	0.121
SUSTAINABLE WORLD	1	0.121
SYLWAN	1	0.121
TALL BUILDINGS FROM ENGINEERING TO SUSTAINABILITY	1	0.121
TEACHERS COLLEGE RECORD	1	0.121
TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY	1	0.121
TECHNOLOGIES AND MATERIALS FOR RENEWABLE ENERGY ENVIRONMENT AND SUSTAINABILITY TMREES	1	0.121
TERCIO CRECIENTE	1	0.121
TERRITORY POLITICS GOVERNANCE	1	0.121
THIRD WORLD PLANNING REVIEW	1	0.121
TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE	1	0.121
TOWN AND REGIONAL PLANNING	1	0.121
TOXICOLOGY	1	0.121
TRANSACTIONS IN GIS	1	0.121
TRANSPORT RESEARCH ARENA TRA2016	1	0.121
TRANSPORT REVIEWS	1	0.121
TRANSPORTATION RESEARCH PART A POLICY AND PRACTICE	1	0.121
TRANSPORTATION RESEARCH PART D TRANSPORT AND ENVIRONMENT	1	0.121
TRANSYLVANIAN INTERNATIONAL CONFERENCE IN PUBLIC ADMINISTRATION	1	0.121
TRANSYLVANIAN REVIEW	1	0.121
TRANSYLVANIAN REVIEW OF ADMINISTRATIVE SCIENCES	1	0.121
TRAVEL DEMAND AND LAND USE 2002	1	0.121
TREE PHYSIOLOGY	1	0.121
TRENDS IN BUILDING MATERIALS RESEARCH PTS 1 AND 2	1	0.121
UBICOMP 16 ADJUNCT PROCEEDINGS OF THE 2016 ACM INTERNATIONAL JOINT CONFERENCE ON PERVASIVE AND UBIQUITOUS COMPUTING	1	0.121
URBAN AFFAIRS REVIEW	1	0.121
URBAN PLANNING	1	0.121
URBAN POLICY AND RESEARCH	1	0.121
URBAN RESEARCH PRACTICE	1	0.121
URBAN TRANSITIONS CONFERENCE	1	0.121
URBAN TRANSPORT VII URBAN TRANSPORT AND THE ENVIRONMENT IN THE 21ST CENTURY	1	0.121
URBANISM ARCHITECTURE CONSTRUCTIONS	1	0.121
URBANO	1	0.121
URBE REVISTA BRASILEIRA DE GESTAO URBANA	1	0.121
VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA KULTUROLOGIYA I ISKUSSTVOVEDENIE TOMSK STATE UNIVERSITY JOURNAL OF CULTURAL STUDIES AND ART HISTORY	1	0.121
VETERINARY PARASITOLOGY	1	0.121
VIBRATION STRUCTURAL ENGINEERING AND MEASUREMENT II PTS 1 3	1	0.121
VISION 2020 INNOVATION DEVELOPMENT SUSTAINABILITY AND ECONOMIC GROWTH VOLS 1 3	1	0.121
VISUAL ANTHROPOLOGY	1	0.121
WATER RESEARCH	1	0.121
WATER RESOURCES MANAGEMENT	1	0.121
WATER SA	1	0.121
WOOD RESEARCH	1	0.121
WORLD CONFERENCE ON TRANSPORT RESEARCH WCTR 2016	1	0.121
WORLD HERITAGE AND DEGRADATION SMART DESIGN PLANNING AND TECHNOLOGIES	1	0.121
WORLD MULTIDISCIPLINARY CIVIL ENGINEERING ARCHITECTURE URBAN PLANNING SYMPOSIUM WMCAUS	1	0.121
WORLD OF MUSIC	1	0.121
WWAI 08 PROCEEDINGS OF THE 2ND INTERNATIONAL CONFERENCE ON WASTE MANAGEMENT WATER POLLUTION AIR POLLUTION INDOOR CLIMATE	1	0.121
(0 records (0.000%) do not contain data in the field being analyzed.)
