Funding Agencies	records	% of 829
NATIONAL SOCIAL SCIENCE FOUNDATION	1	0.121
NATIONAL STUDENTS INNOVATION AND ENTREPRENEURSHIP TRAINING PROGRAM OF CHINA	1	0.121
NATIONAL UNIVERSITY OF LA PLATA	1	0.121
NATURAL RESOURCES INSTITUTE FINLAND LUKE FINLAND	1	0.121
NATURAL SCIENCE FOUNDATION OF UNIVERSITY OF JINAN	1	0.121
NATURAL SCIENCE FUND OF SHAANXI PROVINCE	1	0.121
NATURAL SCIENCES AND ENGINEERING RESEARCH COUNCIL OF CANADA	1	0.121
NCCIH NIH HHS	1	0.121
NCRR NIH HHS	1	0.121
NEIGHBORHOOD PROGRESS INC	1	0.121
NENU	1	0.121
NETHERLANDS ORGANISATION FOR HEALTH RESEARCH AND DEVELOPMENT ZONMW	1	0.121
NETHERLANDS ORGANIZATION FOR SCIENTIFIC RESEARCH NWO	1	0.121
NEW PLYMOUTH DISTRICT COUNCIL	1	0.121
NEW URBANIZATION AND SOCIAL GOVERNANCE COLLABORATIVE INNOVATION CENTER JIANGSU PROVINCE	1	0.121
NEW ZEALAND MINISTRY OF BUSINESS INNOVATION AND EMPLOYMENT	1	0.121
NEW ZEALAND MINISTRY OF BUSINESS INNOVATION AND EMPLOYMENT RESILIENT URBAN FUTURES GRANT	1	0.121
NEWCASTLE NATIONAL INSTITUTE FOR HEALTH RESEARCH BIOMEDICAL RESEARCH CENTRE IN AGEING AND AGE RELATED DISEASES NEWCASTLE UPON TYNE HOSPITALS NATIONAL HEALTH SERVICE FOUNDATION TRUST	1	0.121
NHMRC CAREER DEVELOPMENT AWARD	1	0.121
NIAID NIH HHS	1	0.121
NIAMS NIH HHS	1	0.121
NIOSH	1	0.121
NORTE PORTUGAL REGIONAL OPERATIONAL PROGRAMME NORTE 2020 THROUGH THE EUROPEAN REGIONAL DEVELOPMENT FUND ERDF	1	0.121
NORTE PORTUGAL REGIONAL OPERATIONAL PROGRAMME NORTE 2020 UNDER THE PORTUGAL	1	0.121
NORTHEAST OHIO COORDINATING AGENCY	1	0.121
NORWAY EEA FINANCIAL MECHANISM	1	0.121
NSFC	1	0.121
NSFC GUANGDONG JOINT FUND	1	0.121
NUFFIELD FOUNDATION	1	0.121
NZTA	1	0.121
OFFICE OF COMMUNITY ORIENTED POLICING SERVICES U S DEPARTMENT OF JUSTICE	1	0.121
OFFICE OF RESEARCH INNOVATION AND DEVELOPMENT OF THE UNIVERSITY OF GHANA LEGON	1	0.121
OFFICE OF THE URBAN HEALTH INITIATIVE	1	0.121
OHIO AND ERIC CANAL ASSOCIATION	1	0.121
OHIO CITY BICYCLE COOP	1	0.121
OHIO DEPARTMENT OF TRANSPORTATION	1	0.121
OIS RESEARCH INFORMATION AND STATISTICS CITY OF AMSTERDAM	1	0.121
OPEN FUND OF BEIJING KEY LABORATORY OF URBAN SPATIAL INFORMATION ENGINEERING	1	0.121
OPEN FUND OF KEY LABORATORY OF URBAN LAND RESOURCES MONITORING AND SIMULATION MINISTRY OF LAND AND RESOURCES	1	0.121
OPEN RESEARCH FUND OF STATE KEY LABORATORY OF INFORMATION ENGINEERING IN SURVEYING MAPPING AND REMOTE SENSING	1	0.121
OPEN RESEARCH FUND PROGRAM OF BEIJING KEY LABORATORY OF URBAN SPATIAL INFORMATION ENGINEERING	1	0.121
OPENING PROJECTS OF BEIJING ADVANCED INNOVATION CENTRE FOR FUTURE URBAN DESIGN BEIJING UNIVERSITY OF CIVIL ENGINEERING AND ARCHITECTURE	1	0.121
PARKWORKS	1	0.121
PEPSICO	1	0.121
PH D PROGRAM OF BOTANY APPLIED TO AGRICULTURE AND ENVIRONMENT DISTAV UNIVERSITY OF GENOVA ITALY	1	0.121
PLANNING FOUNDATION FOR HUMANITIES AND SOCIAL SCIENCES RESEARCH OF MINISTRY OF EDUCATION OF THE PEOPLE S REPUBLIC OF CHINA	1	0.121
POLISH MINISTRY OF SCIENCE AND HIGHER EDUCATION	1	0.121
PORTUGUESE NATIONAL AGENCY FOR SCIENCE RESEARCH AND TECHNOLOGY	1	0.121
PRIORITY ACADEMIC PROGRAM DEVELOPMENT OF JIANGSU HIGHER EDUCATION INSTITUTIONS	1	0.121
PROGRAM FOR NEW CENTURY EXCELLENT TALENTS IN UNIVERSITY	1	0.121
PROGRAMME OF INTRODUCING TALENTS OF DISCIPLINE TO UNIVERSITIES	1	0.121
PROJECT DOCNET	1	0.121
PROJECT EVERYDAY MOBILITY AND PROXIMITY DYNAMICS AN ANALYSIS FORM THE TERRITORIAL SOCIAL AND ENVIRONMENTAL PERSPECTIVE SPANISH MINISTERIO DE ECONOMIA Y COMPETITIVIDAD	1	0.121
PROJECT INDICATORS OF TREE VITALITY CZECH REPUBLIC	1	0.121
PROJECT INDICATORS OF TREES VITALITY	1	0.121
PROJECT INDICATORS OF TREES VITALITY EUROPEAN SOCIAL FUND	1	0.121
PROJECT INDICATORS OF TREES VITALITY INVID	1	0.121
PROJECT INVID INDICATORS FOR TREE VITALITY	1	0.121
PROJECT NAME A SERIES OF RESEARCH RESULTS BASED ON THE INNOVATION OF E COMMERCE SERVICE MODEL IN URBAN COMMUNITY INFORMATIZATION	1	0.121
PROJECT OF HUMANITIES AND SOCIAL SCIENCE IN UNIVERSITIES IN SHANDONG	1	0.121
PROJECT OF NATURAL SCIENCE FOUNDATION OF FUJIAN PROVINCE	1	0.121
PROJECT OF THE MINISTRY OF EDUCATION AND SCIENCE OF THE RUSSIAN FEDERATION	1	0.121
PROJECT RESEARCH AND APPLICATION OF URBAN REAL ESTATE BIG DATA INTEGRATED PLATFORM	1	0.121
PUBLIC SCIENCE AND TECHNOLOGY RESEARCH FUNDS PROJECTS OF OCEAN	1	0.121
PUBLIC WELFARE INDUSTRY AGRICULTURAL SPECIAL SCIENTIFIC RESEARCH	1	0.121
RAINBOW TREECARE SCIENTIFIC ADVANCEMENTS	1	0.121
RAMON AND CAJAL PROGRAMME MINISTERIO DE EDUCACION Y CIENCIA SPAIN	1	0.121
RAND WATER	1	0.121
RCUK NEWCASTLE CENTRE FOR BRAIN AGEING AND VITALITY	1	0.121
RECERCAIXA 2016 RESEARCH FUND OBRA SOCIAL LA CAIXA	1	0.121
REGION OF LORRAINE	1	0.121
REGIONAL SCANIA RESEARCH FUNDS	1	0.121
REGIONE EMILIA ROMAGNA	1	0.121
REHABILITATION NURSING FOUNDATION	1	0.121
RESEARCH COUNCIL OF THE VRIJE UNIVERSITEIT BRUSSEL	1	0.121
RESEARCH FOUNDATION FLANDERS FWO	1	0.121
RESEARCH FUND FOR COAL AND STEEL RFCS	1	0.121
RESEARCH GRANTS COUNCIL UNIVERSITY GRANTS COMMITTEE	1	0.121
RFBR	1	0.121
ROBERT WOOD JOHNSON FOUNDATION	1	0.121
RUTH L KIRSCHSTEIN NATIONAL RESEARCH SERVICE AWARD	1	0.121
SAINT LUKE S FOUNDATION	1	0.121
SCIENCE AND TECHNICAL PLAN OF GUANGZHOU GUANGDONG CHINA	1	0.121
SCIENCE AND TECHNOLOGY COMMISSION OF SHANGHAI MUNICIPALITY	1	0.121
SCIENCE AND TECHNOLOGY PLAN PROJECTS OF MINISTRY OF HOUSING AND URBAN RURAL DEVELOPMENT OF THE PEOPLE S REPUBLIC OF CHINA	1	0.121
SCIENCE AND TECHNOLOGY PLANS OF MINISTRY OF HOUSING AND URBAN RURAL DEVELOPMENT OF THE PEOPLE S REPUBLIC OF CHINA	1	0.121
SCIENCE AND TECHNOLOGY PROJECT OF THE GUANGDONG PROVINCIAL DEPARTMENT OF TRANSPORTATION	1	0.121
SCIENCE AND TECHNOLOGY SERVICE PROGRAMS OF THE CHINESE ACADEMY OF SCIENCES	1	0.121
SCIENCE FOUNDATION FLANDERS	1	0.121
SCIENTIFIC RESEARCH PROGRAM OF SHAANXI PROVINCIAL DEPARTMENT OF EDUCATION CHINA	1	0.121
SCUT GRID HIGH PERFORMANCE COMPUTATION PLATFORM	1	0.121
SHAANXI KEY SUBJECT PROGRAM CHINA	1	0.121
SHAANXI PROVINCIAL SCIENTIFIC TECHNOLOGY RESEARCH AND DEVELOPMENT PROGRAM	1	0.121
SHANDONG PROVINCE MARINE ECOLOGY AND ENVIRONMENTAL SCIENCES	1	0.121
SHANDONG PROVINCIAL SOCIAL SCIENCE PLANNING PROJECT	1	0.121
SHANGHAI PUJIANG PROGRAM	1	0.121
SHOPPING CENTRE MYLLY CO	1	0.121
SINO GERMAN CENTER DFG	1	0.121
SINO GERMAN CENTER NSFC	1	0.121
SINO GERMAN SCIENTIFIC RESEARCH PROGRAM	1	0.121
SLOVAK SCIENTIFIC GRANT AGENCY VEGA	1	0.121
SLOVENIAN RESEARCH AGENCY	1	0.121
SOCIAL SCIENCE FOUNDATION OF CHINA	1	0.121
SOCIAL SCIENCE FOUNDATION OF HEILONGJIANG UNIVERSITY	1	0.121
SOCIAL SCIENCE FOUNDATION OF RESEARCH BASE PROJECT OF MINISTRY OF EDUCATION CHINA	1	0.121
SOCIAL SCIENCE FUND OF SHAANXI PROVINCE	1	0.121
SOCIAL SCIENCE PLANNING FUND PROGRAM OF SICHUAN PROVINCE RESEARCH ON RELATIONSHIP EMBEDDED MODE BETWEEN AGRICULTURAL E COMMERCE ENTERPRISES AND CUSTOMER UNDER THE TREND OF INDUSTRIAL CONVERGENCE	1	0.121
SOCIAL SCIENCES AND HUMANITIES RESEARCH COUNCIL OF CANADA SSHRC INSIGHT PROGRAM	1	0.121
SOCIETY OF WOMEN GEOGRAPHERS	1	0.121
SOFT SCIENCE RESEARCH PROGRAM OF INNOVATION CAPABILITY SUPPORT PLAN PROJECT IN SHAANXI PROVINCE	1	0.121
SOK	1	0.121
SOUTH SIDE HEALTH AND VITALITY STUDIES AT THE UNIVERSITY OF CHICAGO	1	0.121
SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT	1	0.121
SPECIAL FUNDS FOR STATE KEY R D PROGRAM DURING THE 13TH FIVE YEAR PLAN PERIOD OF CHINA	1	0.121
SPECIAL FUNDS OF TAISHAN SCHOLARS PROJECT OF SHANDONG PROVINCE	1	0.121
SPECIALIZED RESEARCH FUND FOR THE DOCTORAL PROGRAM OF HIGHER EDUCATION OF CHINA	1	0.121
SRP7 PROJECT	1	0.121
STATE BUDGET OF THE CZECH REPUBLIC PROJECT INDICATORS OF TREES VITALITY	1	0.121
STATE KEY LABORATORY OF URBAN WATER RESOURCE AND ENVIRONMENT	1	0.121
STIFTELSEN SKOGSSALLSKAPET	1	0.121
STRATEGIC PRIORITY RESEARCH PROGRAM OF CHINESE ACADEMY OF SCIENCES	1	0.121
STREET MOBILITY AND NETWORK ACCESSIBILITY RESEARCH PROJECT	1	0.121
STUDENT UNION OF THE UNIVERSITY OF HELSINKI	1	0.121
SUB PROGRAM GEOG	1	0.121
SUOMEN AKATEMIA	1	0.121
SUS DIV SUSTAINABLE DEVELOPMENT IN A DIVERSE WORLD	1	0.121
SUSAN G KOMEN FOR THE CURE R FOUNDATION	1	0.121
SWEDISH AGENCY FOR ECONOMIC AND REGIONAL GROWTH TILLVAXTVERKET	1	0.121
SWEDISH FARMERS FOUNDATION OF AGRICULTURAL RESEARCH SLF	1	0.121
SWEDISH FOREST INDUSTRIES	1	0.121
SWEDISH INNOVATION AGENCY VINNOVA	1	0.121
SWEDISH RESEARCH COUNCIL	1	0.121
SWEDISH RESEARCH COUNCIL FOR ENVIRONMENT AGRICULTURAL SCIENCES AND SPATIAL PLANNING	1	0.121
SWEDISH RESEARCH COUNCIL FORMAS MISTRA URBAN FUTURES	1	0.121
SWEDISH STRATEGIC RESEARCH AREA BIODIVERSITY AND ECOSYSTEM SERVICES IN A CHANGING CLIMATE BECC	1	0.121
SWEDISH TRANSPORT ADMINISTRATION	1	0.121
TABRIZ UNIVERSITY OF MEDICAL SCIENCE	1	0.121
TAMPA BAY ESTUARY PROGRAM	1	0.121
TAMPA BAY WATER	1	0.121
TEACRS PROGRAM AT TUFTS UNIVERSITY NIH NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES	1	0.121
TEKES	1	0.121
TEXAS AM UNIVERSITY	1	0.121
TEXAS FOREST SERVICE	1	0.121
TEXAS FOREST SERVICE RAINBOW TREECARE SCIENTIFIC ADVANCEMENT	1	0.121
THE EFFECT OF STRESS ON PHYSIOLOGY ANATOMY AND XYLEM XYLOGENESIS PINE FOREST PINESTRESS LD COST CZ	1	0.121
THE HUMANISTIC AND SOCIAL SCIENCE OF SICHUAN EDUCATION DEPARTMENT TOURISM STUDIES PROJECT RESEARCH ON SICHUAN TOURISM ENTERPRISES COMPETITIVENESS FROM THE PERSPECTIVE OF INDUSTRY INTEGRATION	1	0.121
THE NATURAL SCIENCE FOUNDATION OF THE INNER MONGOLIA AUTONOMOUS REGION	1	0.121
THE NETHERLANDS ORGANISATION FOR SCIENTIFIC RESEARCH NWO VENI	1	0.121
THIRD FEDERAL SAVINGS AND LOAN	1	0.121
TRANSPORTATION FOR LIVABLE COMMUNITIES INITIATIVE	1	0.121
TRE TOZZI TOZZI RENEWABLE ENERGY COMPANY	1	0.121
TUFTS INSTITUTE FOR THE ENVIRONMENT AT TUFTS UNIVERSITY	1	0.121
U S DEPARTMENT OF LABOR RAPID RESPONSE FUNDING	1	0.121
U S DEPARTMENT OF TRANSPORTATION S NEW ENGLAND UNIVERSITY TRANSPORTATION CENTER	1	0.121
U S DHHS CENTERS FOR MEDICARE AND MEDICAID SERVICES	1	0.121
U S FULBRIGHT PROGRAM	1	0.121
U S NATIONAL SCIENCE FOUNDATION	1	0.121
U S PUBLIC HEALTH SERVICE	1	0.121
UNITED ARAB UNIVERSITY	1	0.121
UNIVERSIDADE FEEVALE	1	0.121
UNIVERSITY MALAYA	1	0.121
UNIVERSITY OF CALIFORNIA CENTER ON ECONOMIC COMPETITIVENESS IN TRANSPORTATION	1	0.121
UNIVERSITY OF CAPE TOWN	1	0.121
UNIVERSITY OF CASTILLA LA MANCHA UNDER CYTEMA PUENTE	1	0.121
UNIVERSITY OF CHICAGO MEDICINE URBAN HEALTH INITIATIVE	1	0.121
UNIVERSITY OF CHICAGO S RICHARD AND MARY L GRAY CENTER FOR ARTS AND INQUIRY	1	0.121
UNIVERSITY OF IOWA INTERNAL FUNDING INITIATIVE	1	0.121
UNIVERSITY OF PIRAEUS RESEARCH CENTER	1	0.121
UNIVERSITY OF SHEFFIELD	1	0.121
UNIVERSITY OF THE WEST OF ENGLAND	1	0.121
UNIVERSITY RESEARCH COUNCIL AT THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL	1	0.121
URAL BRANCH RUSSIAN ACADEMY OF SCIENCES	1	0.121
URBAN COMMUNITY OF NANCY	1	0.121
URBAN DESIGN LABORATORY DEPARTMENT OF URBAN ENGINEERING THE UNIVERSITY OF TOKYO	1	0.121
URBAN HEALTH INITIATIVE AT THE UNIVERSITY OF CHICAGO MEDICINE	1	0.121
URBAN LANDSCAPE VISUAL SPACES NETWORK PERCEPTION AND REACTION ASSESSMENT	1	0.121
URBAN VITALITY RESEARCH PROGRAM OF THE AMSTERDAM UNIVERSITY OF APPLIED SCIENCES THE NETHERLANDS	1	0.121
US DEPARTMENT OF EDUCATION GRADUATE ASSISTANCE IN AREAS OF NATIONAL NEED GAANN	1	0.121
US ENVIRONMENTAL PROTECTION AGENCY	1	0.121
USDA	1	0.121
USDA FOREST SERVICE	1	0.121
VIRGINIA CZM	1	0.121
WALTER G ZOLLER MEMORIAL FUND AT THE UNIVERSITY OF CHICAGO	1	0.121
XI AN RESEARCH AND DEVELOPMENT PROGRAM	1	0.121
ZHEJIANG SCIENCE AND TECHNOLOGY DEPARTMENT PROJECT	1	0.121
(566 records (68.275%) do not contain data in the field being analyzed.)
