a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02009,Property,Architecture,Botany,Botanical garden,Building,,,,,,Stadsparken 9,"‘, henrik baard", Jun 2017
Lund_00937,Landmark,Estate,Building,Sky,,,,,,,Stadsparken ¢,f} Filipe Naif, Jun 2018
Lund_00591,Building,Landmark,Palace,Estate,Classical architecture,Architecture,Mansion,Official residence,Stately home,Presidential palace,Lundagérd,@ Sebastian Sese K, Jun 2018
Lund_00387,Estate,Building,Palace,Mansion,Stately home,Château,Official residence,,,,Lundagérd,Z ) Zuzana Gonova, Jun 2017
Lund_00605,Building,Landmark,Architecture,Property,Palace,,,,,,Lundagérd,R N Y VBT e, Jun 2011
Lund_02443,Natural landscape,Body of water,Natural environment,Marsh,Nature,Freshwater marsh,Sky,Nature reserve,Wetland,Fen,Nobbel6vs mosse,i\ 1T T, Jun 2014
Lund_01774,Classical architecture,Landmark,Architecture,Building,Monument,Facade,,,,,Lundagérd,‘; Ago Pértelpoeg, Jun 2018
Lund_01397,Landmark,Building,Architecture,Sky,Water,,,,,,Lundagérd,Joel Thggersen, Jun 2010
Lund_01812,Architecture,Building,Landmark,Sky,Town,Facade,City,,,,Lund Cathedral,Josef Magnusso, Jun 2017
Lund_03070,Boardwalk,Sky,,,,,,,,,iﬂ— Marie Cammarot,iﬂ— Marie Cammarot, Jun 2017
Lund_00230,Building,Estate,Palace,Mansion,Official residence,Classical architecture,Landmark,Architecture,Stately home,Presidential palace,Lundagérd c,@ Erik Olausson, Jun 2017
Lund_02764,Sky,,,,,,,,,,Klostergérdens IP,il VPN YT 1o o)), Jun 2018
Lund_02306,Land lot,Grassland,Pasture,Natural environment,Field,Natural landscape,Grass,Plain,Meadow,Prairie,Stadsodlingen pa Br,"{, ) Sanja Blomberg", Jun 2017
Lund_01624,Natural landscape,Garden,Vegetation,Plant,Botanical garden,Shrub,Tree,Flower,Grass,Botany,Botanical Garden,Nikhil Verma, Jun 2016
Lund_02233,Building,Estate,Property,Manor house,Mansion,Stately home,Château,,,,Lundagérd,Manuel Barbosa, Jun 2017
Lund_01009,Building,Landmark,Town,Property,Architecture,Neighbourhood,Stately home,,,,Lundagérd 9,A Anon Ymous, Jun 2017
Lund_02345,,,,,,,,,,,Pysslingen Forskola,‘;G\ DIIEY T, Jun 2017
Lund_00604,Building,Landmark,Architecture,Property,Palace,,,,,,Lundagérd,R N Y VBT e, Jun 2011
Lund_02715,Lawn,Grass,Grassland,,,,,,,,Klostergérdens IP,il VPN YT 1o 3o ), Jun 2017
Lund_00528,Estate,Building,Property,Mansion,Palace,House,Château,Stately home,Architecture,,Lundagérd |,@ Mr.Roman Lak, Jun 2016
Lund_00705,Building,Estate,Mansion,Property,Palace,Stately home,Manor house,Official residence,Château,Architecture,Lundagérd 9,@ DLCI@L T, Jun 2017
Lund_01238,Landmark,Building,Architecture,Historic site,,,,,,,Lund Cathedral ¢,@. Ronald T., Jun 2018
Lund_01404,Classical architecture,Landmark,Architecture,Building,,,,,,,Lundagérd,»@ Aktham Yousef, Jun 2018
Lund_01007,Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,Cathedral,,,,\/ | Vincenzo De Bert,\/ | Vincenzo De Bert, Jun 2017
Lund_02344,Grass,Sky,Sport venue,,,,,,,,Klostergérdens IP,il VPN YWV 1o o)1), Jun 2017
Lund_02552,Natural landscape,Grassland,Natural environment,Meadow,Prairie,Field,Nature,Vegetation,Land lot,Sky,Nobbel6vs mosse,L 1T T, Jun 2017
Lund_01292,Building,Medieval architecture,Architecture,Landmark,Church,,,,,,\/ | Vincenzo De Bert,\/ | Vincenzo De Bert, Jun 2017
Lund_02461,Architecture,Building,Headquarters,,,,,,,,MAX IV Laboratory,6 IR DL, Jun 2016
Lund_01884,Building,Landmark,Architecture,Town,Stately home,,,,,,University Library,R G074, Jun 2018
Lund_00396,Estate,Building,Mansion,Landmark,Palace,Property,Architecture,Official residence,Stately home,,Lundagérd,Q Nataliya Ruustalt, Jun 2012
Lund_01635,Natural landscape,Nature,Sport venue,Nature reserve,Natural environment,Pond,Tree,Grass,Bank,Land lot,Sankt Jorgen Park,Sankt Jorgen Park, Jun 2017
Lund_02154,Body of water,Water resources,Nature,Natural landscape,Water,Bank,Natural environment,Reservoir,River,Atmospheric phenomenon,A nice Little pond ¢,P =], Jun 2017
Lund_01735,Property,Tree,Architecture,Estate,Sky,Building,House,,,,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017
Lund_02115,Landmark,Architecture,Building,Church,Sky,Steeple,Place of worship,,,,Lund Cathedral,§ SANDHEEP KUM, Jun 2015
Lund_00512,Property,Building,Sky,Estate,Landmark,Architecture,Cloud,Mansion,Palace,House,Lundagérd,@ TR, Jun 2018
Lund_01333,Classical architecture,Building,Landmark,Architecture,Facade,Palace,,,,,Lundagérd,(E SRS IR E RNt, Jun 2013
Lund_01327,Medieval architecture,Building,Landmark,Architecture,,,,,,,\/ | Vincenzo De Bert,\/ | Vincenzo De Bert, Jun 2017
Lund_00448,Building,Property,Classical architecture,Architecture,Landmark,Mansion,,,,,Lundagérd,»@ Aktham Yousef, Jun 2018
Lund_02395,Sport venue,First-class cricket,Team sport,Soccer,Player,Grass,Sports,Team,Ball game,Soccer-specific stadium,Klostergérdens IP,42‘ Mats Lundstrom, Jun 2017
Lund_02141,Town,,,,,,,,,,Postombud pa Willys,TV EER), Jun 2017
Lund_02215,Transport,Architecture,Scaffolding,,,,,,,,Kollektgatan,Matthew H. Motz, Jun 2018
Lund_01102,Landmark,Building,Architecture,Sky,City,Daytime,Town,Human settlement,Urban area,,The More Hotel Lunc,C) Carlo Pezzoli, Jun 2018
Lund_00051,Property,House,Building,Home,Architecture,Cottage,Town,Facade,,,@ Carlos Guerrero,@ Carlos Guerrero, Jun 2018
Lund_01608,Pond,Water,Reflection,Garden,Reflecting pool,Botany,Botanical garden,Fish pond,,,Botanical Garden,C) Christina Valfrids, Jun 2018
Lund_01957,Tree,Natural landscape,Nature,Green,Grass,Nature reserve,Natural environment,Leaf,Park,Lawn,Botanical Garden,Martin Andersso, Jun 2017
Lund_02365,Crowd,Community,,,,,,,,,Klostergérdens IP,il VPN YWV 1o 3 o)), Jun 2018
Lund_01506,Building,Classical architecture,Palace,Architecture,Landmark,Estate,Mansion,Château,Official residence,Stately home,University Square,Peter-Michael Wi, Jun 2007
Lund_02393,Grass,Sport venue,Team sport,,,,,,,,Klostergérdens IP,il VPN EY T Lo K3 (o)), Jun 2017
Lund_01976,Flower,Pond,Aquatic plant,Natural landscape,Plant,Watercourse,Water resources,Botany,Water,,Botanical Garden,Lyudmila Yonkov, Jun 2018
Lund_02380,Vegetation,Natural environment,Land lot,Biome,Rural area,,,,,,Rinnebick Gorge 2,2 IR, Jun 2015
Lund_00268,Building,Property,Architecture,Landmark,Classical architecture,House,Mansion,,,,Lundagérd,»@ Aktham Yousef, Jun 2018
Lund_02415,Garden,Green,Tree,Lawn,Fountain,Grass,Botanical garden,Park,Botany,Water,Stadsparken,"@ e,", Jun 2017
Lund_01654,Sky,Property,House,Architecture,Tree,Building,Cloud,Home,,,Lundagérd,Marco Piccinini, Jun 2018
Lund_00531,Medieval architecture,Landmark,Architecture,Classical architecture,Building,Place of worship,Historic site,Church,Parish,Cathedral,Lund Cathedral ¢,@. Ronald T., Jun 2018
Lund_02614,Sport venue,Public space,Playground,,,,,,,,Linero IP,.@ Martin Andersso, Jun 2016
Lund_02156,Garden,Botanical garden,Park,Botany,Shrub,,,,,,Stadsparken ¢,Stadsparken ¢, Jun 2018
Lund_02848,Estate,Building,Mansion,Palace,Château,Official residence,Stately home,House,Architecture,,Kulturen,Peter Vang Chris, Jun 2017
Lund_03140,Playground,Public space,Outdoor play equipment,Human settlement,,,,,,,Linero IP,.@ Martin Andersso, Jun 2016
Lund_00264,Building,Landmark,Architecture,Château,Palace,Tree,Sky,Estate,Stately home,,University Library |,(Q‘Q LIS, Jun 2018
Lund_02449,Body of water,Water resources,Natural landscape,Nature,Riparian zone,River,Water,Watercourse,Bank,Natural environment,(I L L T,@ Thyge Andersen, Jun 2017
Lund_01810,Classical architecture,Architecture,Landmark,Building,Facade,Palace,,,,,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017
Lund_02100,Garden,Hedge,Shrub,Maze,Grass,,,,,,Kulturen,Chris Maljanovsk, Jun 2016
Lund_01637,Property,Cottage,House,Building,Roof,Home,,,,,Hylla smedja,ﬁ BN PN R, Jun 2017
Lund_00506,Property,Architecture,House,Sky,Building,Urban area,Tree,Home,Town,Estate,[T T VT VT 01 A,"@, (][R 1T", Jun 2018
Lund_02637,Grass,,,,,,,,,,Klostergérdens IP,Q‘ Mats Lundstrom, Jun 2017
Lund_00695,Landmark,Architecture,Building,Property,Estate,Mansion,Classical architecture,Stately home,House,Château,Lundagérd,& Nikola Mladenov, Jun 2011
Lund_02719,Community,,,,,,,,,,Klostergérdens IP,il VPN YT 1o (o)), Jun 2018
Lund_01134,Landmark,Building,Property,Wall,Architecture,House,,,,,Lundagérd,R N Y VY e, Jun 2011
Lund_00988,Building,Landmark,Architecture,Medieval architecture,Town,Facade,,,,,[T L He 1 BT,R Monika Jiraseko, Jun 2018
Lund_01382,Natural landscape,Body of water,Nature,Natural environment,Water resources,Nature reserve,Vegetation,Lake,Water,Bank,L TR TR,Koos van der Vo:, Jun 2018
Lund_02536,Inflatable,bounce house,Green,Games,Fun,,,,,,Klostergérdens IP,42‘ Mats Lundstrom, Jun 2017
Lund_02030,Building,Architecture,Landmark,Sky,City,,,,,,Lund Cathedral :,H  Horst Hesener, Jun 2018
Lund_01765,Landmark,Building,Medieval architecture,,,,,,,,Lund Cathedral,Hans Wilhelm He, Jun 2016
Lund_01691,Body of water,Water resources,Bank,Nature,Pond,Water,River,Natural environment,Natural landscape,Reservoir,Stadsparken,A  Alejandro Carrillc, Jun 2016
Lund_02174,Property,Building,Town,Estate,Architecture,House,Neighbourhood,Real estate,Human settlement,Home,Kulturen,@ Erik Olausson, Jun 2017
Lund_00495,Building,Estate,Landmark,Mansion,Palace,Stately home,Property,Official residence,Architecture,Classical architecture,[T T VT,C Carina Hagerblac, Jun 2018
Lund_00881,Water,Landmark,Reflecting pool,Reflection,Architecture,Building,,,,,Lundagérd c,%C BECL T, Jun 2017
Lund_02428,Property,Home,House,Residential area,Building,Real estate,Neighbourhood,Roof,,,Pysslingen Forskola,‘;G\ DIIEY T, Jun 2017
Lund_01970,Classical architecture,Building,Architecture,Landmark,Facade,Palace,,,,,Lundagérd 9,=170 ], Jun 2018
Lund_02366,Land lot,Grass,Grassland,,,,,,,,Lunds Pistolklubb :,@ Jonas Ezzi, Jun 2016
Lund_01500,Property,Sky,Landmark,House,Building,Architecture,Town,Estate,,,,, Jun 2017
Lund_00434,Building,Landmark,Estate,Palace,Property,Architecture,Stately home,Mansion,Official residence,,Lund Cathedral,G Goran Wangenhe, Jun 2017
Lund_01610,Town,Building,Architecture,Human settlement,City,Neighbourhood,Sky,Street,,,Lundagérd 9,A Anon Ymous, Jun 2017
Lund_01982,Tree,Green,Garden,Vegetation,Shrub,Plant,Natural landscape,Grass,Woody plant,Botany,Stadsparken,Alexander Engstr, Jun 2017
Lund_02662,Sky,,,,,,,,,,Klostergérdens IP,il VPN CY T 1o (o)), Jun 2017
Lund_02486,Pasture,Grassland,Bovine,Natural landscape,Natural environment,Grazing,Rural area,Meadow,Field,Grass,Rinnebick Gorge,é) [T P T S, Jun 2017
Lund_01729,Landmark,Sky,Architecture,Building,,,,,,,[T T o1 T T T,SIS TS, Jun 2018
Lund_00953,Landmark,Mansion,Estate,Building,Architecture,Palace,Water,,,,Lundagérd,@ Thomas Kamph, Jun 2014
Lund_02772,Tree,Flag,,,,,,,,,,, Jun 2017
Lund_00993,Water,Reflection,Waterway,Vegetation,Natural landscape,River,Architecture,House,Town,Watercourse,Kulturen,g) Peter Vang Chris, Jun 2017
Lund_00999,Body of water,Water,Nature,Pond,Natural landscape,Water resources,Reflection,Vegetation,River,Waterway,Botanical Garden,w@ Luuk Mulder, Jun 2017
Lund_00395,Building,Property,Landmark,Architecture,Estate,Mansion,Palace,,,,Lundagérd,M Marcel Mannens, Jun 2018
Lund_00899,Building,Medieval architecture,Property,Architecture,Church,Chapel,Brick,,,,Klosterkyrkan ¢,& saad al saifi, Jun 2016
Lund_00742,Building,Architecture,Landmark,Property,Classical architecture,Estate,Palace,,,,Lundagérd,Z ) Zuzana Gonova, Jun 2017
Lund_01470,Architecture,Building,Landmark,Medieval architecture,Arch,Facade,Wall,Cathedral,Place of worship,,[T T o1 T 1T,Artur Muc, Jun 2010
Lund_01379,Property,Building,Public space,,,,,,,,Lundagérd,& Nikola Mladenov, Jun 2011
Lund_01967,Natural landscape,Nature,Water,Water resources,Pond,Bank,Nature reserve,Grass,Tree,Botany,Sankt Jorgen Park,W11 V], Jun 2017
Lund_02891,Building,Landmark,Estate,Architecture,Mansion,Stately home,Official residence,,,,2015-06-18_12_25_(,i\ 1T T, Jun 2015
Lund_00751,Building,Classical architecture,Château,Landmark,Palace,Mansion,Architecture,Estate,Manor house,,Lundagérd {,Lundagérd {, Jun 2017
Lund_00491,Estate,Mansion,Building,Palace,Stately home,Château,Official residence,,,,Lundagérd 9,J ) Jens Jensen, Jun 2014
Lund_02055,Landmark,Medieval architecture,Building,Architecture,Historic site,,,,,,L (LT T G,Anna Gester, Jun 2018
Lund_00826,Medieval architecture,Property,Castle,Building,Architecture,Château,,,,,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017
Lund_00246,Landmark,Building,Estate,Palace,Official residence,Mansion,Stately home,Presidential palace,Classical architecture,,Lundagérd 8,g NI LYo, Jun 2014
Lund_03089,Fountain,Water,Water feature,Leisure,Water resources,Park,,,,,Plaskedamm pa Klos,B Bengt Rosberg, Jun 2016
Lund_00445,Landmark,Architecture,Building,Medieval architecture,Classical architecture,Sky,Place of worship,Church,Facade,Historic site,Lund Cathedral,% Zina Mazurkevyc, Jun 2018
Lund_00533,Palace,Landmark,Building,Mansion,Estate,Architecture,Official residence,Stately home,,,Lundagérd,@ Barbara O'Neal, Jun 2017
Lund_01257,Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,,,,,Lund Cathedral,Stefan Tscherfing, Jun 2017
Lund_00957,Landmark,Classical architecture,Building,Architecture,Palace,Mansion,,,,,Lundagérd ¢,Lundagérd ¢, Jun 2017
Lund_02407,Building,Town,Medieval architecture,Architecture,Neighbourhood,,,,,,Katedralskolan,% Zina Mazurkevyc, Jun 2018
Lund_01948,Town,Building,Château,Architecture,Sky,Medieval architecture,Roof,Steeple,,,Bantorget,=B oV [T, Jun 2017
Lund_01183,Landmark,Building,Architecture,Town,Sky,,,,,,Lunds universitet Int,@ Jun Luo, Jun 2017
Lund_01149,Mansion,Estate,Palace,Building,,,,,,,Lundagérd,@ Thomas Kamph, Jun 2014
Lund_00694,Landmark,Architecture,Building,Property,Estate,Mansion,Classical architecture,Stately home,House,Château,Lundagérd,& Nikola Mladenov, Jun 2011
Lund_01646,Classical architecture,Landmark,Architecture,Building,Sky,Facade,,,,,Lundagérd 8,f} Filipe Naif, Jun 2018
Lund_02368,Water,Vegetation,Natural landscape,Natural environment,Nature reserve,Lake,Sky,Wilderness,Water resources,River,&) Mats Syde,&) Mats Syde, Jun 2017
Lund_02130,Nature,Green,Water,Grass,Natural landscape,Lawn,Tree,Property,Pond,,Sankt Jorgen Park,Sankt Jorgen Park, Jun 2017
Lund_00792,Estate,Mansion,Building,Official residence,Palace,Property,Stately home,Manor house,Classical architecture,,Lundagérd,swarnendu chatt, Jun 2016
Lund_01076,Building,Palace,Estate,Official residence,Architecture,,,,,,Lundagérd,Stefanos Karidak, Jun 2017
Lund_02217,Water resources,Waterway,Water,River,Canal,Bank,,,,,Killbybadet g,Gl Daniel Kretz, Jun 2017
Lund_03122,Road,Sky,Cloud,Highway,Asphalt,Lane,Daytime,Freeway,Infrastructure,Transport,Rinnebick Gorge 2,timor talash, Jun 2016
Lund_01293,Landmark,Building,Architecture,Town,Church,Sky,Steeple,City,Clock tower,,Lundagérd,P Peter Wolf, Jun 2018
Lund_01762,Fountain,Water,Water resources,Water feature,Garden,,,,,,Stadsparken,Gabriel Wennstig, Jun 2016
Lund_01931,Building,Architecture,Facade,Vehicle,,,,,,,[T T o1 T 1T,Artur Muc, Jun 2010
Lund_01074,Building,Palace,Estate,Sky,Mansion,Cloud,,,,,Lundagérd,& Nicolas Brochu, Jun 2018
Lund_00704,Landmark,Classical architecture,Architecture,Building,Property,Estate,Sky,Mansion,Palace,,@ Jun Luo,@ Jun Luo, Jun 2017
Lund_02688,Building,Property,,,,,,,,,e Bjorn Davidsson,e Bjorn Davidsson, Jun 2017
Lund_03134,Vegetation,Green,Grass,Land lot,Nature reserve,Natural landscape,Natural environment,Pasture,Plant community,Leaf,Tréffpunkt Linero,‘;G\ DIIEY T, Jun 2017
Lund_01341,Property,Estate,Building,Mansion,Palace,Château,Stately home,,,,Lundagérd ¢,prithvi shenoy, Jun 2018
Lund_02147,Botany,,,,,,,,,,Lundagérd ¢,Lundagérd ¢, Jun 2018
Lund_02274,Natural landscape,Water,Natural environment,Grass,Nature reserve,Vegetation,Bank,Pond,Water resources,Grassland,L TR TR,Michael Shmuley, Jun 2018
Lund_02533,Tent,Canopy,,,,,,,,,Klostergérdens IP,Q‘ Mats Lundstrom, Jun 2017
Lund_03057,Road,Sky,Field,Dirt road,Green,Grass,Lane,Grassland,Natural environment,Tree,[ TR DR,%‘ mari pelinder, Jun 2017
Lund_01527,Landmark,Architecture,Building,Medieval architecture,Church,Facade,,,,,Lund Cathedral,{‘j Pascal BASROGE, Jun 2018
Lund_01215,Estate,Building,Palace,Mansion,Stately home,Château,Property,Official residence,Manor house,Classical architecture,Kungshuset,Jessica Persson, Jun 2018
Lund_01259,Building,Landmark,Property,Architecture,Mansion,,,,,,Lundagérd,Peter Wolf, Jun 2018
Lund_00381,Building,Landmark,Architecture,Classical architecture,Property,Palace,Estate,Mansion,House,,Lundagérd,R N Y VBT e, Jun 2011
Lund_02246,Natural landscape,Nature,Vegetation,Bank,River,Water,Rock,Watercourse,Nature reserve,Grass,Rinnebick Gorge 2,Kajsa Anka, Jun 2018
Lund_02091,Building,Town,Public space,Human settlement,City,Architecture,,,,,,, Jun 2017
Lund_03136,Building,Architecture,,,,,,,,,Rinnebéck Gorge,Miroslav Bobrik, Jun 2017
