Funding Agencies	records	% of 478
OPENING PROJECTS OF BEIJING ADVANCED INNOVATION CENTRE FOR FUTURE URBAN DESIGN BEIJING UNIVERSITY OF CIVIL ENGINEERING AND ARCHITECTURE	1	0.209
PARKWORKS	1	0.209
PEPSICO	1	0.209
PH D PROGRAM OF BOTANY APPLIED TO AGRICULTURE AND ENVIRONMENT DISTAV UNIVERSITY OF GENOVA ITALY	1	0.209
PLANNING FOUNDATION FOR HUMANITIES AND SOCIAL SCIENCES RESEARCH OF MINISTRY OF EDUCATION OF THE PEOPLE S REPUBLIC OF CHINA	1	0.209
POLISH MINISTRY OF SCIENCE AND HIGHER EDUCATION	1	0.209
PRIORITY ACADEMIC PROGRAM DEVELOPMENT OF JIANGSU HIGHER EDUCATION INSTITUTIONS	1	0.209
PROGRAM FOR NEW CENTURY EXCELLENT TALENTS IN UNIVERSITY	1	0.209
PROGRAMME OF INTRODUCING TALENTS OF DISCIPLINE TO UNIVERSITIES	1	0.209
PROJECT DOCNET	1	0.209
PROJECT EVERYDAY MOBILITY AND PROXIMITY DYNAMICS AN ANALYSIS FORM THE TERRITORIAL SOCIAL AND ENVIRONMENTAL PERSPECTIVE SPANISH MINISTERIO DE ECONOMIA Y COMPETITIVIDAD	1	0.209
PROJECT INDICATORS OF TREES VITALITY	1	0.209
PROJECT INDICATORS OF TREES VITALITY EUROPEAN SOCIAL FUND	1	0.209
PROJECT INDICATORS OF TREES VITALITY INVID	1	0.209
PROJECT INVID INDICATORS FOR TREE VITALITY	1	0.209
PROJECT OF NATURAL SCIENCE FOUNDATION OF FUJIAN PROVINCE	1	0.209
PROJECT OF THE MINISTRY OF EDUCATION AND SCIENCE OF THE RUSSIAN FEDERATION	1	0.209
PUBLIC SCIENCE AND TECHNOLOGY RESEARCH FUNDS PROJECTS OF OCEAN	1	0.209
PUBLIC WELFARE INDUSTRY AGRICULTURAL SPECIAL SCIENTIFIC RESEARCH	1	0.209
RAINBOW TREECARE SCIENTIFIC ADVANCEMENTS	1	0.209
RAMON AND CAJAL PROGRAMME MINISTERIO DE EDUCACION Y CIENCIA SPAIN	1	0.209
RAND WATER	1	0.209
RCUK NEWCASTLE CENTRE FOR BRAIN AGEING AND VITALITY	1	0.209
RECERCAIXA 2016 RESEARCH FUND OBRA SOCIAL LA CAIXA	1	0.209
REGION OF LORRAINE	1	0.209
REGIONAL SCANIA RESEARCH FUNDS	1	0.209
REGIONE EMILIA ROMAGNA	1	0.209
REHABILITATION NURSING FOUNDATION	1	0.209
RESEARCH COUNCIL OF THE VRIJE UNIVERSITEIT BRUSSEL	1	0.209
RESEARCH FOUNDATION FLANDERS FWO	1	0.209
RESEARCH FUND FOR COAL AND STEEL RFCS	1	0.209
RESEARCH GRANTS COUNCIL UNIVERSITY GRANTS COMMITTEE	1	0.209
ROBERT WOOD JOHNSON FOUNDATION	1	0.209
RUTH L KIRSCHSTEIN NATIONAL RESEARCH SERVICE AWARD	1	0.209
SAINT LUKE S FOUNDATION	1	0.209
SCIENCE AND TECHNICAL PLAN OF GUANGZHOU GUANGDONG CHINA	1	0.209
SCIENCE AND TECHNOLOGY PLANS OF MINISTRY OF HOUSING AND URBAN RURAL DEVELOPMENT OF THE PEOPLE S REPUBLIC OF CHINA	1	0.209
SCIENCE AND TECHNOLOGY PROJECT OF THE GUANGDONG PROVINCIAL DEPARTMENT OF TRANSPORTATION	1	0.209
SCIENCE AND TECHNOLOGY SERVICE PROGRAMS OF THE CHINESE ACADEMY OF SCIENCES	1	0.209
SCIENCE FOUNDATION FLANDERS	1	0.209
SCIENTIFIC RESEARCH PROGRAM OF SHAANXI PROVINCIAL DEPARTMENT OF EDUCATION CHINA	1	0.209
SCUT GRID HIGH PERFORMANCE COMPUTATION PLATFORM	1	0.209
SHAANXI KEY SUBJECT PROGRAM CHINA	1	0.209
SHAANXI PROVINCIAL SCIENTIFIC TECHNOLOGY RESEARCH AND DEVELOPMENT PROGRAM	1	0.209
SHANDONG PROVINCE MARINE ECOLOGY AND ENVIRONMENTAL SCIENCES	1	0.209
SHANDONG PROVINCIAL SOCIAL SCIENCE PLANNING PROJECT	1	0.209
SHANGHAI PUJIANG PROGRAM	1	0.209
SHOPPING CENTRE MYLLY CO	1	0.209
SINO GERMAN CENTER DFG	1	0.209
SINO GERMAN CENTER NSFC	1	0.209
SLOVAK SCIENTIFIC GRANT AGENCY VEGA	1	0.209
SLOVENIAN RESEARCH AGENCY	1	0.209
SOCIAL SCIENCE FOUNDATION OF CHINA	1	0.209
SOCIAL SCIENCE FUND OF SHAANXI PROVINCE	1	0.209
SOCIETY OF WOMEN GEOGRAPHERS	1	0.209
SOFT SCIENCE RESEARCH PROGRAM OF INNOVATION CAPABILITY SUPPORT PLAN PROJECT IN SHAANXI PROVINCE	1	0.209
SOK	1	0.209
SOUTH SIDE HEALTH AND VITALITY STUDIES AT THE UNIVERSITY OF CHICAGO	1	0.209
SOUTHWEST FLORIDA WATER MANAGEMENT DISTRICT	1	0.209
SPECIAL FUNDS OF TAISHAN SCHOLARS PROJECT OF SHANDONG PROVINCE	1	0.209
SPECIALIZED RESEARCH FUND FOR THE DOCTORAL PROGRAM OF HIGHER EDUCATION OF CHINA	1	0.209
SRP7 PROJECT	1	0.209
STATE BUDGET OF THE CZECH REPUBLIC PROJECT INDICATORS OF TREES VITALITY	1	0.209
STATE KEY LABORATORY OF URBAN WATER RESOURCE AND ENVIRONMENT	1	0.209
STIFTELSEN SKOGSSALLSKAPET	1	0.209
STRATEGIC PRIORITY RESEARCH PROGRAM OF CHINESE ACADEMY OF SCIENCES	1	0.209
STREET MOBILITY AND NETWORK ACCESSIBILITY RESEARCH PROJECT	1	0.209
STUDENT UNION OF THE UNIVERSITY OF HELSINKI	1	0.209
SUB PROGRAM GEOG	1	0.209
SUOMEN AKATEMIA	1	0.209
SUSAN G KOMEN FOR THE CURE R FOUNDATION	1	0.209
SWEDISH AGENCY FOR ECONOMIC AND REGIONAL GROWTH TILLVAXTVERKET	1	0.209
SWEDISH FARMERS FOUNDATION OF AGRICULTURAL RESEARCH SLF	1	0.209
SWEDISH FOREST INDUSTRIES	1	0.209
SWEDISH INNOVATION AGENCY VINNOVA	1	0.209
SWEDISH RESEARCH COUNCIL	1	0.209
SWEDISH RESEARCH COUNCIL FOR ENVIRONMENT AGRICULTURAL SCIENCES AND SPATIAL PLANNING	1	0.209
SWEDISH RESEARCH COUNCIL FORMAS MISTRA URBAN FUTURES	1	0.209
SWEDISH STRATEGIC RESEARCH AREA BIODIVERSITY AND ECOSYSTEM SERVICES IN A CHANGING CLIMATE BECC	1	0.209
SWEDISH TRANSPORT ADMINISTRATION	1	0.209
TAMPA BAY ESTUARY PROGRAM	1	0.209
TAMPA BAY WATER	1	0.209
TEACRS PROGRAM AT TUFTS UNIVERSITY NIH NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES	1	0.209
TEKES	1	0.209
TEXAS AM UNIVERSITY	1	0.209
TEXAS FOREST SERVICE	1	0.209
TEXAS FOREST SERVICE RAINBOW TREECARE SCIENTIFIC ADVANCEMENT	1	0.209
THE EFFECT OF STRESS ON PHYSIOLOGY ANATOMY AND XYLEM XYLOGENESIS PINE FOREST PINESTRESS LD COST CZ	1	0.209
THE NETHERLANDS ORGANISATION FOR SCIENTIFIC RESEARCH NWO VENI	1	0.209
THIRD FEDERAL SAVINGS AND LOAN	1	0.209
TRANSPORTATION FOR LIVABLE COMMUNITIES INITIATIVE	1	0.209
TRE TOZZI TOZZI RENEWABLE ENERGY COMPANY	1	0.209
TUFTS INSTITUTE FOR THE ENVIRONMENT AT TUFTS UNIVERSITY	1	0.209
U S DEPARTMENT OF LABOR RAPID RESPONSE FUNDING	1	0.209
U S DEPARTMENT OF TRANSPORTATION S NEW ENGLAND UNIVERSITY TRANSPORTATION CENTER	1	0.209
U S DHHS CENTERS FOR MEDICARE AND MEDICAID SERVICES	1	0.209
U S FULBRIGHT PROGRAM	1	0.209
U S NATIONAL SCIENCE FOUNDATION	1	0.209
U S PUBLIC HEALTH SERVICE	1	0.209
UK ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL EPSRC	1	0.209
UNIVERSIDADE FEEVALE	1	0.209
UNIVERSITY MALAYA	1	0.209
UNIVERSITY OF CALIFORNIA CENTER ON ECONOMIC COMPETITIVENESS IN TRANSPORTATION	1	0.209
UNIVERSITY OF CASTILLA LA MANCHA UNDER CYTEMA PUENTE	1	0.209
UNIVERSITY OF CHICAGO MEDICINE URBAN HEALTH INITIATIVE	1	0.209
UNIVERSITY OF IOWA INTERNAL FUNDING INITIATIVE	1	0.209
UNIVERSITY OF SHEFFIELD	1	0.209
UNIVERSITY OF THE WEST OF ENGLAND	1	0.209
UNIVERSITY RESEARCH COUNCIL AT THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL	1	0.209
URAL BRANCH RUSSIAN ACADEMY OF SCIENCES	1	0.209
URBAN COMMUNITY OF NANCY	1	0.209
URBAN HEALTH INITIATIVE AT THE UNIVERSITY OF CHICAGO MEDICINE	1	0.209
URBAN LANDSCAPE VISUAL SPACES NETWORK PERCEPTION AND REACTION ASSESSMENT	1	0.209
URBAN STUDIES FOUNDATION	1	0.209
URBAN VITALITY RESEARCH PROGRAM OF THE AMSTERDAM UNIVERSITY OF APPLIED SCIENCES THE NETHERLANDS	1	0.209
US DEPARTMENT OF EDUCATION GRADUATE ASSISTANCE IN AREAS OF NATIONAL NEED GAANN	1	0.209
US ENVIRONMENTAL PROTECTION AGENCY	1	0.209
USDA	1	0.209
USDA FOREST SERVICE	1	0.209
VIRGINIA CZM	1	0.209
WALTER G ZOLLER MEMORIAL FUND AT THE UNIVERSITY OF CHICAGO	1	0.209
XI AN RESEARCH AND DEVELOPMENT PROGRAM	1	0.209
ZHEJIANG SCIENCE AND TECHNOLOGY DEPARTMENT PROJECT	1	0.209
(260 records (54.393%) do not contain data in the field being analyzed.)
